Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),H2OX(23),CHOX(53),CH3X(55),C2H4X(215)
9.421438616175722e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995314,0.11866996602991908,0.022821567693053615,0.0,1.3283585720341033e-49,4.421176381929905e-28,5.760710289781773e-65,3.512669043381465e-42,1.1053962132706831e-100,8.3151691022461e-16,1.6517626370119427e-82,8.315169102225624e-16,4.041161189698232e-56,7.446712230462164e-56,9.7256030294835e-85,1.1276811118580932e-85,2.892428534897491e-41,2.6318542028322248e-64,4.5411408152487915e-14,1.3445510843180415e-15,5.3826889354148105e-18,1.341053100411472e-29,4.9656960082232556e-29,5.382688767753098e-18,8.320507913203939e-26,2.4055270326818114e-30,5.11702439337325e-35,7.420928884568447e-58,2.7273743542677346e-40,1.5608101915132328e-55,1.712769692836107e-78,4.2168601277821497e-42,1.2253908624050458e-81,4.46744843860462e-29,2.294303400611874e-68
1.8843388405842636e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990634,0.11866996602987283,0.022821567693052942,0.0,2.1254802289099142e-48,1.7685426793550228e-27,4.4051622314806625e-63,2.8103131138657674e-41,3.37854015562132e-98,1.6630789355775576e-15,1.0572300811214342e-80,1.6630789355693667e-15,6.466296418971938e-55,1.1915596017343942e-54,1.4866506165791415e-82,1.7237674724380095e-83,2.3140509585614098e-40,1.6376453429708258e-62,9.082528016487339e-14,2.689175119158356e-15,1.0765670084357897e-17,5.364426407590316e-29,1.9863592109565783e-28,1.0765669413674138e-17,3.328242328943774e-25,1.924452904941502e-29,4.906484563882342e-34,2.840305563921569e-56,2.1820032552208362e-39,4.9948241187838196e-54,2.618130804548759e-76,3.3736456391570993e-41,1.8751186411089673e-79,1.7870520651482051e-28,1.4684244175386172e-66
3.7687287985176463e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998128,0.11866996602978033,0.022821567693051596,0.0,3.400849752865181e-47,7.074315957309562e-27,3.738431829579738e-61,2.248321642496203e-40,1.1457593356591941e-95,3.326202986286735e-15,6.766598905877756e-79,3.3262029862539707e-15,1.0346425078770196e-53,1.9065616392585855e-53,2.52164524608171e-80,2.923841000419507e-81,1.8512819550798882e-39,1.0330876409783586e-60,1.8165302418860574e-13,5.378423188837634e-15,2.1531632886672906e-17,2.1458108002600834e-28,7.945598354587887e-28,2.1531630203806407e-17,1.3312470081933365e-24,1.539502743833644e-28,5.22546697086345e-33,1.2067896033078184e-54,1.7456443405936722e-38,1.5983070709917492e-52,4.4408530558813355e-74,2.6989763893888446e-40,3.1847685956014203e-77,7.1483534865929765e-28,9.397711186416703e-65
7.537508714384412e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679962573,0.11866996602959533,0.022821567693048907,0.0,5.441412468579911e-46,2.82975621833804e-26,3.5687975173127356e-59,1.7986857711012334e-39,4.370765250214642e-93,6.652451087718221e-15,4.330727732791867e-77,6.652451087587162e-15,1.6554560725153011e-52,3.050544470001023e-52,4.811279839101423e-78,5.578666194373285e-79,1.4810387352875266e-38,6.563145131160455e-59,3.6330851223191613e-13,1.0756919328190783e-14,4.306356050942217e-17,8.583303158435324e-28,3.1782715583146335e-27,4.3063549777231904e-17,5.324426220956185e-24,1.2314630365607911e-27,6.260368665579904e-32,5.767777671067232e-53,1.3965325297373396e-37,5.114052460417617e-51,8.473113239373384e-72,2.1592000416316838e-39,6.084592829655248e-75,2.8593703152948512e-27,6.013919396157795e-63
1.5075068546117944e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767992516,0.11866996602922532,0.02282156769304353,0.0,8.706263053361897e-45,1.1319090839498775e-25,3.7890044096930833e-57,1.4389599935832036e-38,1.8547031658525834e-90,1.330494729063371e-14,2.7716991505485513e-75,1.3304947290109472e-14,2.6487521473194736e-51,4.880884870011557e-51,1.0210872454669535e-75,1.1839479204939674e-76,1.1848309699342903e-37,4.18409278112533e-57,7.266194883019196e-13,2.151391160687547e-14,8.612742383062727e-17,3.43331684083768e-27,1.271314997882041e-26,8.612738089672812e-17,2.1292886932030593e-23,9.849303121050032e-27,8.335051026762463e-31,3.065103614852807e-51,1.1172334264859068e-36,1.6361102909526747e-49,1.7982298456510438e-69,1.7273595711882428e-38,1.2927004626010612e-72,1.1437538104343614e-26,3.848007452249151e-61
3.015018820958501e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767985033,0.1186699660284853,0.022821567693032774,0.0,1.39298979693708e-43,4.527654561301332e-25,4.349939283448264e-55,1.1511725356026646e-37,8.512560127031024e-88,2.6609939696674763e-14,1.773898122553738e-73,2.66099396945778e-14,4.2380213269566364e-50,7.809353295492864e-50,2.34366762327932e-73,2.7174761876265045e-74,9.478563098776252e-37,2.6716214061493463e-55,1.4532414403754573e-12,4.302789616415835e-14,1.7225518280165979e-16,1.3733127208344917e-26,5.085272190521559e-26,1.7225501102631366e-16,8.513237950809853e-23,7.875532969850136e-26,1.1986981791034526e-29,1.7606932351435344e-49,8.937906291928456e-36,5.233005278975174e-48,4.127416392243811e-67,1.3818746176029184e-37,2.9692029769634546e-70,4.5750258116684676e-26,2.461536111836007e-59
6.0300427536519135e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679700666,0.11866996602700527,0.02282156769301126,0.0,2.2287337157119916e-42,1.8110694893409947e-24,5.244393508577586e-53,9.209398288406091e-37,4.103890899680789e-85,5.321992450959717e-14,1.1352981829946537e-71,5.321992450120933e-14,6.78084826377361e-49,1.2494680177702559e-48,5.649982621824223e-71,6.551138737114061e-72,7.582681280041316e-36,1.7066075681062357e-53,2.9064853442566566e-12,8.605586527837823e-14,3.4451083026462275e-16,5.493117808711477e-26,2.0341108758921806e-25,3.4451014284795385e-16,3.402152794946683e-22,6.29415110698281e-25,1.808756248983152e-28,1.0618129082440874e-47,7.150355394564571e-35,1.672921166424153e-46,9.950140298208068e-65,1.1054739119532124e-36,7.1609024605225855e-68,1.8300117996744977e-25,1.573851991269914e-57
1.206009061903874e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679401345,0.11866996602404523,0.022821567692968232,0.0,3.565805584272889e-41,7.244325347861723e-24,6.496740883004536e-51,7.367525577135326e-36,2.033214860090309e-82,1.064398941388032e-13,7.265918835229505e-70,1.064398941052518e-13,1.0849367982932649e-47,1.9990507956508924e-47,1.3996803154480257e-68,1.6229250208890063e-69,6.065860826349214e-35,1.0896040300316317e-51,5.8129731509555465e-12,1.7211180350543439e-13,6.890226449196395e-16,2.1971364806535787e-25,8.1364439819980365e-25,6.890198927418782e-16,1.3583511093048794e-21,5.025294889207301e-24,2.8027491049845042e-27,6.578328199083494e-46,5.720320085334786e-34,5.342855654148248e-45,2.464964129046474e-62,8.843359131401784e-36,1.7743303401212668e-65,7.32004503686912e-25,1.0053066901336385e-55
2.412018634981239e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678802696,0.11866996601812513,0.022821567692882176,0.0,5.70474345269155e-40,2.8977651117721823e-23,8.154568767147365e-49,5.894022832226883e-35,1.0207381268378758e-79,2.1287983341066013e-13,4.6501909338697135e-68,2.1287983327645437e-13,1.735899561619476e-46,3.198162165683788e-46,3.5135116558900816e-66,4.073904386531587e-67,4.852228608900455e-34,6.944818890337874e-50,1.1625948760099297e-11,3.442236799540121e-13,1.3780483662516307e-15,8.787652525682023e-25,3.2545748717381327e-24,1.378037337538437e-15,5.413422563591427e-21,4.0042714702723243e-23,4.3988807756290765e-26,4.128926178712446e-44,4.576307956643913e-33,1.7030296943629999e-43,6.187603268431629e-60,7.073988067307682e-35,4.4541802606556714e-63,2.9280134929180374e-24,6.409007210853691e-54
4.824037781135969e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677605403,0.11866996600628492,0.022821567692710064,0.0,9.125839017296015e-39,1.1591331914059168e-22,1.0276526831804073e-46,4.715218561119896e-34,5.145287253199605e-77,4.2575971200815306e-13,2.97612251851272e-66,4.257597114713303e-13,2.77743928120498e-45,5.1160342518750865e-45,8.855438706195784e-64,1.0267842056947119e-64,3.88104484792921e-33,4.4099024311368326e-48,2.3251899961370683e-11,6.88447432829034e-13,2.7561082806485557e-15,3.51434482097688e-24,1.3018271510937499e-23,2.7560640072155858e-15,2.1495460102708355e-20,3.178130555597095e-22,6.930230878070186e-25,2.601755184619991e-42,3.661126554652036e-32,5.407340921766177e-42,1.5595157622608217e-57,5.658068835276827e-34,1.1225334206191551e-60,1.1712012212499358e-23,4.070136878379014e-52
