Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),HOX(22),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),COX(50),CHOX(53),CO2X(24)
6.649310165217264e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999972,0.11866996602996265,0.022821567693054223,1.2389923979457301e-102,2.9535450180014762e-61,4.5768442976100226e-36,2.1300816546012609e-75,1.7681285707771513e-48,2.2057919435649542e-119,6.7613944650527131e-22,1.154730479378665e-101,6.7613944649623768e-22,2.8241264066762157e-68,1.987865049737901e-63,2.1365288695484277e-100,1.2909895751766826e-101,3.9511805499247362e-49,8.6908008997901253e-81,2.6814725642086117e-15,1.2892758379774161e-16,4.9695656811959735e-20,4.9695656841812395e-20,3.6495981732637425e-32,1.4939985608299077e-29,5.5612387733925554e-35,3.835151442833077e-41,5.3587311708417168e-66,1.6681940725002052e-49,1.8912076608495199e-90,2.1923732064714519e-93,3.0114067233360576e-93
1.3304397315808305e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999437,0.11866996602995997,0.022821567693054157,4.6252003514096492e-100,4.7311088472790557e-60,1.8319387523589095e-35,1.9863707781203634e-73,1.4159368711978327e-47,8.2197466402002762e-117,1.3528663295589379e-21,7.4016973591586982e-100,1.3528663295227801e-21,4.5235103029078521e-67,3.184259279848341e-62,3.9821322430641511e-98,2.406188496745345e-99,3.1633218045504221e-48,2.7841777015721752e-79,5.3652748178718675e-15,2.5796718113483488e-16,9.9434489664276096e-20,9.9434489783764811e-20,1.4607779522457668e-31,5.9798654502589492e-29,4.4523556009727061e-34,4.4865583415622512e-40,2.5019206010295872e-64,1.3355752209340261e-48,3.5248945469065048e-88,4.0934443057321864e-91,5.6226857026330291e-91
2.6614571616990387e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998876,0.1186699660299546,0.022821567693054028,1.9270554030887631e-97,7.5740329619215918e-59,7.3302074271697453e-35,2.0679669797596152e-71,1.133323382166625e-46,3.4200751960101902e-114,2.7063200957202405e-21,4.740744735743549e-98,2.7063200955755629e-21,7.2415451595459113e-66,5.0976939457387583e-61,8.2867563284701258e-96,5.0072414350644061e-97,2.5315786316638466e-47,8.914365951239105e-78,1.0732879325193391e-14,5.1604637580901121e-16,1.9891215527930923e-19,1.9891215575742136e-19,5.8449150920220314e-31,2.3927072754926234e-28,3.5632106101525819e-33,5.8572144806826297e-39,1.303819169138972e-62,1.0688750958870224e-47,7.3352515880802198e-86,8.5298988246756597e-89,1.171652399908301e-88
5.323492021935455e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997749,0.11866996602994385,0.022821567693053772,8.7359258439313717e-95,1.212156170468344e-57,2.9326132584339767e-34,2.3429533423614683e-69,9.068883143601008e-46,1.5490335781719061e-111,5.4132276282587253e-21,3.0352478499918218e-96,5.4132276276799209e-21,1.1589616071976461e-64,8.158412768678426e-60,1.8769997953811619e-93,1.1341700662537742e-94,2.0255831953045431e-46,2.8533969129575057e-76,2.1468088339816482e-14,1.0322047651573227e-15,3.9786748615097692e-19,3.9786748806375122e-19,2.3382670509740353e-30,9.5722445738957044e-28,2.8510666052432483e-32,8.3138371816640533e-38,7.3917779725815032e-61,8.5527689555915208e-47,1.6614782514789822e-83,1.9338073480348057e-86,2.6562447039801866e-86
1.0647561742408289e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995501,0.11866996602992239,0.022821567693053255,4.1830913726136136e-92,1.9396028941177097e-56,1.1731831549659113e-33,2.8042434621108245e-67,7.2560250371252758e-45,7.413435999760829e-109,1.0827042694199209e-20,1.9429334923830132e-94,1.0827042691883808e-20,1.8545901066408057e-63,1.305449765690273e-58,4.4920357886798357e-91,2.7142956280031599e-92,1.620517469101209e-45,9.1321499812153887e-75,4.2938506368982849e-14,2.0645215438537819e-15,7.9577814646071828e-19,7.9577815411255303e-19,9.3531927662908543e-30,3.8290953976765598e-27,2.2810006361514001e-31,1.2455477759506638e-36,4.4256539155517334e-59,6.8430955650296262e-46,3.9762494619128935e-81,4.6304460398896078e-84,6.3603005850535564e-84
2.1295701183353955e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990999,0.11866996602987945,0.022821567693052221,2.0674672605814144e-89,3.103180759469072e-55,4.6932626033491646e-33,3.464625345326769e-65,5.8051874219824531e-44,3.6630002623571404e-106,2.1654672829534253e-20,1.2435973986226136e-92,2.1654672820272266e-20,2.967545393730615e-62,2.0885962454607321e-57,1.1098305273105231e-88,6.706108467257738e-90,1.2963108189821925e-44,2.9224927684448657e-73,8.5879342426996336e-14,4.1291551012460408e-15,1.5915994613458252e-18,1.5915994919553276e-18,3.7409200932268217e-29,1.5316092428045929e-26,1.8247763933685773e-30,1.9250520399389138e-35,2.7346537749256352e-57,5.4751054892703928e-45,9.8239703353705146e-79,1.1443597546765969e-81,1.571872313689272e-81
4.2591980065245286e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981995,0.11866996602979356,0.022821567693050156,1.0394354548471754e-86,4.9639623732288117e-54,1.8776144179389445e-32,4.3544628682227651e-63,4.6442968365145726e-43,1.8413452505754603e-103,4.3309933114020604e-20,7.9594071548914344e-91,4.3309933076971923e-20,4.7482335523439049e-61,3.3409951981409081e-56,2.7895552272738721e-86,1.6855778141713455e-87,1.0368098387793643e-43,9.3523043907810022e-72,1.7176101454174625e-13,8.2584222160279254e-15,3.1832420681785337e-18,3.1832421906263735e-18,1.495991226046819e-28,6.1258317905464764e-26,1.4596785970739637e-29,3.0255581334261047e-34,1.7187425881379232e-55,4.3807789067107337e-44,2.4692511255878642e-76,2.8767798306528471e-79,3.951491614992191e-79
8.518453782902795e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963993,0.11866996602962179,0.022821567693046028,5.2720660354599446e-84,7.9383058596779021e-53,7.5127028263953825e-32,5.5213922260479032e-61,3.7154961297283433e-42,9.3389150392487452e-101,8.6620453738258396e-20,5.0941432703606586e-89,8.6620453590062168e-20,7.5973022260491835e-60,5.3428748238762268e-55,7.0739793024594961e-84,4.2744229982182741e-85,8.290365291467097e-43,2.9927897344125397e-70,3.4352435876613784e-13,1.651695644558117e-14,6.3665271900939338e-18,6.3665276799489566e-18,5.980770180392494e-28,2.4497739703698155e-25,1.1674733557296392e-28,4.796434082588968e-33,1.0897464865494013e-53,3.5056093014229589e-43,6.2617240170001002e-74,7.2957178693801743e-77,1.0021251752878312e-76
1.7036965335659327e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319927989,0.11866996602927826,0.02282156769303777,2.6855921980623047e-81,1.2688055840953564e-51,3.0068302701519763e-31,7.0314598086751067e-59,2.9724202082457669e-41,4.7573208647689046e-98,1.732414952077944e-19,3.2602907891263091e-87,1.7324149461500638e-19,1.2155785763174227e-58,8.5396840551401271e-54,1.8017041103961233e-81,1.0886716751761319e-82,6.625602501446982e-42,9.5770103869011531e-69,6.870510471944883e-13,3.3034024904645561e-14,1.2733097066924696e-17,1.2733099026823936e-17,2.3897197134589683e-27,9.7944794339300803e-25,9.3353110963144321e-28,7.6360494666716354e-32,6.9391666242708419e-52,2.8060144495661076e-42,1.5948259333139098e-71,1.8582406434520897e-74,2.5524362265698483e-74
3.4073988441172392e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319855979,0.1186699660285912,0.022821567693021252,1.3705480745293431e-78,2.025839372885829e-50,1.204120406256379e-30,8.9710502756488182e-57,2.3779452325409573e-40,2.4280416506935981e-95,3.4648357903110786e-19,2.0865984038458532e-85,3.4648357665994995e-19,1.9449336956207714e-57,1.3634863866834809e-52,4.5973609584889534e-79,2.7779315503167363e-80,5.2897628093347748e-41,3.0646563275178768e-67,1.3741044239694581e-12,6.6068161822605925e-14,2.5466235352586223e-17,2.546624319595201e-17,9.5381621004306996e-27,3.9140736696706141e-24,7.4610305571731697e-27,1.2178528256432978e-30,4.4267138051019788e-50,2.2472316980385971e-41,4.0694694027513596e-69,4.7416524806722356e-72,6.5129939352212021e-72
