Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),CO2X(24),CHOX(53),H2OX(23),COX(50)
1.3498632368406217e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999431,0.11866996602995988,0.022821567693054157,1.0995896511106937e-96,2.2055567172472916e-53,1.9748920775128275e-35,1.5386958000755554e-72,5.0260550208910923e-50,6.5751972361183188e-116,1.3726172476940946e-21,2.7440900718109132e-102,1.3726172476918075e-21,1.6291215752851055e-69,2.6043439985094452e-62,3.1362910547493534e-97,1.8950921257556263e-98,4.4053739209195173e-47,1.0173477435086256e-81,5.4436041410057073e-15,2.6173332459905046e-16,1.0088616383863435e-19,1.0088616596557869e-19,1.0633380749832089e-27,1.3877530407408388e-31,9.8046006531491113e-37,1.5037656507386068e-31,5.6769970760545793e-61,1.456426562410341e-48,1.3161136513762993e-87,5.5491455151820953e-89,5.8710060632172714e-45,2.7761748128936464e-87
2.7003126062200363e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999886,0.11866996602995444,0.022821567693054025,3.0692542171726122e-94,3.5303229695002532e-52,8.2585678201588589e-35,1.0733352555061466e-70,4.022881023438151e-49,1.8338531508410199e-113,2.7458305080921735e-21,1.7575739319090293e-100,2.7458305080830234e-21,2.6080093679396979e-68,4.1693685607505932e-61,4.3742539220089099e-95,2.6431265277881702e-96,3.5256337586279556e-46,3.2573387538812363e-80,1.0889571983325025e-14,5.23580298058095e-16,2.0181613196037604e-19,2.0181614047147907e-19,4.2541821125981181e-27,1.1104882064181072e-30,8.5624292264076787e-36,6.017013556641501e-31,1.9811799950559056e-59,1.2148012556230645e-47,1.8370788949341186e-85,7.7456987522366994e-87,4.6985834726805568e-44,3.8719918563108734e-85
5.401211344978866e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997716,0.11866996602994355,0.022821567693053765,9.1505696616438756e-92,5.6496528703527905e-51,3.5890488041323698e-34,7.9972484419115342e-69,3.2191197254210809e-48,5.4617473535545524e-111,5.4922570289008209e-21,1.1252814916456247e-98,5.4922570288642132e-21,4.1739470699947297e-67,6.6729122279576869e-60,6.5153792161596e-93,3.9368933828631161e-94,2.8210358547853978e-45,1.0426406170771578e-78,2.1781507667943119e-14,1.0472742449761421e-15,4.0367606181970059e-19,4.0367609587409479e-19,1.7015057512638907e-26,8.8834173448489863e-30,7.9962849288797773e-35,2.4071909926333493e-30,7.3875734909968351e-58,1.0507604744231404e-46,2.7391299268910315e-83,1.154903178849456e-84,3.7595715411688801e-43,5.7672680030664477e-83
1.0803008822496526e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995435,0.11866996602992176,0.022821567693053241,3.0031755908431356e-89,9.0403217790663001e-50,1.6636554811825853e-33,6.5592147713953333e-67,2.5756216307425801e-47,1.790202812706464e-108,1.0985110070568063e-20,7.2031908119639442e-97,1.0985110070421621e-20,6.6792207244117031e-66,1.0678157411837317e-58,1.0681019186347471e-90,6.4539654218455459e-92,2.2570320614111917e-44,3.3369174037109952e-77,4.3565379037097134e-14,2.0946621388120666e-15,8.0739589600171573e-19,8.0739603226587768e-19,6.8030263610693805e-26,7.1039299582191451e-29,8.2285724830189218e-34,9.6294977540686728e-30,3.0333583485027654e-56,9.6658695480526247e-46,4.4962357660875311e-81,1.8957554708209092e-82,3.0079282273758846e-42,9.4545989258718963e-81
2.1606603777531842e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990866,0.1186699660298782,0.022821567693052193,1.10644365439512e-86,1.4465114808211071e-48,8.4756589706213211e-33,6.0392066879579812e-65,2.0606274094088623e-46,6.5865350519349133e-106,2.1970816154102344e-20,4.610486212010221e-95,2.1970816153516551e-20,1.0687476319346909e-64,1.7086120859191479e-57,1.965531176513691e-88,1.187664685336369e-89,1.8056939098162952e-43,1.0678882434562664e-75,8.713312177507653e-14,4.1894379264832384e-15,1.6148354622192242e-18,1.6148360075816382e-18,2.7184848489269201e-25,5.6778554229620322e-28,9.5086497476408465e-33,3.851915934641441e-29,1.3983204157090395e-54,9.7446936392756677e-45,8.2853825727059971e-79,3.4933846175216095e-80,2.4064334800236e-41,1.739844007594417e-78
4.3213793687602476e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981734,0.11866996602979106,0.022821567693050097,4.5561370081393259e-84,2.314433782465054e-47,4.842731708747712e-32,6.2151903517838008e-63,1.6485535817515521e-45,2.7090795531998787e-103,4.3942228321970092e-20,2.9508526242255944e-93,4.3942228319626879e-20,1.7100536751796444e-63,2.7338234616247086e-56,4.0432856674310935e-86,2.4431395093977452e-87,1.4445614818512818e-42,3.417361093874191e-74,1.742686072497207e-13,8.3789895018228716e-15,3.2297141860682569e-18,3.2297163698244524e-18,1.0851534856154737e-24,4.5335236667929199e-27,1.2274711460568206e-31,1.5407657984086635e-28,7.203662069582984e-53,1.1005551484607775e-43,1.7063750061619911e-76,7.1946472634009235e-78,1.9251551361979206e-40,3.5790249056746426e-76
8.642817350774375e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963471,0.11866996602961678,0.022821567693045906,2.0439149156106051e-81,3.7030021159392983e-46,3.0922983588438513e-31,6.9690011071346027e-61,1.3188629045400113e-44,1.2143567563795287e-100,8.7885052660902318e-20,1.8885900879621905e-91,8.7885052651529383e-20,2.7361306018103741e-62,4.3740203685849009e-55,9.0637101211974155e-84,5.4767096429900341e-85,1.1556182075511786e-41,1.0935740528822207e-72,3.4853957819375056e-13,1.6758092652491302e-14,6.4594699994232158e-18,6.4594787525298632e-18,4.3226623637231762e-24,3.6127519405521364e-26,1.7245971677162254e-30,6.1628705153899126e-28,4.0419364961718493e-51,1.3911134234947575e-42,3.8282236351430583e-74,1.6141158332552609e-75,1.5400826397444789e-39,8.0229879566403242e-74
1.7285693314802629e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319926939,0.11866996602926823,0.022821567693037528,9.6754955137578172e-79,5.9243962247720466e-45,2.150427236829728e-30,8.2465459020743177e-59,1.0550973427615144e-43,5.7461244108888414e-98,1.7577070135155372e-19,1.2087107710718426e-89,1.7577070131406176e-19,4.3778407386264025e-61,6.9979310037309379e-54,2.1445466607524204e-81,1.295832734869994e-82,9.2442855039049909e-41,3.4994634259513409e-71,6.9708152006077649e-13,3.3516298953784814e-14,1.291897508876725e-17,1.2919010243666292e-17,1.7148430049512531e-23,2.8678943322391287e-25,2.5545417795671705e-29,2.4649564689754729e-27,2.3925766493346039e-49,1.9208422740052278e-41,9.0620923011245459e-72,3.8209434724303807e-73,1.2319778370226039e-38,1.8983020222113478e-71
3.457144524285914e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319853876,0.11866996602857113,0.02282156769302077,4.7019399524967252e-76,9.4776409472475761e-44,1.5743704438225494e-29,1.0018452080560556e-56,8.4407908733495696e-43,2.7921110610400226e-95,3.5154199878400421e-19,7.7357768719755951e-88,3.5154199863403614e-19,7.004557796735033e-60,1.1194932376500231e-52,5.2101050071601509e-79,3.1481788570183612e-80,7.3943065730757574e-40,1.1198305146184171e-69,1.3941654037106935e-12,6.7032711556198439e-14,2.5837959118045103e-17,2.5838100850625369e-17,6.7481299966229703e-23,2.2593886573877339e-24,3.8818511582397584e-28,9.8582171206165891e-27,1.4536522286889765e-47,2.8009653539096272e-40,2.2020448148996162e-69,9.2849103467872194e-71,9.854322903435482e-38,4.6118549713959574e-69
6.914294909897216e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319707748,0.11866996602717694,0.022821567692987255,2.2943625774319744e-73,1.5159697557405989e-42,1.1758639439808903e-28,1.2221975247731293e-54,6.7526120387374169e-42,1.362713237155449e-92,7.0308459385349543e-19,4.9508881790627989e-86,7.0308459325362324e-19,1.1207261588506129e-58,1.7906149253943287e-51,1.2711905508403085e-76,7.6810842224038425e-78,5.9136248171401152e-39,3.5834483015442034e-68,2.7883331706739875e-12,1.3406553676033213e-13,5.1675822579382983e-17,5.1676398020291149e-17,2.6141799781654204e-22,1.7540098665931165e-23,5.9201569378460245e-27,3.94198540286316e-26,8.8671959704378574e-46,4.1771326609600269e-39,5.372603548739657e-67,2.2654530735805063e-68,7.8810246565097349e-37,1.1252228193596821e-66
1.3828595681119819e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319415498,0.11866996602438855,0.022821567692920222,1.1006736016691625e-70,2.4240981623730113e-41,8.7066729170565396e-28,1.4659981536195831e-52,5.4020405475442763e-41,6.5413420071627572e-90,1.4061697848108348e-18,3.1685425613607544e-84,1.4061697824113508e-18,1.7931462703669337e-57,2.8631381887031865e-50,3.0497561677833852e-74,1.8427859369739088e-75,4.7279792396400059e-38,1.1466937088369644e-66,5.5766687032544149e-12,2.6813118716582541e-13,1.0335113111657236e-16,1.0335349529447996e-16,9.833089345970523e-22,1.3245395328552367e-22,8.8725607725799764e-26,1.5757509643750685e-25,5.3172499683261381e-44,6.1888263251405082e-38,1.2886530215902325e-64,5.434294302513906e-66,6.3009153313599937e-36,2.699544018760398e-64
2.7657197223565027e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318830999,0.11866996601881177,0.022821567692786156,5.0614391181152373e-68,3.8739096160408139e-40,6.2002572288267261e-27,1.6858121209457243e-50,4.321547495038834e-40,3.0119589734777656e-87,2.8123401699989062e-18,2.0278295369409441e-82,2.8123401604010205e-18,2.8689796052630326e-56,4.5751178567440072e-49,7.0154117274681672e-72,4.2389543261882701e-73,3.7777145813803002e-37,3.6693514577477671e-65,1.115333976303063e-11,5.3626248796571531e-13,2.0670007467612184e-16,2.0670995554517982e-16,3.5098738281076546e-21,9.5221877789319685e-22,1.2739672391630729e-24,6.2946677363596792e-25,3.0561560279695469e-42,8.8384139367087957e-37,2.9626629482340111e-62,1.2495717896614757e-63,5.0344908302672396e-35,6.2097383549592099e-62
5.531440030845544e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317661996,0.11866996600765822,0.022821567692518023,2.1617257791406075e-65,6.1834322253835016e-39,4.1014142342654232e-26,1.8009873187878245e-48,3.4570995283569883e-39,1.2896875955470815e-84,5.6246809534679308e-18,1.2977611793282357e-80,5.6246809150772206e-18,4.5901895598509761e-55,7.3013606466617855e-48,1.4994694405220579e-69,9.0601377848266116e-71,3.0147266075130182e-36,1.1741477212076294e-63,2.2306681861044497e-11,1.0725250895211175e-12,4.1339126795266753e-16,4.1343332815778741e-16,1.1513631158048312e-20,6.3225295243031902e-21,1.6978060397311e-23,2.5112216457489995e-24,1.6313826476169183e-40,1.1758132938024011e-35,6.3256658525109699e-60,2.668839735604126e-61,4.0176398493280913e-34,1.3272338433849814e-59
1.1062880647823627e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315323994,0.11866996598535112,0.022821567691981761,8.3091512041497431e-63,9.8463868910563768e-38,2.4387879372369483e-25,1.7323845549398095e-46,2.7654570691270501e-38,4.9811066551384346e-82,1.1249362572774315e-17,8.3050304701393821e-79,1.1249362419217157e-17,7.3437314415432062e-54,1.1622227569295871e-46,2.8863134969843367e-67,1.7439094183002999e-68,2.3999533391399455e-35,3.7569848210825845e-62,4.4613365970917971e-11,2.1450502924544316e-12,8.2674688087008562e-16,8.2692768590833165e-16,3.3617881319719992e-20,3.758854036603222e-20,2.0349599303398522e-22,9.9921117392372559e-24,7.8380005013962159e-39,1.4107982069200459e-34,1.2153993904681255e-57,5.1314528957343692e-59,3.1982998689101504e-33,2.5546577616281985e-57
