Time (s),Volume (m^3),Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),C2H4X(64),C2H4(48),HeX(49),C4H8a(86),HX(12),C2H3X(58),C4H6(99)
0.0,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3994019416676306e-25,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,1.5441761902273206e-181,6.4250537857441619e-63,1.0176829524906089e-112,2.9652436423756827e-133,2.787528718738936e-197,8.1820063488842572e-46,1.2991115413442341e-60,0.0,0.5,3.1912083455291504e-19,2.2110709545077879e-18,9.6371131861238659e-20,3.1961289799706267e-35,4.4570449820803155e-21,4.4570449820803155e-21,1.1169415360144175e-47
6.718325436669366e-25,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,2.3030172796713329e-179,9.7095412796087253e-62,1.0060000820920976e-100,5.276271760892542e-121,4.1573797391032835e-195,4.9419318347260853e-45,1.5423052218838732e-59,0.0,0.5,8.9353833674581882e-19,6.1909986726217915e-18,2.6983916921133779e-19,1.9304619039022548e-34,1.2479725949824884e-20,1.2479725949824884e-20,1.6879220489802438e-46
1.5356172426672837e-24,0.004023131612903226,0.0,0.0,0.010942917987096772,0.5,1.108135696651506e-176,1.0445081436796723e-60,1.9401430154614637e-99,2.0878961110929457e-119,4.6618406206333685e-192,2.3793274462555315e-44,1.5142444125908333e-58,0.0,0.5,2.0423733411222526e-18,1.415085410884975e-17,6.1677524391101428e-19,9.2943430737545265e-34,2.8525087885314018e-20,2.8525087885314018e-20,1.8157895159877117e-45
3.263186640667978e-24,0.004023131612903226,0.0,0.0,0.010942917987096769,0.5,3.5495948576012293e-174,9.6008293694720428e-60,3.3212374138749519e-98,7.1764833479112233e-118,3.1053645302653847e-189,1.0391148063082889e-43,1.3393320346642373e-57,0.0,0.5,4.3400433498376253e-18,3.0070564981305467e-17,1.3106473933082798e-18,4.0590838045626379e-33,6.0615811756292267e-20,6.0615811756292267e-20,1.6690233981766436e-44
6.718325436669367e-24,0.004023131612903226,0.0,0.0,0.010942917987096762,0.5,1.0064885896212508e-171,8.2137116577746305e-59,5.482844161693679e-97,2.3722796214732741e-116,1.7942516261447126e-186,4.3380997661783245e-43,1.1257892759442247e-56,0.0,0.49999999999999994,8.9353833671183918e-18,6.1909986726216082e-17,2.6983916920944599e-18,1.6945875851803746e-32,1.2479725949824867e-19,1.2479725949824867e-19,1.4278846561207022e-43
1.3628603028672145e-23,0.004023131612903226,0.0,0.0,0.01094291798709675,0.5,2.7070604691067915e-169,6.7912556362576144e-58,8.9071678411231366e-96,7.711841769635159e-115,9.7425676297487398e-184,1.7722553031936321e-42,9.2299006574219838e-56,0.0,0.49999999999999989,1.8126063401080004e-17,1.2558883021603409e-16,5.4738802896334225e-18,6.9229432157751434e-32,2.5316015498216112e-19,2.5316015498216112e-19,1.1806026462624528e-42
2.74491582126777e-23,0.004023131612903226,0.0,0.0,0.010942917987096725,0.5,7.1006657556145572e-167,5.5225362970853058e-57,1.4359114866008858e-94,2.4870615142045701e-113,5.1350752855965778e-181,7.163739294752139e-42,7.4746128537144259e-55,0.0,0.49999999999999972,3.6507423466603559e-17,2.5294651719565715e-16,1.1024857484577747e-17,2.7983643361549658e-31,5.098859459499848e-19,5.098859459499848e-19,9.6004646498805941e-42
5.50902685806888e-23,0.004023131612903226,0.0,0.0,0.010942917987096677,0.5,1.8398425377353631e-164,4.4541255912159302e-56,2.3060696099210177e-93,7.9894291532990171e-112,2.667356632971807e-178,2.8805080631494694e-41,6.0162187012904092e-54,0.0,0.49999999999999944,7.3270143588052e-17,5.0766189115485174e-16,2.2126811873932005e-17,1.1252099919142904e-30,1.0233375278856273e-18,1.0233375278856273e-18,7.7431225408452061e-41
1.10372489316711e-22,0.004023131612903226,0.0,0.0,0.01094291798709658,0.5,4.7384016626271278e-162,3.5777959006052863e-55,3.6966003135352605e-92,2.5615504351837385e-110,1.375542406644159e-175,1.1552125671946523e-40,4.8276366195650889e-53,0.0,0.49999999999999883,1.4679558379255421e-16,1.017092639073034e-15,4.4330720650502946e-17,4.5125953300443275e-30,2.0502406917568931e-18,2.0502406917568931e-18,6.219697113874523e-40
2.2093693078875544e-22,0.004023131612903226,0.0,0.0,0.010942917987096384,0.49999999999999994,1.2166764218338466e-159,2.8680462566348802e-54,5.9200716470433265e-91,8.2048543497126711e-109,7.068107075543109e-173,4.6268758255321397e-40,3.8679840166815582e-52,0.0,0.49999999999999767,2.9384646404797986e-16,2.0359541349085717e-15,8.8738538195094524e-17,1.8073918892428055e-29,4.1040470194993459e-18,4.1040470194993459e-18,4.9858570808448669e-39
4.4206581373284425e-22,0.004023131612903226,0.0,0.0,0.010942917987095993,0.49999999999999983,3.1193642736919998e-157,2.2967630931730523e-53,9.4765235511130875e-90,2.6268162647961332e-107,3.6253679952020939e-170,1.8519561288508701e-39,3.0967391132162217e-51,0.0,0.49999999999999534,5.8794822394451608e-16,4.073677126576339e-15,1.7755417325007649e-16,7.2342777561641093e-29,8.2116596749839409e-18,8.2116596749839409e-18,3.9927293726970915e-38
8.84323579621022e-22,0.004023131612903226,0.0,0.0,0.010942917987095211,0.49999999999999967,7.9915575273426643e-155,1.8383413644037993e-52,1.5165964814486487e-88,8.4078326439597646e-106,1.8578533172295217e-167,7.4102367999582436e-39,2.4783324528041858e-50,0.0,0.49999999999999067,1.176151741280328e-15,8.1491231098986412e-15,3.5518544322323571e-16,2.8946534107745707e-28,1.6426884985951881e-17,1.6426884985951881e-17,3.195801771857391e-37
1.7688391113973774e-21,0.004023131612903226,0.0,0.0,0.010942917987093646,0.49999999999999933,2.0466050623896257e-152,1.4710455384165281e-51,2.4268365409912449e-87,2.6908297415861657e-104,9.5164732218819308e-165,2.9645772456152625e-38,1.9830425075873208e-49,0.0,0.49999999999998135,2.3525587661229103e-15,1.6300015076490318e-14,7.1044798262233498e-16,1.1580498528155084e-27,3.2857335607882752e-17,3.2857335607882752e-17,2.557288885070112e-36
3.537870174950089e-21,0.004023131612903226,0.0,0.0,0.010942917987090517,0.49999999999999861,5.2402900340273988e-150,1.1769854276798834e-50,3.8831642025164271e-86,8.6111724467538013e-103,4.873526201666418e-162,1.1859274102391105e-37,1.5865846402905589e-48,0.0,0.49999999999996264,4.7053727764919084e-15,3.2601799009461963e-14,1.4209730592316573e-15,4.6325764150921705e-27,6.5718236851724457e-17,6.5718236851724457e-17,2.0460901267102834e-35
7.07593230205551e-21,0.004023131612903226,0.0,0.0,0.010942917987084258,0.49999999999999717,1.3416398372668115e-147,9.4164794455952021e-50,6.2132433161551391e-85,2.7556579478686293e-101,2.4955249797784561e-159,4.7439026717651575e-37,1.2693279691259484e-47,0.0,0.49999999999992528,9.4110006399652499e-15,6.5205366874558408e-14,2.8420232036947959e-15,1.8531059694646785e-26,1.3144003933932775e-16,1.3144003933932775e-16,1.6369757151524443e-34
1.4152056556266354e-20,0.004023131612903226,0.0,0.0,0.010942917987071742,0.49999999999999434,3.4347587488761308e-145,7.5334219733974744e-49,9.9413337963395298e-84,8.8182378715696283e-100,1.277780364388941e-156,1.89759967551495e-36,1.0154864786809703e-46,0.0,0.49999999999985051,1.8822255737853336e-14,1.3041250260136393e-13,5.6841234575990529e-15,7.4125746872153575e-26,2.628836443142141e-16,2.628836443142141e-16,1.3096220188975514e-33
2.830430506468804e-20,0.004023131612903226,0.0,0.0,0.01094291798704671,0.49999999999998868,8.793188236992312e-143,6.0268329469141548e-48,1.5906249774772222e-82,2.8218573277916738e-98,6.5424187409999428e-154,7.5904759160437104e-36,8.1239882439225087e-46,0.0,0.49999999999970102,3.764476341739548e-14,2.6082677404142542e-13,1.1368323825319487e-14,2.9650600368789643e-25,5.2577085426270546e-16,5.2577085426270546e-16,1.0477141940764917e-32
