Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),O(29),CHOX(53),acetyl(44),C2H4X(215),C2H6X(52),C2H4X(70),CO2X(24),CH4OX(63),HOCO(73)
6.402625589817542e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999967,0.11866996602996219,0.02282156769305424,1.8047054107739405e-99,1.6324139775535572e-45,2.0426611968309977e-30,6.658691392460718e-72,1.0890173816675975e-45,5.916644374482859e-110,5.650824820958778e-17,1.609519324059392e-89,5.650824820957914e-17,8.519996892839524e-61,9.871210465159265e-60,7.6511755366283e-93,8.871520578862911e-94,7.357674541452135e-32,3.28639087371264e-71,3.086070564728901e-15,9.13730644542194e-17,3.6579701718821845e-19,6.195908129883816e-32,2.294238740370078e-31,3.657970160784062e-19,5.52475030694426e-28,1.5608925173512194e-33,3.869124408619064e-38,2.601041470283936e-63,1.3248122268878516e-45,8.568590714975518e-44,2.0640398811088216e-31,1.0973470630080339e-61,1.3474440202674762e-86,6.869785752964392e-25,1.3825387119531524e-89,4.137544529550836e-102,1.0970412394257282e-75,1.1040496644790095e-59,3.2761502799385073e-85,1.4489379771775772e-89,9.382398513190606e-74,2.067423934499521e-121
1.2810813843049348e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999355,0.11866996602995904,0.022821567693054195,4.680319992705263e-97,1.3069237618991182e-44,8.175968269137133e-30,4.315189042913332e-70,8.720971372637214e-45,1.5336443646682087e-107,1.1306559133508638e-16,1.0316844621986183e-87,1.1306559133505181e-16,1.3646801946634297e-59,1.5812316921333605e-58,9.91641229787548e-91,1.1498057433132984e-91,2.9449872819059082e-31,1.433664976231599e-69,6.174822337592369e-15,1.828255147159556e-16,7.319118434981137e-19,2.479977920717733e-31,9.182933914560502e-31,7.319118390559661e-19,2.211333662276126e-27,1.2496594468332226e-32,3.133540523148421e-37,8.42864400939338e-62,1.0606553092162158e-44,6.8600827618471995e-43,8.261538559430438e-31,3.515835756087786e-60,1.7463735315017618e-84,1.3745541515450424e-24,1.7927638504479101e-87,1.0729900809767446e-99,7.029851716912952e-74,1.7683981931229807e-58,2.8546147511596328e-83,1.878865078480495e-87,3.005977933337617e-72,1.0725466423340308e-118
2.562719034951296e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998717,0.11866996602995275,0.022821567693054105,1.2260599729436613e-94,1.0459362139691094e-43,3.271452399360036e-29,2.8252896143296928e-68,6.980311752065692e-44,4.016025595175102e-105,2.2618027758609343e-16,6.607879855660206e-86,2.2618027758595513e-16,2.184673540195966e-58,2.5314420608543302e-57,1.2984147164839003e-88,1.5055089005586927e-89,1.1783785151209891e-30,7.029020638773444e-68,1.23523258833145e-14,3.6573041523942165e-16,1.4641414994604742e-18,9.92314175166361e-31,3.674369693851941e-30,1.464141481686048e-18,8.848165012821145e-27,1.0001015018723e-31,2.5652275377819808e-36,2.759689863621971e-60,8.488465784145104e-44,5.49015132056109e-42,3.305691532461064e-30,1.1257551094306504e-58,2.286630508950863e-82,2.749705746077686e-24,2.3482592996603855e-85,2.810582737749259e-97,4.5019000203446316e-72,2.830972968111329e-57,2.7955612709067396e-81,2.4610395055362094e-85,9.624909994340581e-71,5.619130527635738e-116
5.125994336244018e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997446,0.11866996602994016,0.02282156769305392,3.2777531416476635e-92,8.369078912779118e-43,1.3087940819620818e-28,1.887927115765665e-66,5.585663607986216e-43,1.0731935367167076e-102,4.524096500881469e-16,4.230675617587493e-84,4.524096500875932e-16,3.4964261168980734e-57,4.0514846870564937e-56,1.7349958494319703e-86,2.011723726215885e-87,4.714281374500039e-30,3.811108555972908e-66,2.470733297473954e-14,7.315402162863289e-16,2.9286008247557384e-18,3.969902655185638e-30,1.469987134521028e-29,2.9286007536460596e-18,3.539802131737557e-26,8.002237860710087e-31,2.1444961074715343e-35,9.223346582457232e-59,6.792061941825028e-43,4.392955509459934e-41,1.3224918614554793e-29,3.603485874539801e-57,3.0554909602468577e-80,5.500010703284724e-24,3.139164093641712e-83,7.512636481672545e-95,2.882086011402641e-70,4.5307857859092185e-56,3.028485587210323e-79,3.2899296018554706e-83,3.080896353537735e-69,3.0036652718312336e-113
1.0252544938829462e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679994903,0.118669966029915,0.022821567693053556,9.09804511583184e-90,6.695898948422918e-42,5.235603190883327e-28,1.3098192528600775e-64,4.4690966370568455e-42,2.9770362316458294e-100,9.048683950924109e-16,2.708154915204304e-82,9.04868395090196e-16,5.595040655234467e-56,6.483317313342149e-55,2.40676856066719e-84,2.790642646595167e-85,1.8858660235372896e-29,2.218993898091685e-64,4.941734715751277e-14,1.4631598183800437e-15,5.857519528830543e-18,1.5880901411626655e-29,5.880427064487583e-29,5.857519244365479e-18,1.416004064550031e-25,6.402248285347097e-30,1.8628476790595036e-34,3.201309869967021e-57,5.43416487801458e-42,3.514698592958292e-40,5.290397942011624e-29,1.1532666998381771e-55,4.238545892462006e-78,1.1000627690265799e-23,4.357283817779427e-81,2.084693232806784e-92,1.8447818618424352e-68,7.250240625443832e-55,3.524363165820401e-77,4.566553405323301e-81,9.860348413604532e-68,1.666536757034925e-110
2.050564614400035e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679989813,0.11866996602986467,0.022821567693052824,2.690435223464035e-87,5.356973611406334e-41,2.09432712256509e-27,9.680878654734257e-63,3.575503622231952e-41,8.79546427917833e-98,1.8097858851015675e-15,1.7333863697448313e-80,1.809785885092707e-15,8.952672179906546e-55,1.0374060407910144e-53,3.5561079374798555e-82,4.12329901426327e-83,7.543771052591155e-29,1.349660415566135e-62,9.883737552275174e-14,2.9263990225670727e-15,1.1715357150934041e-17,6.352617763877794e-29,2.352266517174635e-28,1.1715356013001904e-17,5.663990530920383e-25,5.121802002649061e-29,1.725684702882855e-33,1.184105345349732e-55,4.3475373130761007e-41,2.8118931452732323e-39,2.1162452539788093e-28,3.6905678325561104e-54,6.262640594145423e-76,2.2001889954495944e-23,6.444013560172692e-79,6.161992700207243e-90,1.180698884929518e-66,1.1601171745948695e-53,4.2856533251248807e-75,6.753506892425452e-79,3.155548053610947e-66,9.84738330547668e-108
4.101184855434213e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997963,0.11866996602976401,0.02282156769305136,8.736507060821105e-85,4.2856808517983276e-40,8.377483949726171e-27,7.856491639097506e-61,2.860493423191716e-40,2.8525788536485746e-95,3.619620865122398e-15,1.109420789794614e-78,3.619620865086954e-15,1.4324761190331336e-53,1.6599096262104464e-52,5.768397091412716e-80,6.6884431809365075e-81,3.0175698138483205e-28,8.411655262805047e-61,1.976774322519998e-13,5.852877430939531e-15,2.3431033251091032e-17,2.541097771794812e-28,9.409257316393547e-28,2.3431028699065158e-17,2.265437363078192e-24,4.097155256305827e-28,1.7570755929512274e-32,4.8106708398297827e-54,3.4781108486438026e-40,2.2495691692661098e-38,8.465152972291456e-28,1.1809183686724942e-52,1.015868962664752e-73,4.400452764402822e-23,1.046581238288612e-76,1.9997210381047405e-87,7.556077780406425e-65,1.8562504195547827e-52,5.340921332630114e-73,1.0968475430412333e-76,1.0098130540950902e-64,6.387267636374512e-105
8.202425337502569e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679959276,0.11866996602956269,0.022821567693048436,3.182873444438652e-82,3.428585753274263e-39,3.35103168240378e-26,7.153146291515625e-59,2.2884309454424403e-39,1.0378338974294457e-92,7.239290825174122e-15,7.100464281898708e-77,7.23929082503234e-15,2.2920006409309212e-52,2.6559025459234753e-51,1.0496902156847089e-77,1.2171133786167443e-78,1.2070402042354174e-27,5.3103622004917955e-59,3.9535754570557623e-13,1.1705834247678047e-14,4.686238887627974e-17,1.0164486224418726e-27,3.763741065659523e-27,4.686237066635382e-17,9.060202480443991e-24,3.277149483149e-27,2.007912695120294e-31,2.192968641386971e-52,2.782519209371811e-39,1.7996787056999292e-37,3.3860954196679746e-27,3.778315077312194e-51,1.8486030629329183e-71,8.801025566738073e-23,1.9070822479865046e-74,7.280394269365822e-85,4.8351001513036184e-63,2.9700510190435997e-51,6.7428372037413184e-71,1.998681465462865e-74,3.2314609405817e-63,4.647444538894495e-102
1.640490630163928e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767991856,0.11866996602916004,0.022821567693042583,1.2990616236510429e-79,2.742885489417743e-38,1.3404227003253364e-25,7.296486528254364e-57,1.8307592330985668e-38,4.2307562374233414e-90,1.4478630745317824e-14,4.544351908660961e-75,1.447863074475069e-14,3.667232085629027e-51,4.2494791466471874e-50,2.1401784089412425e-75,2.4815318527982046e-76,4.828185374638535e-27,3.374320918853801e-57,7.907177725930509e-13,2.3411747881129477e-14,9.37251138347387e-17,4.065808560385759e-27,1.5055039654961692e-26,9.372504098158355e-17,3.6227887592468864e-23,2.620753828553922e-26,2.5693986922422913e-30,1.1197906316833498e-50,2.2260245889644456e-38,1.4397547254042309e-36,1.3544448853837957e-26,1.2086269112619095e-49,3.769054790696043e-69,1.7602352229123741e-22,3.8929287731429545e-72,2.9696433634447706e-82,3.0933629998293357e-61,4.752121892063898e-50,8.568610220444753e-69,4.0799261194838416e-72,1.0340762530386284e-61,3.78892927313167e-99
3.28098682299127e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767983713,0.11866996602835475,0.022821567693030877,5.8022544349028235e-77,2.194315878999509e-37,5.361730087970649e-25,8.14564115711748e-55,1.4646131674043744e-37,1.8880439677760745e-87,2.895731058576625e-14,2.908402715205693e-73,2.8957310583497713e-14,5.867596119566471e-50,6.799186237646255e-49,4.776463601424571e-73,5.5382980684453174e-74,1.931279061562031e-26,2.1506105870089253e-55,1.5814382262892864e-12,4.682357514792993e-14,1.8745061865263122e-16,1.626322272771033e-26,6.022030231506535e-26,1.8745032713468464e-16,1.4480717141108723e-22,2.0950407278824783e-25,3.594750489535953e-29,6.2558916994332455e-49,1.7808185745151648e-37,1.1518123405368744e-35,5.417791947284821e-26,3.8647759277779603e-48,8.411798319777259e-67,3.5205729784755715e-22,8.695650492898385e-70,1.3258178085629741e-79,1.9783152348265978e-59,7.603427182419634e-49,1.0921982386394676e-66,9.113417695365443e-70,3.3090534380734114e-60,3.3816853649080985e-96
