Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),H2OX(23),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53)
5.726682420223071e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996252,0.022821567693054247,0.0,1.8170213277099324e-54,1.634129423113144e-30,3.4051809265572926e-72,7.7923784839606531e-46,2.4205825345194322e-110,5.054252822623996e-17,8.2407440413355445e-90,5.0542528226232941e-17,5.4527998228859995e-61,3.02033091814896e-60,3.499666036801418e-93,4.0578535713213579e-94,2.7735340976911063e-44,1.2009129148343116e-71,2.7602654259070924e-15,8.1726553357120513e-17,3.2717879844433285e-19,4.9567265086441292e-32,1.8353917459494672e-31,3.271787975564829e-19,4.4198023686585234e-28,1.1168844896216145e-33,2.7651346583681166e-38,9.4795846381140845e-46,1.4871308373792427e-63,6.1311861659406737e-44,9.2051503377316493e-82,6.1632394148901224e-87,6.3237032810742271e-90
1.1458340237857283e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999422,0.1186699660299597,0.022821567693054205,0.0,2.9096016631586851e-53,6.540776466185976e-30,2.2041596484491589e-70,6.2402226840093314e-45,6.2670606366827402e-108,1.0112896829281844e-16,5.2822277169131145e-88,1.0112896829279034e-16,8.7339561473979e-60,4.8381532927746014e-59,4.5305075423229037e-91,5.2531115866014139e-92,2.2205136820802296e-43,3.8472345632153323e-70,5.5229289972741623e-15,1.6352411153905004e-16,6.546418539033772e-19,1.9839823411301906e-31,7.3463501487016814e-31,6.5464185034965964e-19,1.7690683076418205e-27,8.9418436510499973e-33,2.2367576531903409e-37,7.589431608775363e-45,4.813352055676922e-62,4.908677033148161e-43,5.8980151353824924e-80,7.9786477737222176e-85,8.19043990455283e-88
2.2921655873125706e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999885,0.11866996602995408,0.022821567693054122,0.0,4.6572575525910432e-52,2.6171626497319094e-29,1.4398647973452198e-68,4.9947073411670665e-44,1.6374070067891037e-105,2.0230184842598425e-16,3.3832365808479059e-86,2.0230184842587184e-16,1.3981915302429786e-58,7.7455471357879691e-58,5.9186798755977848e-89,6.8626937556297789e-90,1.7770857674229228e-42,1.2318055993784343e-68,1.1048256140004456e-14,3.2711922790290402e-16,1.3095679674955168e-18,7.9385134408472741e-31,2.9394969626764463e-30,1.3095679532759816e-18,7.0785417488586707e-27,7.1561550728772923e-32,1.826849371493222e-36,6.073851718157137e-44,1.572383200324713e-60,3.9284335964849915e-42,3.776881097336985e-78,1.0423349150314903e-82,1.0703899929869248e-85
4.5848287143662556e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997712,0.11866996602994283,0.022821567693053959,0.0,7.4531281045226147e-51,1.0470355494354971e-28,9.5806040844441836e-67,3.9967777972458579e-43,4.3570917495581199e-103,4.0464760869235124e-16,2.1661072574152904e-84,4.0464760869190149e-16,2.2377134582997351e-57,1.2396477640448973e-56,7.8752649117878892e-87,9.1313489545865904e-88,1.4219385550995828e-41,3.9428831164947963e-67,2.2098910425449668e-14,6.5430946063059211e-16,2.6194202053761884e-18,3.1759221569895573e-30,1.1759901910379362e-29,2.619420148488503e-18,2.8318489823325619e-26,5.7259513870402018e-31,1.5205888612491413e-35,4.8600039616148025e-43,5.232661935751465e-59,3.1433439401289303e-41,2.4178925696693564e-76,1.3869078460930715e-80,1.4247952713709951e-83
9.170154968473625e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995436,0.11866996602992032,0.022821567693053633,0.0,1.192621706786835e-49,4.1884836220268164e-28,6.5967102914712932e-65,3.1978270563454626e-42,1.199571386285542e-100,8.0933912922522698e-16,1.3865761751928921e-82,8.0933912922342769e-16,3.5808272092640653e-56,1.9837245032855934e-55,1.0842249929319264e-84,1.2571560261361352e-85,1.137658759708697e-40,1.2618994550565677e-65,4.4200218996278598e-14,1.3086899260858879e-15,5.2391247239246049e-18,1.2704721396942602e-29,4.7043435878682802e-29,5.2391244963530541e-18,1.1328088674060265e-25,4.5811001468811554e-30,1.3107235544170496e-34,3.8883719514882206e-42,1.8023955004420018e-57,2.5149142386531375e-40,1.547671651279635e-74,1.9094216606323436e-78,1.9626938447141026e-81
1.8340807476688365e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990884,0.1186699660298753,0.022821567693052977,0.0,1.9082914275540273e-48,1.6754620728132682e-27,4.8163647635826222e-63,2.5584235814242416e-41,3.5011272565263643e-98,1.6187221702915452e-15,8.8749437095862573e-81,1.6187221702843475e-15,5.729712099697168e-55,3.174189227183256e-54,1.5825629074950942e-82,1.8349775213130031e-83,9.1017006052834769e-40,4.0383612440177104e-64,8.8402836137690497e-14,2.6174508569961607e-15,1.0478533932181752e-17,5.0820944271806066e-29,1.8818139902316943e-28,1.0478533021840194e-17,4.5312365250169197e-25,3.6649006439975084e-29,1.1992457542024309e-33,3.1108446146358302e-41,6.5853110881328288e-56,2.0120274080071456e-39,9.9058039044110479e-73,2.7870413228033483e-76,2.8672738235764131e-79
3.668211249311784e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998178,0.11866996602978526,0.022821567693051669,0.0,3.0533427561690001e-47,6.7019882350751322e-27,3.8430310304266194e-61,2.0468036401257899e-40,1.1164567517876576e-95,3.2374882524264486e-15,5.6802379627864516e-79,3.2374882523976563e-15,9.1678502110160299e-54,5.0788853114340971e-53,2.5240124422210731e-80,2.9265857590405649e-81,7.2815308471229023e-39,1.2923208738985312e-62,1.7680807041953035e-13,5.2349727188154254e-15,2.0957353033433397e-17,2.032878391084638e-28,7.5274089747397625e-28,2.095734939184666e-17,1.8123848361770996e-24,2.9317445951274748e-28,1.2003832111876112e-32,2.4887337669518279e-40,2.6303463456187231e-54,1.6096609379639777e-38,6.3399401886844547e-71,4.4450219154711815e-74,4.5784305550023736e-77
7.336472252597679e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679963573,0.1186699660296052,0.022821567693049053,0.0,4.8854067478899219e-46,2.6808254371794332e-26,3.4327322230092802e-59,1.6374688200431435e-39,3.9850172608779444e-93,6.4750204167053216e-15,3.6354399659954596e-77,6.4750204165901511e-15,1.4668808986557362e-52,8.1263578127785577e-52,4.5060438066372848e-78,5.2247458288564672e-79,5.8252898593596946e-38,4.1354992137600746e-61,3.5361853897927442e-13,1.0470016442448836e-14,4.1914993975655542e-17,8.1315903718680832e-28,3.0109941136654449e-27,4.1914979407988736e-17,7.2484401456044454e-24,2.3450307725223771e-27,1.3457709596191e-31,1.9910090476358251e-39,1.1763506773045798e-52,1.287745320878117e-37,4.0576339088542074e-69,7.9355640936647958e-72,8.1848458026819596e-75
1.467299425916947e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679927157,0.11866996602924505,0.022821567693043818,0.0,7.8166883774820429e-45,1.0723379259290713e-25,3.4420080706490773e-57,1.3099854153747171e-38,1.5968413671004933e-90,1.2950084745299334e-14,2.3267096214199243e-75,1.2950084744838653e-14,2.3470293181980638e-51,1.300227042722686e-50,9.0308838567837338e-76,1.0471285606392446e-76,4.6602532172756418e-37,1.3233713190248011e-59,7.0723947608301976e-13,2.094010388969517e-14,8.3830286825124463e-17,3.2526479634299821e-27,1.2044036868348039e-26,8.3830228544792226e-17,2.8984528684691738e-23,1.8754076426316668e-26,1.6930518579777495e-30,1.5928141376646092e-38,5.9049366549793667e-51,1.0302044292431966e-36,2.5969087584587908e-67,1.5904228597022445e-69,1.6424131128119928e-72
2.9346038272313052e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679854321,0.11866996602852478,0.022821567693033347,0.0,1.2506702381126012e-43,4.2893809705279549e-25,3.7950208360953011e-55,1.0479924697862707e-37,7.0376542610483916e-88,2.5900213402632424e-14,1.4891031168038265e-73,2.5900213400789702e-14,3.7552627758900814e-50,2.0803662622451587e-49,1.9905130888786008e-73,2.307994478581721e-74,3.7282035169095345e-36,4.2348066299332999e-58,1.4144813502275397e-12,4.1880278784105918e-14,1.6766091643330862e-16,1.3010587108119953e-26,4.817626322803483e-26,1.6766068323649888e-16,1.1586344234361665e-22,1.4993264797136816e-25,2.3397761325172407e-29,1.2742510073621607e-37,3.2582437858909701e-49,8.2416928076875987e-36,1.6620289277816814e-65,3.5054784889157781e-67,3.6233627766643637e-70
