Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),O(29),H2OX(23),CO2X(24),acetyl(44),C2H4X(215),C2H4X(70),HOCO(73),CHO2(74),S(216)
6.402625589817542e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999967,0.11866996602996219,0.02282156769305424,4.683412318159791e-98,1.632413977552923e-45,2.0426621585535606e-30,1.9615260378214454e-71,1.0771114513956473e-45,1.7430092123676414e-109,5.650824820958646e-17,1.5919228878887635e-89,5.650824820957914e-17,8.426850088538906e-61,5.332434897824391e-60,2.2539592740059518e-92,2.613460635889629e-93,7.357674541448699e-32,2.2098791550429283e-71,3.086070564728901e-15,9.13730644542194e-17,3.6579701827556056e-19,6.195907515168125e-32,2.2942387403700314e-31,3.657970149924287e-19,1.639792744191082e-27,1.375080701715834e-32,1.003914991544338e-36,6.749695685515014e-62,8.568594480685508e-44,1.2456164678558173e-62,2.06403988110878e-31,3.9694344106286734e-86,1.2099995861840008e-88,6.869785752964392e-25,1.324812104196516e-45,3.7601009745211144e-88,1.218861073635764e-101,1.245269372553567e-76,2.2082113311510675e-85,3.126697267575716e-120,4.8344797091769894e-122,1.735995265906752e-173
1.2810813843049348e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999355,0.11866996602995904,0.022821567693054195,1.2055931855597073e-95,1.306923761898102e-44,8.175975968703422e-30,1.2617710109576867e-69,8.625627369319674e-45,4.484798281819722e-107,1.13065591335081e-16,1.0204053371332938e-87,1.1306559133505181e-16,1.3497605180052724e-59,8.54182484415125e-59,2.89974870960097e-90,3.362252012431863e-91,2.9449872819031577e-31,7.511843149776043e-70,6.174822337592369e-15,1.828255147159556e-16,7.319118478503646e-19,2.4799774285714634e-31,9.182933914560127e-31,7.319118347092261e-19,6.563389320602275e-27,1.1008917303951556e-31,8.068984440206533e-36,2.1709266353751026e-60,6.860088791842629e-43,3.990861843173928e-61,8.261538559430102e-31,5.106730380237276e-84,1.5573778235884548e-86,1.3745541515450424e-24,1.0606551127502464e-44,4.8395867532118666e-86,3.13753753998468e-99,7.979658659519979e-75,1.5006227305394072e-83,1.6098159880038315e-117,2.4889765050505853e-119,2.863021259119094e-169
2.562719034951296e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998717,0.11866996602995275,0.022821567693054105,3.112567630291124e-93,1.0459362139674817e-43,3.2714585612540525e-29,8.142123845568062e-68,6.903997906320357e-44,1.1575616222341142e-104,2.2618027758607183e-16,6.535637706299278e-86,2.2618027758595513e-16,2.1607890998562118e-58,1.3674868085816502e-57,3.742285043275215e-88,4.3391709671411055e-89,1.1783785151187875e-30,2.6819540986067677e-68,1.23523258833145e-14,3.6573041523942165e-16,1.464141516875537e-18,9.923137812998637e-31,3.6743696938516404e-30,1.4641414642934263e-18,2.6261665724671955e-26,8.81033660419321e-31,6.508154314858794e-35,7.004770652636796e-59,5.490160972330617e-42,1.2778433001658524e-59,3.305691532460793e-30,6.590516145959144e-82,2.010420811502238e-84,2.749705746077686e-24,8.488462639410841e-44,6.247428274076055e-84,8.100193677099057e-97,5.110102238684789e-73,1.0707731582219101e-81,8.312458434253879e-115,1.2852038789836668e-116,4.723258530840699e-165
5.125994336244018e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997446,0.11866996602994016,0.02282156769305392,8.092636614853806e-91,8.36907891275302e-43,1.3087990122549667e-28,5.291623519676949e-66,5.524597070765081e-43,3.0089810964147483e-102,4.524096500880603e-16,4.184422794578812e-84,4.524096500875932e-16,3.4582006434883103e-57,2.1886149439842246e-56,4.864006222635103e-86,5.639804110040139e-87,4.7142813744824234e-30,1.0356694183198365e-66,2.470733297473954e-14,7.315402162863289e-16,2.9286008944304527e-18,3.9698995036567046e-30,1.469987134520787e-29,2.928600684064248e-18,1.0506023691419014e-25,7.049378930580897e-30,5.288346900698706e-34,2.2764791981047032e-57,4.3929709549528926e-41,4.090228918910347e-58,1.3224918614552624e-29,8.565972678662043e-80,2.6136054094171003e-82,5.500010703284724e-24,6.792056909228674e-43,8.121838629844409e-82,2.1059205021587426e-94,3.2713865842320045e-71,8.261022774117317e-80,4.322371858328195e-112,6.683112612401437e-114,7.820716666112923e-161
1.0252544938829462e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679994903,0.118669966029915,0.022821567693053556,2.134163163907385e-88,6.695898948381023e-42,5.235642634434947e-28,3.488336003182734e-64,4.420237222894254e-42,7.933007889574756e-100,9.048683950920643e-16,2.6785473963827606e-82,9.04868395090196e-16,5.533871602263669e-56,3.5022927542230294e-55,6.412185962507187e-84,7.434914971589687e-85,1.885866023523195e-29,4.448759969244058e-65,4.941734715751277e-14,1.4631598183800437e-15,5.857519807577069e-18,1.588087619702471e-29,5.880427064485653e-29,5.857518966015592e-18,4.202469380041241e-25,5.639672300599011e-29,4.3604147263537414e-33,7.505142042920795e-56,3.514723306723095e-40,1.3089913571519379e-56,5.290397942009887e-29,1.1292462813905638e-77,3.4464436876433895e-80,1.1000627690265799e-23,5.4341568250486264e-42,1.0709904055183337e-79,5.5530468005275864e-92,2.093882593354357e-69,7.087728944619548e-78,2.279628760632683e-109,3.524985933600979e-111,1.3059586721103117e-156
2.050564614400035e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679989813,0.11866996602986467,0.022821567693052824,5.7815053814286264e-86,5.356973611338862e-41,2.0943586748464435e-27,2.3621888562641475e-62,3.536413617987578e-41,2.1481415767218757e-97,1.8097858851001815e-15,1.714435730088919e-80,1.809785885092707e-15,8.854795060698624e-55,5.604075260113552e-54,8.682498786378035e-82,1.0067337470244705e-82,7.543771052478394e-29,2.1494737771958683e-63,9.883737552275174e-14,2.9263990225670727e-15,1.1715358266165346e-17,6.352597591276159e-29,2.3522665171730905e-28,1.171535489955714e-17,1.6808304912906997e-24,4.511365991795444e-28,3.6954049828302574e-32,2.5421578011058962e-54,2.8119326843870944e-39,4.1885595576455334e-55,2.1162452539774196e-28,1.529069710870424e-75,4.668724412717652e-78,2.2001889954495944e-23,4.3475244276988333e-41,1.4508173720124052e-77,1.5040271641111258e-89,1.3400198002044668e-67,6.840094235669332e-76,1.2349696066549748e-106,1.9099608746672534e-108,2.216519257387903e-152
4.101184855434213e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997963,0.11866996602976401,0.02282156769305136,1.6426367434775342e-83,4.285680851688981e-40,8.37773630906351e-27,1.6775378470046902e-60,2.82922043218588e-40,6.098969916406871e-95,3.6196208651168525e-15,1.0972917961437587e-78,3.619620865086954e-15,1.4168152499622442e-53,8.966845095997787e-53,1.2327720571604079e-79,1.4293963693449495e-80,3.017569813758109e-28,1.1521885458567557e-61,1.976774322519998e-13,5.852877430939531e-15,2.3431037713705286e-17,2.5410816333905217e-28,9.409257316381192e-28,2.3431024245196232e-17,6.721654088615484e-24,3.608241118744049e-27,3.287329353362949e-31,9.033011271930662e-53,2.2496324177149433e-38,1.3400479843884644e-53,8.465152972280339e-28,2.1710274987098746e-73,6.633511037444013e-76,4.400452764402822e-23,3.4780902315914997e-40,2.061380646501693e-75,4.271737665483006e-87,8.574286886951541e-66,7.325438194248059e-74,7.016137685913798e-104,1.0854479479865892e-105,3.8684085434536086e-148
8.202425337502569e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679959276,0.11866996602956269,0.022821567693048436,5.036628076950021e-81,3.4285857530948643e-39,3.351233468496838e-26,1.2855589761234451e-58,2.2634121601245395e-39,1.8680942378264265e-92,7.239290825151936e-15,7.022836860456168e-77,7.23929082503234e-15,2.2669428289003384e-52,1.4347209290950478e-51,1.8884574816156295e-77,2.1896620845982346e-78,1.2070402041632476e-27,6.656589434535754e-60,3.9535754570557623e-13,1.1705834247678047e-14,4.6862406739694026e-17,1.0164357116613184e-27,3.763741065649636e-27,4.686235285070272e-17,2.6872463228033036e-23,2.8851284802900254e-26,3.1589981965257436e-30,3.464788062781237e-51,1.7997798541655755e-37,4.286044221754859e-52,3.38609541965908e-27,3.3257510001295095e-71,1.0172410881940641e-73,8.801025566738073e-23,2.782486221910672e-39,3.1611062495564755e-73,1.3091057542351883e-84,5.484868090716896e-64,8.458515849346238e-72,4.3012353473894616e-101,6.658304981763954e-103,7.034328899721954e-144
1.640490630163928e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767991856,0.11866996602916004,0.022821567693042583,1.7144249239180948e-78,2.742885489116485e-38,1.3405839643626985e-25,1.093614302663874e-56,1.8107440518968637e-38,6.350495924520739e-90,1.4478630745229077e-14,4.494669772847796e-75,1.447863074475069e-14,3.6271392571265623e-51,2.295573221986073e-50,3.210900549788613e-75,3.723031667543555e-76,4.828185374061172e-27,4.027748786216524e-58,7.907177725930509e-13,2.3411747881129477e-14,9.372518539081507e-17,4.0657052750665285e-27,1.5055039654882595e-26,9.372496971866352e-17,1.0737515913185173e-22,2.3057220756479836e-25,3.3725092072804926e-29,1.4756653121062261e-49,1.4399164031230031e-36,1.3701465172432734e-50,1.3544448853766796e-26,5.654696846033006e-69,1.7318590008621562e-71,1.7602352229123741e-22,2.225971809465681e-38,5.381813657666934e-71,4.4531492943863456e-82,3.5067928214699617e-62,1.0231997207862437e-69,2.9270998537579215e-98,4.535933589982006e-100,1.3396065348140669e-139
3.28098682299127e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767983713,0.11866996602835475,0.022821567693030877,6.558655213609651e-76,2.1943158784719984e-37,5.363017559130248e-25,1.045574235586964e-54,1.448600967758391e-37,2.4262416038189454e-87,2.895731058541126e-14,2.8766059732575534e-73,2.8957310583497713e-14,5.803447356040744e-50,3.6729302692765325e-49,6.135704817069127e-73,7.114334992014038e-74,1.9312790611001404e-26,2.4996829120236283e-56,1.5814382262892864e-12,4.682357514792993e-14,1.874509056915174e-16,1.6262396467311568e-26,6.022030231443257e-26,1.8745004208265478e-16,4.285825635706995e-22,1.8407631927604673e-24,4.046426096489938e-28,7.063461647734087e-48,1.1520705124529226e-35,4.37555031407351e-49,5.417791947227893e-26,1.0805548994512313e-66,3.313736912471859e-69,3.5205729784755715e-22,1.780734129527226e-37,1.0297599771650186e-68,1.7024606250308717e-79,2.2398183075016286e-60,1.2697489321823179e-67,2.2387592853386298e-95,3.4757720492846436e-97,2.6287992566484245e-135
