Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3X(55),C2H4(47),COX(50),O(29),CHOX(53),acetyl(44),C2H4X(215),C2H6X(52),C2H4X(70),CH4OX(63),C2H3X(214),C2H2X(254),C2HX(261),C2H3X(69),C2H3(46),C2H2(288),C2H2(308),C2H2X(309)
6.816115440814116e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999965,0.11866996602996198,0.022821567693054236,0.0,1.969549037629068e-45,2.3150159849707013e-30,4.756949464850391e-72,1.3308586291435713e-45,4.7900397508429083e-110,6.01576240483743e-17,2.3731752043809357e-89,6.015762404836204e-17,1.1084481448761996e-60,3.2473361995095725e-59,5.818675839059645e-93,6.746741360219755e-94,8.33869781365096e-32,1.028532323959377e-70,3.28537299778132e-15,9.727405527060599e-17,3.894206619238614e-19,7.02202925709165e-32,2.600137238983236e-31,3.894206613095541e-19,1.5984197003462785e-45,3.0316921363545976e-28,4.415078301163627e-34,5.372579742361083e-39,4.0924366088356366e-64,1.0338222759284352e-43,2.339245198440624e-31,6.400447348691694e-61,1.0247235770838717e-86,7.313445462782345e-25,5.090005348001316e-90,3.3498764006020155e-102,6.811897498331699e-75,1.4363641417206625e-59,1.0884833437889414e-84,3.285863731499026e-73,5.567874921813543e-66,3.3497043796423737e-68,4.155240309627816e-80,3.51686497872593e-86,1.370456992774383e-86,1.0679371746891466e-96,6.321303876253335e-109,1.1642958486669172e-110
1.3638152789048574e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999931,0.11866996602995863,0.022821567693054188,0.0,1.5768368031569562e-44,9.266097066622483e-30,3.123100977574198e-70,1.0657662771181694e-44,1.257776456072436e-107,1.203675136259044e-16,1.5211796142043098e-87,1.2036751362585533e-16,1.7754434058425266e-59,5.2017844584445256e-58,7.639697242614088e-91,8.858211521099395e-92,3.337652252830866e-31,5.659764014636448e-69,6.573600359590175e-15,1.9463262318697036e-16,7.791796569238023e-19,2.8106416780850405e-31,1.0407325102345129e-30,7.791796544649699e-19,1.2797076571510732e-44,1.2134651679128275e-27,3.534741308801479e-33,4.409417750407747e-38,1.3436351783338693e-62,8.276864306915449e-43,9.363077032825267e-31,2.0506684091779857e-59,1.3454225833872146e-84,1.4633246587334237e-24,6.687008413792836e-88,8.800713707670931e-100,4.3650764020996164e-73,2.300678886650749e-58,1.1968280666444323e-82,1.0527408171068668e-71,3.5697020784672316e-64,5.3620117217797585e-67,1.3315605288954268e-78,3.866924459844969e-84,1.506868674394487e-84,2.3473943091826968e-94,2.778288350655306e-106,5.1172189570389604e-108
2.728222748551749e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998634,0.11866996602995193,0.02282156769305409,0.0,1.2619486800958128e-43,3.707645808463683e-29,2.095884953782817e-68,8.530449821724689e-44,3.375491673098719e-105,2.407872927809906e-16,9.743068251756317e-86,2.4078729278079426e-16,2.842251427112633e-58,8.3276954662552e-57,1.0252163860440423e-88,1.188736059836263e-89,1.3354956504737913e-30,3.326432473687064e-67,1.3150055083202441e-14,3.8934975901969197e-16,1.5586976487715259e-18,1.1246227595496803e-30,4.164285652373201e-30,1.5586976389329792e-18,1.0241550378227539e-43,4.855427131466179e-27,2.828857901545392e-32,3.701878695647733e-37,4.5100199520883996e-61,6.62400698151569e-42,3.746450402498793e-30,6.566166133426945e-58,1.8055025380828936e-82,2.9272853846172976e-24,8.978657268166795e-86,2.3627512551478206e-97,2.7953912412646796e-71,3.6830843651147006e-57,1.4060051287028611e-80,3.370795080295187e-70,2.286606212677016e-62,8.581191410048431e-66,4.278713624730867e-77,4.542771154712429e-82,1.770233585943845e-82,5.513708537911357e-92,1.3049726593597366e-103,2.4035773212009398e-105
5.457037687845533e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999728,0.11866996602993854,0.022821567693053896,0.0,1.0097506856849555e-42,1.4832997642066453e-28,1.4645084461971157e-66,6.8260881205678034e-43,9.430371919708518e-103,4.816268510912667e-16,6.237970755077095e-84,4.816268510904811e-16,4.548836216292248e-57,1.3328186058494388e-55,1.43232416644233e-86,1.66077660064878e-87,5.3428522244600804e-30,2.034166077308108e-65,2.6302964530405187e-14,7.787840306851067e-16,3.117733639858416e-18,4.4992232308082225e-30,1.6659854185965315e-29,3.117733600497709e-18,8.194796077233747e-43,1.9424756958531614e-26,2.263501040053875e-31,3.238922308534353e-36,1.5766413305392694e-59,5.300212048201113e-41,1.4988241088837347e-29,2.1018074113566314e-56,2.5224576429050556e-80,5.8552088402790294e-24,1.2552893323978678e-83,6.603672901157646e-95,1.7895994180766266e-69,5.894533956208678e-56,1.719010970118406e-78,1.0789784333216514e-68,1.4640557885909046e-60,1.3731541215512462e-64,1.3926439106911257e-75,5.5540868423647134e-80,2.164324538379236e-80,1.3480087949857742e-89,6.380341111343369e-101,1.1751697074085488e-102
1.0914667566433099e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999457,0.11866996602991176,0.022821567693053508,0.0,8.078772623645285e-42,5.933682053418193e-28,1.0945376222884803e-64,5.4615618849388547e-42,2.8172369891084273e-100,9.633059677122338e-16,3.993071718995531e-82,9.633059677090917e-16,7.279125230330499e-56,2.1328196139166845e-54,2.1399665797947523e-84,2.4812863588919454e-85,2.137314826696961e-29,1.2715211457859418e-63,5.260878342472357e-14,1.5576525740158234e-15,6.23580565159856e-18,1.7998356706127613e-29,6.66448400220046e-29,6.235805494142012e-18,6.556458908163743e-42,7.770444566433614e-26,1.810948634571404e-30,3.034388421222421e-35,5.8972799120296355e-58,4.240572320449093e-40,5.995784328152788e-29,6.726732495425351e-55,3.7686824970029114e-78,1.1711063767178426e-23,1.8773371213468317e-81,1.973816020575523e-92,1.1455081630527752e-67,9.432533687563301e-55,2.148658660490165e-76,3.453249358136267e-67,9.371819246918591e-59,2.1973302577459583e-63,4.803667373347924e-74,6.942271151404821e-78,2.7052742019877736e-78,3.3695547054478764e-87,3.189584516765059e-98,5.874769277750542e-100
2.1829927323608233e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998915,0.11866996602985817,0.02282156769305273,0.0,6.463325114244621e-41,2.3735694885710515e-27,9.016618271038449e-63,4.369526078310726e-41,9.274499269278857e-98,1.926664200955827e-15,2.555812465493964e-80,1.9266642009432596e-15,1.1647390243589035e-54,3.412759050372485e-53,3.523538694552029e-82,4.085535049887619e-83,8.549607193107585e-29,8.040455263886259e-62,1.0522042121301187e-13,3.1153896606768032e-15,1.2471949793349057e-17,7.199634884155685e-29,2.6659020494227177e-28,1.2471949163490003e-17,5.245415430412947e-41,3.108231830913361e-25,1.4487890680674823e-29,3.1364394705976015e-34,2.432095810049099e-56,3.3926190236083623e-39,2.398411282940775e-28,2.152663846046818e-53,6.205283082855124e-76,2.3422805683280947e-23,3.095076043796853e-79,6.5021403359154765e-90,7.331635634047367e-66,1.5093077452017559e-53,2.7171503653553456e-74,1.1051226570452003e-65,5.998371755608984e-57,3.5181684265882897e-62,2.1060327139327428e-72,8.779061056913854e-76,3.421037153377333e-76,8.521748955774128e-85,1.6132815944599835e-95,2.971439558193168e-97
4.366044683795851e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679978316,0.11866996602975101,0.022821567693051173,0.0,5.170783130684472e-40,9.494471807664563e-27,8.344881059036264e-61,3.4957314911036046e-40,3.429968749866372e-95,3.853380667449652e-15,1.6357988808714489e-78,3.853380667399382e-15,1.8636456284773104e-53,5.460611894095445e-52,6.517695434173128e-80,7.557252882205723e-81,3.419912455831521e-28,5.114559919512678e-60,2.1044369678819458e-13,6.23086383399695e-15,2.4944238549968903e-17,2.8799119428024314e-28,1.06638249315771e-27,2.494423603042353e-17,4.196430823794606e-40,1.2432600515799859e-24,1.1589969800691868e-28,3.6432518782153806e-33,1.1269724188917974e-54,2.7141598249239987e-38,9.593839996047716e-28,6.8884282728946e-52,1.1478274417961833e-73,4.6846417764700913e-23,5.732949051605895e-77,2.406319861347181e-87,4.6921862460790223e-64,2.414974277127166e-52,3.4566085947967797e-72,3.5365245488870215e-64,3.838846999195209e-55,5.660167678881244e-61,1.7211458886050343e-70,1.1168249502709678e-73,4.3520595994057015e-74,2.1681308184167148e-82,8.209027927137128e-93,1.511988531181349e-94
8.732148586665904e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679956645,0.11866996602953668,0.022821567693048057,0.0,4.1366760887262506e-39,3.797827906450217e-26,8.635130242267146e-59,2.79662944003591e-39,1.4184857705978525e-92,7.706813600463857e-15,1.0469365303476697e-76,7.706813600262775e-15,2.9818835492605873e-52,8.737134631457588e-51,1.3481039250129446e-77,1.5631233820942083e-78,1.3679788982428797e-27,3.263037654720188e-58,4.208902479329845e-13,1.2461812180629986e-14,4.9888817955987764e-17,1.1519760132584685e-27,4.2655731861454e-27,4.9888807877240903e-17,3.357182699756911e-39,4.9726270413287975e-24,9.271097429701376e-28,4.7288420213416913e-32,5.83757843432296e-53,2.17135392253353e-37,3.837574777583924e-27,2.2041081650970336e-50,2.3741376173610877e-71,9.36941549244005e-23,1.1871643827081246e-74,9.957277477208784e-85,3.002745290993632e-62,3.8640243451666435e-51,4.410448390892209e-70,1.131708638316209e-62,2.456517760994477e-53,9.456779484523172e-60,2.7078426891561935e-68,1.4250124460752514e-71,5.55300921858748e-72,5.532786474325097e-80,4.189647717846939e-90,7.716748663360733e-92
1.746435639240601e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799133,0.11866996602910804,0.022821567693041826,0.0,3.3093612932747846e-38,1.5191393290824012e-25,9.741986170751715e-57,2.2373212431781994e-38,6.397366783623603e-90,1.541367946659849e-14,6.700474545196481e-75,1.5413679465794143e-14,4.771054085956682e-51,1.3979532426305575e-49,3.0405841620921235e-75,3.5255502027743354e-76,5.4719434254655954e-27,2.0847290365679304e-56,8.417833502002622e-13,2.492370887386705e-14,9.977798434157669e-17,4.607923631058482e-27,1.706237810280578e-26,9.977794402267806e-17,2.6857592136493003e-38,1.9886900251889596e-23,7.415340839967181e-27,6.684944494903251e-31,3.2955814788027384e-51,1.7370939147661167e-36,1.535037511669668e-26,7.051733742341783e-49,5.354753648412587e-69,1.8739168123123827e-22,2.6797586531122355e-72,4.4925535424430366e-82,1.9213756305587304e-60,6.182491330954721e-50,5.635511686517335e-68,3.621498685929864e-61,1.5716660474192608e-51,2.026596702863956e-58,5.717011611263523e-66,1.8208379199365143e-69,7.095468021542674e-70,1.4139176433212636e-77,2.1413433827857073e-87,3.944058358435007e-89
3.4928772003886225e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767982661,0.11866996602825074,0.022821567693029364,0.0,2.647498145146087e-37,6.076576286088407e-25,1.162737933112282e-54,1.7898640584744929e-37,3.0530672553663425e-87,3.0827411199292637e-14,4.2883294991735155e-73,3.082741119607524e-14,7.633718773217635e-50,2.2367321604092015e-48,7.256299542822579e-73,8.413661826486131e-74,2.188782937137175e-26,1.3326538019349137e-54,1.6835695546456087e-12,4.984750226022511e-14,1.9955634742640502e-16,1.8431710525613579e-26,6.82496745745306e-26,1.9955618612077128e-16,2.148609132406576e-37,7.951814605460114e-23,5.929761810685351e-26,9.988069953961252e-30,1.9676552291901012e-49,1.389680004802496e-35,6.140164006133226e-26,2.255618736172649e-47,1.2779020568416368e-66,3.747949417946676e-22,6.398292709772393e-70,2.1445437634487598e-79,1.2291744672012156e-58,9.892027958459992e-49,7.204852644504657e-66,1.1588831324905452e-59,1.0051991948015955e-49,9.814202696170909e-57,1.33813217325849e-63,2.3279147949784625e-67,9.071453528722397e-68,3.615338629098961e-75,1.0950661658485617e-84,2.0169619930449084e-86
