Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),CH3X(55),CO2X(24),COX(50),O(29),CHOX(53),acetyl(44),C2H4X(215),C2H6X(52),C2H4X(70),HOCO(73),CHO2(74),S(216),CHO2X(213)
6.5433594477983924e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999666,0.11866996602996212,0.02282156769305424,1.4535688749510204e-96,1.7424419607222545e-45,2.1334740078412356e-30,6.616475813785259e-71,1.1482683680483973e-45,6.140788166466499e-109,5.775033611035626e-17,1.811476903872196e-89,5.775033611034912e-17,9.181015026200903e-61,5.9030237684695e-60,7.770083550940957e-92,9.009394150128519e-93,7.684682298847944e-32,2.327811462449867e-71,3.153904394847914e-15,9.33815036009073e-17,3.7383747710239267e-19,6.471281733236044e-32,2.396204906576392e-31,3.7383746693222267e-19,5.0832985341832814e-27,1.293024420211343e-31,2.7946826042948856e-35,1.9625598685874004e-60,1.4141072150384374e-45,9.146242473157946e-44,1.576280287816071e-63,2.155774986888942e-31,1.141899556113165e-86,1.3683848406525734e-85,7.020788110478078e-25,1.241735754724579e-87,4.294121687075917e-101,1.6104792574818717e-77,1.1897066028013947e-59,2.378183624601529e-85,8.066004604778573e-113,1.5343004683931992e-120,6.968865351174808e-173,4.926282912993355e-101
1.3092403829956296e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999934,0.1186699660299589,0.022821567693054195,3.732289298883742e-94,1.3950130503759491e-44,8.539567752231912e-30,4.245381151317695e-69,9.195459810593682e-45,1.5760762555776292e-106,1.155508462746742e-16,1.161137084516099e-87,1.1555084627464569e-16,1.4705579745057279e-59,9.45582949411898e-59,9.971207300784917e-90,1.156159211386313e-90,3.0758756055445203e-31,7.513263045163419e-70,6.3105489325219995e-15,1.8684413796080537e-16,7.479997580271608e-19,2.590199088535585e-31,9.59106431050414e-31,7.479997173194595e-19,2.0345923611530356e-26,1.0351808489663698e-30,2.240431139329648e-34,6.296203019601688e-59,1.1321455789454562e-44,7.322644704387992e-43,5.050204716197217e-62,8.628718050584883e-31,1.4660062844787176e-84,1.756023447136507e-83,1.4047677488253662e-24,1.5941792151696768e-85,1.1025916273946016e-98,1.0319754909942076e-75,1.9055981578470095e-58,1.535107349756578e-83,4.14457249987427e-110,7.8836569560425145e-118,1.146517337636019e-168,1.265637175623972e-98
2.6190492594272105e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999869,0.11866996602995247,0.0228215676930541,9.587662147379648e-92,1.1164344172321408e-43,3.417028835551508e-29,2.7258225589133652e-67,7.360094815454722e-44,4.047759956519952e-104,2.3115186660330913e-16,7.437016483243886e-86,2.311518666031948e-16,2.3541699432419914e-58,1.5138126085736997e-57,1.2804316046084737e-87,1.484657523349547e-88,1.2307508935694891e-30,2.4413899400748484e-68,1.2623838007865154e-14,3.7376940668059506e-16,1.4963243504468121e-18,1.036416968891416e-30,3.837675013371379e-30,1.496324187558844e-18,8.14060513166288e-26,8.284194371287107e-30,1.7978045361453928e-33,2.0213160579170084e-57,9.0606049599372e-44,5.860484379415967e-42,1.6169860127929948e-60,3.452611155825249e-30,1.8829727348896614e-82,2.2549605563832297e-81,2.8101460860619402e-24,2.047601308275092e-83,2.8323641700885064e-96,6.60847328527525e-74,3.0506120704298906e-57,9.97543396906622e-82,2.1298716621967714e-107,4.0549711324085753e-115,1.882339812924882e-164,3.252018637380986e-96
5.238667012290372e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999739,0.11866996602993961,0.022821567693053914,2.4682479515380676e-89,8.93317165587951e-43,1.3671055627814475e-28,1.7541310090807993e-65,5.889567003206711e-43,1.0419040095150536e-101,4.623539072605746e-16,4.761527902167356e-84,4.623539072601172e-16,3.7676939472566914e-57,2.4228043029885524e-56,1.647946686785518e-85,1.9107904207938466e-86,4.923804991133908e-30,8.043772359475188e-67,2.525041615853139e-14,7.476199441201481e-16,2.9929736575883118e-18,4.146342305068579e-30,1.5353198958894107e-29,2.9929730058972644e-18,3.256440536526897e-25,6.627976448449868e-29,1.4461631012776017e-32,6.504055193000659e-56,7.249859801420247e-43,4.689506911413175e-41,5.175460840975493e-59,1.3812692772795205e-29,2.4237831588810433e-80,2.9021891927406556e-79,5.620904607260915e-24,2.6356955478337037e-81,7.291502134551847e-94,4.2303507890757843e-72,4.882303704187714e-56,6.5719120343828e-80,1.096665281089804e-104,2.0925516332465785e-112,3.08718862271482e-160,8.372310823395117e-94
1.0477902518016696e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999479,0.11866996602991389,0.02282156769305354,6.385429853893465e-87,7.147216000972199e-42,5.469439396714385e-28,1.134412403972523e-63,4.7122501356121416e-42,2.6950800579771047e-99,9.24757988575088e-16,3.0479659422514226e-82,9.247579885732585e-16,6.029128061485656e-56,3.8770502389235074e-55,2.1314022190925705e-83,2.4713560025584743e-84,1.9696822912415957e-29,2.720992991598459e-65,5.050357245978357e-14,1.49532101899915e-15,5.986272761253947e-18,1.658671550678645e-29,6.141779377137603e-29,5.9862701540128e-18,1.3024170018285866e-24,5.301864480370338e-28,1.1692721941649704e-31,2.1032792072242033e-54,5.80043728611733e-42,3.752328075920091e-40,1.6560891000331377e-57,5.525526737509005e-29,3.135258748522588e-78,3.753599854091514e-77,1.1242429036562174e-23,3.409377516698093e-79,1.886258695030236e-91,2.7073398543124486e-70,7.812745590474905e-55,4.444433472938774e-78,5.67331765574195e-102,1.0875881092077137e-109,5.060545513450191e-156,2.1656203653718196e-91
2.0956373529469343e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998959,0.11866996602986246,0.02282156769305279,1.6683031761803103e-84,5.718044408297533e-41,2.1883222081821753e-27,7.4091239625522206e-62,3.7700387360870536e-41,7.040086350214794e-97,1.8495661512040464e-15,1.950886410717409e-80,1.849566151196727e-15,9.64725913829618e-55,6.203730969550928e-54,2.7839292475241955e-81,3.2279595901237525e-82,7.879049765971951e-29,9.645724884499446e-64,1.010098850619668e-13,2.990723168756736e-15,1.1972872927505544e-17,6.634953334735408e-29,2.456811694653915e-28,1.1972862495999291e-17,5.2077593099931386e-24,4.24006153071875e-27,9.55023139915574e-31,6.869574231124358e-53,4.640568103076284e-41,3.002590797161828e-39,5.297886731197707e-56,2.2103005970597316e-28,4.095856859905814e-76,4.902761280761112e-75,2.2485507442777938e-23,4.453966279092024e-77,4.927792521108731e-89,1.7321822236119861e-68,1.2501240735017663e-53,3.148888206558256e-76,2.963274358004927e-99,5.734086382569643e-107,8.292818633136923e-152,5.655814412419506e-89
4.1913315552374635e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997919,0.11866996602975959,0.022821567693051294,4.442220176634466e-82,4.574544368567719e-40,8.757122226216056e-27,4.9316673866196206e-60,3.0161264425228077e-40,1.8740063408566823e-94,3.699182476461686e-15,1.248627531840554e-78,3.69918247643241e-15,1.5436138021059195e-53,9.926329610418283e-53,3.705547903908902e-79,4.2965742838479676e-80,3.1516840277429757e-28,3.6863647785790335e-62,2.020225102650487e-13,5.981527468270237e-15,2.394608110679431e-17,2.654033053346706e-28,9.827446521960761e-28,2.394603936299903e-17,2.0814514515703588e-23,3.389522292856565e-26,7.953000208827355e-30,2.2869333272864917e-51,3.712539369569439e-40,2.403065966116384e-38,1.6941060202413387e-54,8.841381980959027e-28,5.45344879843251e-74,6.525818248938087e-73,4.4971782445662423e-23,5.930267590100082e-75,1.3119397777852783e-86,1.1078076224296313e-66,2.0002663428753414e-52,2.404374227217208e-74,1.5767580707694835e-96,3.107976256203948e-104,1.35862493293621e-147,1.5047823941592716e-86
8.382719959818522e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767995838,0.11866996602955383,0.022821567693048304,1.2246705184542344e-79,3.659679345836888e-39,3.5058021444444963e-26,3.398541147958155e-58,2.4129393355839813e-39,5.1637173540893844e-92,7.398415126975856e-15,7.991408930852345e-77,7.398415126858754e-15,2.4698239526462423e-52,1.5882414068457215e-51,5.105866181130537e-77,5.92024003074915e-78,1.2606864354914414e-27,1.5625606557343948e-60,4.040477606660743e-13,1.1963136067290554e-14,4.7892528941083085e-17,1.0616221989986883e-27,3.931018439559643e-27,4.789236182914618e-17,8.312363953739041e-23,2.707487232583898e-25,6.861580587900152e-29,7.8840277935192575e-50,2.97006157111148e-39,1.9239704076825534e-37,5.413049810409343e-53,3.5365885395723514e-27,7.518242790895119e-72,8.991909896006502e-71,8.994480521324324e-23,8.175629098655615e-73,3.615927545665437e-84,7.079475617711048e-65,3.20048040862288e-51,2.035656338954223e-72,8.680775631210167e-94,1.773457106554232e-101,2.2248813221754985e-143,4.142520205546454e-84
1.676549676898064e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767991677,0.11866996602914234,0.022821567693042322,3.5808877005650654e-77,2.9277615189730387e-38,1.4046515106303654e-25,2.4837602390837694e-56,1.93036674044491e-38,1.5085824010286412e-89,1.4796880427999776e-14,5.114563375075909e-75,1.479688042753136e-14,3.9517518089086913e-51,2.54120875087845e-50,7.459949872441924e-75,8.649794395443935e-76,5.042771390942514e-27,7.439846489026315e-59,8.080982614475725e-13,2.3926353265304448e-14,9.578555121708665e-17,4.2464958208672176e-27,1.5724152474148366e-26,9.578488169035851e-17,3.3141902657737204e-22,2.1593713771145295e-24,6.284319574025922e-28,2.883367922681351e-48,2.3760550794306163e-38,1.541566684426359e-36,1.7269712990798667e-51,1.4146424279583373e-26,1.0993807255037953e-69,1.3137670929334672e-68,1.7989274179565223e-22,1.1955190189996749e-70,1.0568368761742265e-81,4.5173586817748804e-63,5.120812058483454e-50,1.9359329464127767e-70,5.063995419589601e-91,1.1068142457318613e-98,3.639127097099603e-139,1.2084091058405007e-81
3.3531050387304875e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767983355,0.11866996602831935,0.02282156769303036,1.1429120528887583e-74,2.342217234946454e-37,5.637040853490737e-25,1.98126505333455e-54,1.5442994999462747e-37,4.809356382667528e-87,2.9593811030029895e-14,3.273340272995909e-73,2.9593811028156224e-14,6.322829646769673e-50,4.065950607364808e-49,1.189456327701495e-72,1.3791717505283845e-73,2.017113686243043e-26,3.9281871962303284e-57,1.616199262928357e-12,4.785278766122527e-14,1.9157210777288993e-16,1.6985909889977305e-26,6.28967597607963e-26,1.915694211310681e-16,1.3171393805061e-21,1.7169847787467972e-23,6.2882639939558994e-27,1.1513507469475647e-46,1.9008364603162667e-37,1.2370337148760498e-35,5.493207457567686e-50,5.658582637401638e-26,1.7549519895601732e-67,2.0947436168856775e-66,3.5979617914945896e-22,1.9084491297288125e-68,3.3711358945034275e-79,2.8739291230273425e-61,8.193334005582337e-49,2.0421631174106285e-68,3.2215085982533394e-88,7.951663928709944e-96,5.932671000142132e-135,3.844254540514838e-79
