Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.9393065391395154e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.5839626202025925e-84,5.4750136611164123e-42,0.0,3.4000826365930954e-64,0.0,6.0394246257024269e-25,-4.1403183628420908e-125,6.0394246257024269e-25,9.0887831816120768e-87,1.6332834371771826e-106,0.0,0.0,8.7897323428319318e-68,4.8365580238822347e-102,2.3951488409191896e-18,1.1516088473824025e-19
1.6630058309590643e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,3.5432610228883914e-83,3.3069082513143117e-41,0.0,5.1382048804192596e-63,0.0,1.6910388951966791e-24,7.8760659315316933e-124,1.6910388951966791e-24,2.5631822777454011e-85,9.9360601906657676e-105,0.0,0.0,1.0435170237410068e-66,2.5035417260324245e-100,6.706416754573733e-18,3.2245047726707271e-19
3.80115618504929e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,7.0008866906781472e-82,1.5921339726526522e-40,0.0,5.5274463406564041e-62,0.0,3.8652317604495531e-24,8.3223142267962737e-122,3.8652317604495531e-24,5.5754813231402061e-84,4.4856125236635486e-103,0.0,0.0,1.0245312018804895e-65,1.0931442961912734e-98,1.5328952581882808e-17,7.3702966232473763e-19
8.077456893229741e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,1.2457703810121074e-80,6.9532673496178402e-40,0.0,5.0806754822080903e-61,0.0,8.213617490955299e-24,6.5781407207370796e-120,8.213617490955299e-24,1.0336002723799419e-82,1.6936819398670021e-101,0.0,0.0,9.0618624561660033e-65,4.0695021307687506e-97,3.2574024236500906e-17,1.5661880324400675e-18
1.6630058309590643e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996527,0.022821567693054285,0.0,2.101173833203735e-79,2.9028522431239194e-39,0.0,4.346624841628767e-60,0.0,1.6910388951966789e-23,4.6623535843502786e-118,1.6910388951966789e-23,1.7764947822102591e-81,5.8761694438894102e-100,0.0,0.0,7.6170414125806602e-64,1.4020051864968568e-95,6.7064167545736911e-17,3.2245047726707269e-18
3.3735261142312447e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.1186699660299652,0.022821567693054285,0.0,3.4511843304671117e-78,1.1859098590524568e-38,0.0,3.5938734745415722e-59,0.0,3.4303931873989767e-23,3.1375502294106109e-116,3.4303931873989743e-23,2.9444098195506832e-80,1.9570097647852737e-98,0.0,0.0,6.2449107522919423e-63,4.6527440487243509e-94,1.3604445416420806e-16,6.5411382531320436e-18
6.794566680775605e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996506,0.022821567693054282,0.0,5.5945185213158541e-77,4.793637260963134e-38,0.0,2.9224782239569905e-58,0.0,6.909101771803571e-23,2.0586614672328352e-114,6.9091017718035616e-23,4.7942081027077067e-79,6.3880058186273939e-97,0.0,0.0,5.0572906374510147e-62,1.516028908119664e-92,2.740050274011471e-16,1.3174405214054669e-17
1.3636647813864328e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999942,0.11866996602996478,0.022821567693054275,0.0,9.0097996091821502e-76,1.9275004594506626e-37,0.0,2.3570845616657019e-57,0.0,1.3866518940612749e-22,1.3339819935160465e-112,1.3866518940612711e-22,7.7378712065620574e-78,2.0644930974494968e-95,0.0,0.0,4.0705474793623668e-61,4.8951654774971397e-91,5.4992617387501191e-16,2.64409391358999e-17
2.732081008004177e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999887,0.11866996602996423,0.022821567693054261,0.0,1.4462723742358547e-74,7.7301389380481757e-37,0.0,1.8933385036872216e-56,0.0,2.7781353278231075e-22,8.5904706103781698e-111,2.778135327823092e-22,1.2434551300189512e-76,6.6391004082483721e-94,0.0,0.0,3.2663579980623354e-60,1.5735072012610732e-89,1.101768466822689e-15,5.2974006979590242e-17
