Time (s),Volume (m^3),Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),C2H4X(64),C2H4(48),HeX(49),C4H8a(86),HX(12),C2H3X(58),C4H6(99)
0.0,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3994019416676306e-25,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,2.4462887212029646e-177,1.0178590180982818e-58,-2.7473017353594918e-110,-8.0051114580318287e-131,4.4160116622938986e-193,1.0298292972209008e-43,1.6351284374358032e-58,0.0,0.5,3.1912083455291504e-19,2.2110709545077879e-18,9.6371131861238659e-20,3.1961289799706267e-35,4.4570449820803155e-21,4.4570449820803155e-21,2.5667107757086328e-50
6.718325436669366e-25,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,3.6484471338241419e-175,1.5381885479270902e-57,1.2662033166022341e-98,6.6409863397142559e-119,6.5861339066284755e-191,6.2201689552142324e-43,1.9412244809237837e-57,0.0,0.5,8.9353833674581882e-19,6.1909986726217915e-18,2.6983916921133779e-19,1.9304619039022548e-34,1.2479725949824884e-20,1.2479725949824884e-20,3.878813323688469e-49
1.5356172426672837e-24,0.004023131612903226,0.0,0.0,0.010942917987096772,0.5,1.7555120155031586e-172,1.6547130482866642e-56,2.4419635391664732e-97,2.6279331658667097e-117,7.385302403495695e-188,2.9947435963183665e-42,1.9059057066751648e-56,0.0,0.5,2.0423733411222526e-18,1.415085410884975e-17,6.1677524391101428e-19,9.2943430737545265e-34,2.8525087885314018e-20,2.8525087885314018e-20,4.1726503732101001e-48
3.263186640667978e-24,0.004023131612903226,0.0,0.0,0.010942917987096769,0.5,5.6232792080606538e-170,1.5209663733278938e-55,4.1802798066772928e-96,9.0326901343760452e-116,4.9195281425133807e-185,1.3078832074705292e-41,1.6857520138587976e-55,0.0,0.5,4.3400433498376253e-18,3.0070564981305467e-17,1.3106473933082798e-18,4.0590838045626379e-33,6.0615811756292267e-20,6.0615811756292267e-20,3.8353845773307651e-47
6.718325436669367e-24,0.004023131612903226,0.0,0.0,0.010942917987096762,0.5,1.5944823525557842e-167,1.3012187542265958e-54,6.9009889616855307e-95,2.9858728424558126e-114,2.8424590039404469e-182,5.4601549338650778e-41,1.4169761418268341e-54,0.0,0.49999999999999994,8.9353833671183918e-18,6.1909986726216082e-17,2.6983916920944599e-18,1.6945875851803746e-32,1.2479725949824867e-19,1.2479725949824867e-19,3.281252254627154e-46
1.3628603028672145e-23,0.004023131612903226,0.0,0.0,0.01094291798709675,0.5,4.2885336106168483e-165,1.0758728290980323e-53,1.1211018431079612e-93,9.7065197107644293e-113,1.5434205925835955e-179,2.2306514509522414e-40,1.1617226511621802e-53,0.0,0.49999999999999989,1.8126063401080004e-17,1.2558883021603409e-16,5.4738802896334225e-18,6.9229432157751434e-32,2.5316015498216112e-19,2.5316015498216112e-19,2.7130028173227954e-45
2.74491582126777e-23,0.004023131612903226,0.0,0.0,0.010942917987096725,0.5,1.1248896763943708e-162,8.7488191697874059e-53,1.807311867120538e-92,3.1303432215873967e-111,8.1350022308929661e-177,9.0166498152306766e-40,9.4079312260478995e-53,0.0,0.49999999999999972,3.6507423466603559e-17,2.5294651719565715e-16,1.1024857484577747e-17,2.7983643361549658e-31,5.098859459499848e-19,5.098859459499848e-19,2.2061688346363241e-44
5.50902685806888e-23,0.004023131612903226,0.0,0.0,0.010942917987096677,0.5,2.9146842678243787e-160,7.0562396081737623e-52,2.9025375249959085e-91,1.005590543363443e-109,4.2256346700010485e-174,3.6255552340372783e-39,7.5723215222413254e-52,0.0,0.49999999999999944,7.3270143588052e-17,5.0766189115485174e-16,2.2126811873932005e-17,1.1252099919142904e-30,1.0233375278856273e-18,1.0233375278856273e-18,1.7793550890888584e-43
1.10372489316711e-22,0.004023131612903226,0.0,0.0,0.01094291798709658,0.5,7.5065906443733147e-158,5.6679553880565132e-51,4.6527308104436618e-90,3.2240987992778558e-108,2.1791385568007649e-171,1.4540098057697686e-38,6.0763111334453559e-51,0.0,0.49999999999999883,1.4679558379255421e-16,1.017092639073034e-15,4.4330720650502946e-17,4.5125953300443275e-30,2.0502406917568931e-18,2.0502406917568931e-18,1.4292747730369621e-42
