Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),O(29),CO2X(24),acetyl(44),C2H4X(215),C2H6X(52),C2H4X(70),HOCO(73),CHO2(74),S(216)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.030163967924054e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-1.7584319654474554e-119,5.666436824168812e-54,3.6924414527965216e-36,4.914198092575681e-88,2.4920230604337578e-54,2.0777596621061517e-131,6.204677204385183e-20,-1.2579263469721505e-105,6.204677204385183e-20,4.010984347023267e-72,2.3225007656132295e-71,1.2293448724801991e-111,1.4254225752302566e-112,1.3300190431976794e-37,2.0995441877916721e-85,3.3885445560236222e-18,1.0032878174017489e-19,4.016497560026786e-22,1.120010930143965e-37,4.147208739678988e-37,4.016497559941529e-22,4.259933183157842e-33,9.858191821927455e-41,1.0302659024815442e-44,1.6168784530219083e-75,4.5986894307685284e-54,2.9743299186065544e-52,4.886473268155817e-77,3.7310869555860913e-37,2.1649920208099487e-105,-1.447351052077486e-107,7.54311093570893e-28,-6.459416330612003e-107,-2.198420725567152e-123,1.055145858693418e-93,5.197567532201948e-71,4.533587381236872e-102,-2.3793667433047298e-144,-3.9748950542714443e-146,-1.8328682029190447e-211
1.968445911018735e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,3.185673432012071e-117,6.727193797674501e-53,2.230234643497576e-35,5.4303520507202875e-86,3.765945237662683e-53,7.497195922926759e-129,1.7373096172278516e-19,2.4284455446884116e-104,1.7373096172278508e-19,1.1311617583464764e-70,7.302313995266682e-70,2.4575338689141793e-109,2.8495049148179546e-110,8.033315020913988e-37,1.0868516806843559e-83,9.487924756866138e-18,2.809205888724897e-19,1.124619316821325e-21,6.764866017740544e-37,2.5049140787632624e-36,1.1246193167698294e-21,2.572999585102012e-32,1.1703645085255854e-39,1.2231377691533955e-43,9.836308826346703e-74,5.459564091943967e-53,3.531124488081581e-51,2.972680087465979e-75,2.253576521169866e-36,4.3279484351060947e-103,1.4647641160107664e-105,2.1120710624294257e-27,6.537129492780561e-105,4.059286657911949e-121,1.1659655252332053e-91,1.4657972009323887e-69,4.2696845527855766e-100,7.84475612515933e-142,1.292230635669268e-143,3.4103587546657167e-208
4.499304939471395e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.3448225875736208e-114,6.6047987623171575e-52,1.0737619834859422e-34,4.913025847799794e-84,4.0512320359887626e-52,2.7145842132048713e-126,3.970993410806518e-19,2.5641820344138556e-102,3.970993410806515e-19,2.460523900338045e-69,1.629106082268863e-68,4.4491611763206334e-107,5.158792234401234e-108,3.867695377618856e-36,4.7462110497215185e-82,2.168668515855115e-17,6.421042031371192e-19,2.570558438513918e-21,3.256991784365141e-36,1.206008301494379e-35,2.570558438265987e-21,1.2387884833743184e-31,1.1490707625855774e-38,1.2008968140863045e-42,4.440626986574857e-72,5.3602323996840545e-52,3.466878980134619e-50,1.3420098286336986e-73,1.0850000866782348e-35,7.835391566357269e-101,3.067473429920528e-103,4.8275910018701954e-27,1.3689897785270705e-102,1.692043654134241e-118,1.054877887929831e-89,3.188429081279403e-68,3.7321883799490405e-98,6.700624872559084e-139,1.0956708961315977e-140,3.009381800816714e-203
9.561022996376713e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,4.325711628018736e-112,5.841869708383656e-51,4.689400738182946e-34,3.718330485667067e-82,3.7237802068245836e-51,8.231250481488666e-124,8.43836099796385e-19,2.0267721942312287e-100,8.438360997963835e-19,4.561396633068606e-68,3.0511353953497184e-67,6.741819456643297e-105,7.817124280350865e-106,1.6891241848610566e-35,1.7673348262430926e-80,4.608420596192111e-17,1.3644714316663785e-18,5.462436682120303e-21,1.4224138807728753e-35,5.266955099348181e-35,5.462436681037524e-21,5.4101142509680575e-31,1.016339984099044e-37,1.062202578941889e-41,1.6767319112349424e-70,4.7410648538236585e-51,3.0664152296009257e-49,5.067173310153441e-72,4.7384804335302623e-35,1.1872978572518304e-98,4.929706863560827e-101,1.0258630887646548e-26,2.2000902247189637e-100,5.446376069240861e-116,7.983474182783427e-88,5.910810162880434e-67,2.785015490264025e-96,4.328842150813956e-136,7.051241142900805e-138,8.770262556442496e-199
1.9684459110187352e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,1.2374382016676406e-109,4.910443489086923e-50,1.9577325420909273e-33,2.5833236617605196e-80,3.1857723659772133e-50,2.2895260351450464e-121,1.7373096172278513e-18,1.4365043543981413e-98,1.737309617227845e-18,7.839875370338204e-67,5.270077631439072e-66,9.373404071289018e-103,1.0868440637753095e-103,7.051760967034129e-35,6.091765371420702e-79,9.48792475686607e-17,2.8092058887248964e-18,1.1246193170217868e-20,5.938297947033651e-35,2.1988500737380788e-34,1.1246193165697477e-20,2.2586157712322683e-30,8.542948399421193e-37,8.928838725830651e-41,5.817609455146026e-69,3.98515067854988e-50,2.5775068210816898e-48,1.7580374995761793e-70,1.9782223037940787e-34,1.650744675145927e-96,7.048367108022811e-99,2.1120710686778503e-26,3.145631982924343e-98,1.5586780626606445e-113,5.546312659223832e-86,1.0159172451432266e-65,1.9220361920266268e-94,2.4818046235638064e-133,4.035021001226561e-135,1.8937138439377738e-194
3.9931331337808625e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,3.346369535624137e-107,4.025878249074272e-49,7.997976594075978e-33,1.7219196594677918e-78,2.634058198985784e-49,6.107180234476543e-119,3.524256652090785e-18,9.667015767168349e-97,3.524256652090758e-18,1.2994018477062074e-65,8.756312804512588e-65,1.2499581801222853e-100,1.4493236583982056e-101,2.880874448327929e-34,2.0236454973057352e-77,1.9246933078213872e-16,5.698674802841931e-18,2.2813706149952185e-20,2.4259884712431263e-34,8.983020018157975e-34,2.28137061314849e-20,9.227178877735727e-30,7.004022686539346e-36,7.3210344916874515e-40,1.9376717358811907e-67,3.2672672961889055e-49,2.113195908888403e-47,5.854996781383746e-69,8.08168358878945e-34,2.2012939954837122e-94,9.528417708497948e-97,4.2844870395359414e-26,4.252459475844497e-96,4.21598634095712e-111,3.696592581404742e-84,1.6838083299781357e-64,1.2776933355734172e-92,1.3436768016904828e-130,2.1825806772699225e-132,3.5502149468728957e-190
8.042507579305118e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,8.804253340509804e-105,3.260260584400976e-48,3.232910312865746e-32,1.1246693658457802e-76,2.1419723820825484e-48,1.5959323705893975e-116,7.098150721816652e-18,6.342882633735282e-95,7.098150721816541e-18,2.1157390610401056e-64,1.4274999847984324e-63,1.633071930465303e-98,1.893543177922383e-99,1.1644955132336638e-33,6.606857743518607e-76,3.8764949720908993e-16,1.1477612631075991e-17,4.594873212357757e-20,9.806233266692146e-34,3.631080317331823e-33,4.594873204892983e-20,3.72977038978233e-29,5.672035025601087e-35,5.929788880576113e-39,6.325959759316628e-66,2.6459177616265026e-48,1.711320982005084e-46,1.9111670937465288e-67,3.2667457213878675e-33,2.875993366580841e-92,1.2533273667425654e-94,8.629319025378926e-26,5.593503562357518e-94,1.1093381017625708e-108,2.414014815143826e-82,2.741645366545353e-63,8.345168975772804e-91,7.074016246885273e-128,1.1485279341253001e-129,6.212258311837107e-186
1.614125647035363e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996453,0.022821567693054275,2.2853972894588122e-102,2.624141355163379e-47,1.2999392567104185e-31,7.273078316291269e-75,1.7275783244262392e-47,4.1287490528282976e-114,1.4245938861268388e-17,4.110093551090301e-93,1.4245938861267935e-17,3.414811374522427e-63,2.3054162876515923e-62,2.112333325455778e-96,2.449245672033535e-97,4.682385242339334e-33,2.1417764988266744e-74,7.780098300629731e-16,2.3035488287544083e-17,9.221878412745553e-20,3.943043254082078e-33,1.4600414254145633e-32,9.221878382729999e-20,1.4997219836792726e-28,4.565340584020938e-34,4.774460539931501e-38,2.0451366886675234e-64,2.1296647970325547e-47,1.3774202440063713e-45,6.176552930230553e-66,1.313544086736144e-32,3.720017788586696e-90,1.6266017472698737e-92,1.73189831735721e-25,7.25939839670108e-92,2.8797563215293163e-106,1.5605801936850056e-80,4.425026675079791e-62,5.411198719057085e-89,3.6734672066045915e-125,5.962828656461283e-127,1.0498459662434036e-181
3.2338754252450648e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.11866996602996374,0.022821567693054264,5.894289217053199e-100,2.105708175794551e-46,5.213339746542315e-31,4.681355189118042e-73,1.3876848599158198e-46,1.0630554474939118e-111,2.8541515140171864e-17,2.6467851910952014e-91,2.854151514017005e-17,5.487510205728583e-62,3.7058893474171414e-61,2.719329581148401e-94,3.153056445615363e-95,1.8778459069766859e-32,6.938950869548868e-73,1.558730495770663e-15,4.6151239600480193e-17,1.8475888836172139e-19,1.5813366913202136e-32,5.855419134492891e-32,1.8475888715796163e-19,6.014537586471334e-28,3.663387614372104e-33,3.8338528456287625e-37,6.581328295247943e-63,1.7089218665118647e-46,1.1052933778728695e-44,1.986281151961158e-64,5.267899283446218e-32,4.788995321355451e-88,2.097539318001411e-90,3.469831217598727e-25,9.361156544354012e-90,7.427384743905569e-104,1.0037951489834218e-78,7.110899073787635e-61,3.5062905481075128e-87,1.8950948944150674e-122,3.075800843380747e-124,1.740814909132249e-177
6.4733749816644685e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999967,0.11866996602996215,0.02282156769305424,1.5160898822554322e-97,1.6871289653257556e-45,2.0880566962478197e-30,3.0076444757090434e-71,1.1124011761488876e-45,2.731997635490913e-109,5.713266769797886e-17,1.6991855257321695e-89,5.713266769797161e-17,8.799109518136531e-61,5.94323777467855e-60,3.494242809809945e-92,4.051566565986243e-93,7.521178420149039e-32,2.2603488535759585e-71,3.120171827185736e-15,9.238274222635199e-17,3.6983909773630254e-19,6.333594889663622e-32,2.3452218234734703e-31,3.698390929149701e-19,2.4089375136187265e-27,2.9351509165472556e-32,3.075992396356363e-36,2.1141015864938958e-61,1.3692170511871916e-45,8.855803341928734e-44,6.371773111922924e-63,2.1099074339992355e-31,6.1536904451559585e-86,2.6975470990583683e-88,6.94569730049329e-25,1.2038945139598231e-87,1.9104378384430835e-101,6.4403866229380925e-77,1.1402180110393547e-59,2.2841428780667686e-85,9.749475811556702e-120,1.5822876961501512e-121,2.8496937568546555e-173
1.2952374094503277e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999935,0.11866996602995897,0.022821567693054195,3.89824491567176e-95,1.3507290212746925e-44,8.357680698039956e-30,1.9325010215358783e-69,8.90823137963483e-45,7.021553095067099e-107,1.1431497281359296e-16,1.0891595267793138e-87,1.1431497281356397e-16,1.409386721780548e-59,9.52024677189328e-59,4.490307271263166e-90,5.206501035480552e-91,3.0104314437244133e-31,7.464809858075892e-70,6.243054490014653e-15,1.8484574747809399e-16,7.399995201097394e-19,2.5350884710841386e-31,9.386999112534205e-31,7.399995008117274e-19,9.641910355318905e-27,2.3498780045202486e-31,2.46946086447319e-35,6.791875185441648e-60,1.096206154020161e-44,7.090037104243463e-43,2.041461230246927e-61,8.445128305010493e-31,7.9078536986346035e-84,3.468028244954758e-86,1.3897430595928532e-24,1.547754332842578e-85,4.912192259324178e-99,4.126971218582962e-75,1.826330404702687e-58,1.5083602446943012e-83,5.0138045250315754e-117,8.136971543877057e-119,4.6047195679070034e-169
2.5910372320180892e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998706,0.11866996602995261,0.0228215676930541,1.0041724419337175e-92,1.0809937349467977e-43,3.3441707446059834e-29,1.2442280496200641e-67,7.13019565547221e-44,1.8082693098488642e-104,2.286795830448216e-16,6.97600435081605e-86,2.286795830447056e-16,2.2562428114470164e-58,1.5241253637312005e-57,5.782017671545203e-88,6.704236294537199e-89,1.2045647043445982e-30,2.533242500847191e-68,1.2488819815667576e-14,3.697717579815716e-16,1.4803203793543287e-18,1.0143655451846789e-30,3.756022353613166e-30,1.4803203021362048e-18,3.85792597449286e-26,1.8805726824833455e-30,1.98719755369379e-34,2.186522572157059e-58,8.772980354047156e-44,5.674200052839144e-42,6.536556300977858e-60,3.379151344145423e-30,1.0182677262274145e-81,4.466783488682837e-84,2.78009017053835e-24,1.9934911474327666e-83,1.2653387272888517e-96,2.6428572252589135e-73,2.9237148210871884e-57,1.0233287441779218e-81,2.5830910462708124e-114,4.1921440212904896e-116,7.301579050504317e-165
