Time (s),Volume (m^3),Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),C2H4X(64),C2H4(48),HeX(49),C4H8a(86),HX(12),C2H3X(58),C4H6(99),C2H3(38)
1.81252072873923e-21,0.004023131612903226,0.0,0.0,0.010942917987093568,0.49999999999999928,3.315734180173722e-68,4.2854350237206625e-34,4.4294789031381565e-37,5.5716848813079373e-54,2.711076922627975e-86,1.6562754414163652e-21,1.0439517277746238e-21,3.1583184034047524e-54,0.4999999999999809,2.4106553843856107e-15,1.6702545197315652e-14,7.2799254993370428e-16,1.2159523454559883e-27,3.3668750027457571e-17,3.3668750010162233e-17,2.7514633938245625e-36,2.7002444645212237e-21
3.625238149906972e-21,0.004023131612903226,0.0,0.0,0.010942917987090362,0.49999999999999856,5.3057144011504531e-67,1.7143135220868765e-33,1.7719357632422506e-36,4.4577711367997597e-53,8.676783815155299e-85,3.3127306196958447e-21,2.0880167438797307e-21,2.526989724852299e-53,0.49999999999996175,4.8215723149669952e-15,3.3406902933151777e-14,1.4560640976224571e-15,4.8642052358446048e-27,6.7341153744526553e-17,6.7341153675339606e-17,2.2014493988449656e-35,5.4008165505269894e-21
7.250672992242457e-21,0.004023131612903226,0.0,0.0,0.010942917987083949,0.49999999999999711,8.4895748391651818e-66,6.8575331234078408e-33,7.0880314673242004e-36,3.5663862112360209e-52,2.7767848666383348e-83,6.6256409761741215e-21,4.1761467761673099e-21,2.0217439196470086e-52,0.49999999999992345,9.6434060110018732e-15,6.6815618403934844e-14,2.9122071838066824e-15,1.9457612679362483e-26,1.3468596117858042e-16,1.3468596090182136e-16,1.7612709968590641e-34,1.0802064511408259e-20
1.4501542676913425e-20,0.004023131612903226,0.0,0.0,0.010942917987071124,0.49999999999999423,1.3583665191672784e-64,2.7430690573111404e-32,2.8352702709173859e-35,2.8531766915999948e-51,8.8860540627443489e-82,1.3251461688807952e-20,8.3524068410519305e-21,1.6174850029505758e-51,0.49999999999984684,1.9287072742560108e-14,1.3363304934194422e-13,5.8244933194020082e-15,7.7832034215631178e-26,2.6937557604635177e-16,2.6937557493929307e-16,1.4090613859043827e-33,2.1604975588648438e-20
2.900328204625536e-20,0.004023131612903226,0.0,0.0,0.010942917987045473,0.4999999999999884,2.1734140671425558e-63,1.0972387845673514e-31,1.1341196453389965e-34,2.2825684428209677e-50,2.8435920999790919e-80,2.65031031127847e-20,1.6704926972059015e-20,1.294070365189384e-50,0.49999999999969363,3.8574403563630896e-14,2.6726791120373612e-13,1.1649065443500178e-14,3.1133130387126339e-25,5.3875480578054922e-16,5.3875480135226926e-16,1.1272669378712887e-32,4.3212458365029316e-20
5.800676078493924e-20,0.004023131612903226,0.0,0.0,0.010942917986994172,0.49999999999997674,3.4774846171761888e-62,4.3889774612860929e-31,4.5365016559772486e-34,1.8260655903612007e-49,9.0995824028401317e-79,5.300638595557458e-20,3.340996723902457e-20,1.0353635023420042e-49,0.49999999999938727,7.7149054637592584e-14,5.3453763487041203e-13,2.3298209103326607e-14,1.2453315494042127e-24,1.0775132652435624e-15,1.0775132475303524e-15,9.0182067162457039e-32,8.6434066405311075e-20
1.1601371826230699e-19,0.004023131612903226,0.0,0.0,0.01094291798689157,0.49999999999995343,5.5639930766163731e-61,1.7555954488329483e-30,1.8146052777850107e-33,1.4608568070903182e-48,2.9118804001206026e-77,1.0601295162049982e-19,6.6820047792761208e-20,8.2845250995387052e-49,0.49999999999877448,1.5429831451281941e-13,1.0690770819761326e-12,4.6596494069500058e-14,4.9813388644712424e-24,2.1550301841480624e-15,2.1550301132950426e-15,7.2145936922394311e-31,1.7290385243529642e-19
2.320276332170425e-19,0.004023131612903226,0.0,0.0,0.010942917986686364,0.49999999999990685,8.9024030779760992e-60,7.0223907216206561e-30,7.2584303456152572e-33,1.168687180147884e-47,9.3180397397530857e-76,2.1202608286773226e-19,1.336402089794566e-19,6.6301680957535446e-48,0.49999999999754896,3.0859666517267232e-13,2.1381559752770489e-12,9.319305458793124e-14,1.9925380783525205e-23,4.3100640218709569e-15,4.310063738458519e-15,5.7716860156286077e-30,3.4594970428771299e-19
4.640554631265135e-19,0.004023131612903226,0.0,0.0,0.010942917986275955,0.49999999999981365,1.4243856262059978e-58,2.8089580720205509e-29,2.9033739880835472e-32,9.3495043879264543e-47,2.9817763164729158e-74,4.2405234503172499e-19,2.6728053166973576e-19,5.3081955768169242e-47,0.49999999999509792,6.1719269013145808e-13,4.2763137582367844e-12,1.8638613796914597e-13,7.9701573720635512e-23,8.6201316969723223e-15,8.6201305633218702e-15,4.6173528118311325e-29,6.924665271203638e-19
9.281111229454555e-19,0.004023131612903226,0.0,0.0,0.010942917985455139,0.49999999999962724,2.2790179130659824e-57,1.1235835839735964e-28,1.161349967554111e-31,7.4796063031758023e-46,9.5416900123334231e-73,8.4810486803782177e-19,5.3456117831784781e-19,4.2530479306524438e-46,0.49999999999019579,1.2343820346172077e-12,8.5526293095878582e-12,3.727721541091066e-13,3.1880639553744765e-22,1.724026704579737e-14,1.724026251119425e-14,3.6938831685396906e-28,1.3872006489612129e-18
