Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),H2(190),C4H7X(141),C4H7(69),C4H7X(140),C4H7(68),C4H7X(145),C4H7(373),C2H6(343),C2H5(67),C4H6(54),C4H5X(694),C4H7X(654),C4H7X(146),SX(161),C6H11(102),SX(159),C6H11(100),S(1071),S(1081),SX(1036),C6H11(87),SX(155),SX(152),C6H11(84),C4H7X(142),C4H7X(143),C4H6a(693),C6H10(698),C4H5X(695)
1e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771389,0.66999999999999993,1.1431059360716515e-38,7.3431735784712223e-57,5.9088544055645017e-28,1.7007903607422107e-36,1.3979994101475088e-50,1.2026185098718679e-66,3.0731849778099418e-87,4.2230974005830011e-67,2.7638990545290215e-88,1.9034973308255292e-16,1.9034973308255413e-16,5.9852222608587765e-31,5.9088456350184935e-28,5.5250491116130444e-34,3.2420791636699568e-34,2.8377994311087007e-40,1.5093605773985249e-44,1.1894203906063326e-39,1.0319068926547048e-39,1.4711237279889108e-37,2.584723469416323e-35,6.7937752374596996e-47,6.3268129506018631e-44,3.5172634358479659e-56,1.3900666074031964e-55,2.4130217019464459e-51,6.7653582309347569e-62,4.538056427230872e-68,5.8118987024899354e-73,4.142766568613132e-74,1.5589098004856664e-73,4.4148986867181549e-42,1.5818203675185113e-39,8.1255837801078053e-46,5.5877635135185908e-52,7.9143175946883729e-46,3.2567005205712327e-55,7.5534663883804777e-51,4.3571106846250788e-51,7.6454929414190849e-52
1.023e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771389,0.66999999999999993,1.1933775654385709e-38,7.6857461760852006e-57,6.1150326355692969e-28,1.7601205410959678e-36,1.4616147741928118e-50,1.2589530966224235e-66,3.2171450098537434e-87,4.4185022182692988e-67,2.8936342945981753e-88,1.947301012181784e-16,1.9473010121817966e-16,6.2302338469189533e-31,6.1150235060384527e-28,5.751192818810894e-34,3.3747800406620904e-34,2.9625895820105342e-40,1.5780401380313546e-44,1.2417135687594142e-39,1.0772881981380156e-39,1.5313375824768228e-37,2.6905316869896843e-35,7.0925466264702415e-47,6.6146701370684028e-44,3.6800004202333273e-56,1.4543822866354114e-55,2.5228199528559132e-51,7.0809708440693633e-62,4.7506303292269504e-68,6.0842434238102595e-73,4.3372583105705374e-74,1.6319337975616778e-73,4.6090406803742537e-42,1.6465655315994484e-39,8.4829016837694792e-46,5.8420205442382428e-52,8.2623451990176374e-46,3.404894662948764e-55,7.885646886820212e-51,4.5487243259113712e-51,7.9817204989209334e-52
2.047e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258377135,0.66999999999999971,1.9132358409865459e-37,9.858524851865477e-55,2.4487600697399511e-27,7.0375947379793495e-36,4.6871132223178513e-49,3.2296694726162841e-64,8.2679642314043202e-85,2.8364213163863177e-65,1.4862347129838148e-85,3.8975170797012694e-16,3.89751707970137e-16,4.9928943900927947e-30,2.4487527567209977e-27,4.6067136243526076e-33,2.7033558205006521e-33,4.7462830845141451e-39,5.0565144996585702e-43,1.9776750192650602e-38,1.7271189911777461e-38,1.2265603194509428e-36,2.1561683619647218e-34,1.1369217350476057e-45,2.1073315157501275e-42,2.3584224599595583e-54,9.3204782388248134e-54,8.0835278306147036e-50,9.0758528082088652e-60,1.2169822989348932e-65,1.6399673575747307e-70,2.3381859508375998e-71,4.1835512803363553e-71,7.384081144651336e-41,1.3189756153723306e-38,1.3591661300648266e-44,1.8720739222935327e-50,1.3238285595667815e-44,1.0918178169107143e-53,1.2640541982089031e-49,7.2915185871757215e-50,1.2794531365625076e-50
4.095e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771272,0.66999999999999926,3.0642485793205674e-36,1.2630197688507237e-52,9.8005355041266022e-27,2.8080138610168169e-35,1.5014655417368076e-47,8.2748851460641127e-62,2.1207146243879062e-82,1.8180532122040287e-63,7.6203594294421287e-83,7.7979491605390397e-16,7.7979491605398394e-16,3.9978013565822333e-29,9.800476964506558e-27,3.6873515385682228e-32,2.1640904610297679e-32,7.5977270465239775e-38,1.6189109103185987e-41,3.1291869051617078e-37,2.7661592710057682e-37,9.8170643855285961e-36,1.7264330730392492e-33,1.820767782530481e-44,6.6700734056939204e-41,1.5101813318001944e-52,5.9678440769306395e-52,2.5878289781336101e-48,1.1622488651350954e-57,3.116169112535897e-63,4.3117509861291474e-68,1.2293897686808614e-68,1.071645376892656e-68,1.1820451871834532e-39,1.0558671893657775e-37,2.1761799654669358e-43,5.9944366322959153e-49,2.1196019442408843e-43,3.4974262034156964e-52,2.0243690400459246e-48,1.1677287670511415e-48,2.0490255265179e-49
8.191e-12,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771117,0.66999999999999849,4.9052652073839483e-35,1.6168709805572961e-50,3.9213132815290882e-26,1.1166944281080555e-34,4.8072225512368501e-46,2.1183796129979473e-59,5.4343123534123147e-80,1.164425311564363e-61,3.9031752001115188e-80,1.5598812888644168e-15,1.5598812888650565e-15,3.1996358526994618e-28,3.9212664390363554e-26,2.9501562676133512e-31,1.7318229428782129e-31,1.2155338847091679e-36,5.1801745368530784e-40,4.8930390562816954e-36,4.4280708024976144e-36,7.8532796106361088e-35,1.3817458891830131e-32,2.9145831462015657e-43,2.0867588226084011e-39,9.6646144125040063e-51,3.8187081140731906e-50,8.2790957561804501e-47,1.4874047221990273e-55,7.97425270450006e-61,1.1183528032003615e-65,6.3758717088195032e-66,2.7445223580684473e-66,1.891179209876993e-38,8.4496611918340269e-37,3.4830825412141935e-42,1.9185729587662435e-47,3.3925218926565556e-42,1.1197561051880168e-50,3.2404966624508682e-47,1.8692348618700077e-47,3.2799501372563104e-48
1e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258377105,0.66999999999999815,2.1157782072712598e-34,4.6935412338839735e-49,6.5195727178194742e-26,1.8447578710298033e-34,3.7724580093118898e-45,1.2130629041813813e-57,3.1159314906695138e-78,1.7369847556337106e-60,4.4415496595319095e-78,1.9044066635462882e-15,1.9044066635479164e-15,8.1467884610545329e-28,6.5194534697494185e-26,7.508859054156657e-31,4.4092783153477304e-31,5.238863018670632e-36,4.0616809956878411e-39,2.0340617066285013e-35,1.9099427856793573e-35,1.998460995970274e-34,3.5181447603913134e-32,1.2571174025296375e-42,1.5733681546601541e-38,1.4402786957715715e-49,5.689466388315161e-49,6.4894945353019124e-46,4.3162544479257612e-54,4.5643309164727737e-59,6.4444236697225745e-64,7.2946369666031827e-64,1.5751236167350021e-64,8.1513182922058678e-38,2.1513421757386088e-36,1.5022477746967961e-41,1.5050095066125226e-46,1.4631724479477858e-41,8.7872127175626232e-50,1.3976903882320015e-46,8.0623801966108794e-47,1.4146965968856093e-47
1.6383e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583770806,0.66999999999999693,7.850428022163059e-34,2.0684047009998763e-48,1.5687449988046962e-25,4.4137069899737018e-34,1.5387244808086521e-44,5.4185711113080205e-57,1.3918650422358396e-77,7.4550173807516937e-60,1.997569659362203e-77,3.1200536876448976e-15,3.1200536876500145e-15,2.5602661926577153e-27,1.5687075259158738e-25,2.3594099455763017e-30,1.3856595972878367e-30,1.9435054208320174e-35,1.6565387125373943e-38,7.4846913604621755e-35,7.0866852996412752e-35,6.2789630201876454e-34,1.1056361451890803e-31,4.6644153340532481e-42,6.3886422147623192e-38,6.1812441889500155e-49,2.4417151610760008e-48,2.6466220238818829e-45,1.9021197348384846e-53,2.0388060982651582e-58,2.8788764017736043e-63,3.2808565029983028e-63,7.0360584887659631e-64,3.0240023522999224e-37,6.7608492896091885e-36,5.5738873323709948e-41,6.1384260688719098e-46,5.4288899776150227e-41,3.5841593898760577e-49,5.1859981430371255e-46,2.9914700081437277e-46,5.2490891924136026e-47
3.2767e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583770184,0.66999999999999382,1.2562377532525739e-32,2.6434213915954825e-46,6.275417121898197e-25,1.7240622065329598e-33,4.9248239621742996e-43,1.3842874702146419e-54,3.5640675885408251e-75,4.7719528538108671e-58,1.0212564326263164e-74,6.2403957105477e-15,6.2403957105886892e-15,2.0484343364675418e-26,6.2751174298526973e-25,1.8859293355763406e-29,1.1085775931882779e-29,3.1044870457523177e-34,5.2923540943926749e-37,1.100233790972025e-33,1.1340106751946172e-33,5.016136817958292e-33,8.8460372668527935e-31,7.4639216794100404e-41,1.8807455629422491e-36,3.9496590999804333e-47,1.5593845158113804e-46,8.4497335717351599e-44,2.4295477750922937e-51,5.2046947167391371e-56,7.3744568440953015e-61,1.6790476940917377e-60,1.8143523705119575e-61,4.8311298922919958e-36,5.4093953747805268e-35,8.9193256659428942e-40,1.9632036166974366e-44,8.68667496668889e-40,1.1470885216672738e-47,8.2985511303370872e-45,4.7869024270099861e-45,8.3993488027365045e-46
6.5535e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583768935,0.66999999999998761,2.0101419167414612e-31,3.3723387335608179e-44,2.5102506771407598e-24,6.5851630174025432e-33,1.5764913867218243e-41,3.5284363826768551e-52,9.1252433319541856e-73,3.0541293973888334e-56,5.2119558980198667e-72,1.2481057559451797e-14,1.2481057559779996e-14,1.638830761670648e-25,2.5100110980925992e-24,1.5060232059156667e-28,8.868325402085795e-29,4.9502180989454782e-33,1.6878655389877339e-35,1.5128510398466856e-32,1.8145251144462434e-32,4.0013344607662397e-32,7.077182268876484e-30,1.1942911186495382e-39,5.184397984145897e-35,2.5193602999593036e-45,9.936503357565487e-45,2.6911638767784156e-42,3.0962362742754836e-49,1.3247676243781567e-53,1.8802788455282906e-58,8.543974220962157e-58,4.7967329919947126e-59,7.7056752016940475e-35,4.3289263775959292e-34,1.42750833669834e-38,6.2754929821335344e-43,1.3898282064264104e-38,3.6709731824605483e-46,1.3278396886596643e-43,7.6594565386642085e-44,1.3439156500311337e-44
9.999999999999999e-11,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258376762,0.66999999999998106,1.7867960183823802e-30,2.2708173640364621e-42,6.47068718623656e-24,1.5818446113984308e-32,2.7312028211798099e-40,4.7256221471008446e-50,1.8650234769988328e-70,1.3725611299195021e-54,2.1707829044626632e-69,1.9044819480750945e-14,1.9044819482285706e-14,7.671878121397991e-25,6.4695671766847962e-24,7.0270823463436223e-28,4.1510047942164807e-28,4.3714149428006535e-32,2.9013123318851715e-34,1.0629674011849205e-31,1.612850282380041e-31,1.8635434412020784e-31,3.3130451049087196e-29,1.0615465977739044e-38,7.0654083247489476e-34,8.5421661974407857e-44,3.3622191622196664e-43,4.6136871923555955e-41,2.0806530424624958e-47,1.7693722086670773e-51,2.5134996234390746e-56,2.2705552515493861e-55,7.3368355277987887e-57,6.8085207223107266e-34,2.0288809634489516e-33,1.2702814506010357e-37,1.0842059533436208e-41,1.2351878007458121e-37,6.3520865022569367e-45,1.1802538923499994e-42,6.8081289151423906e-43,1.1944497464980157e-43
