Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),H2OX(23),COX(50),O(29),CHOX(53),CO2X(24),acetyl(44),C2H6X(52),C2H4X(215),C2H4X(70),HOCO(73),CHO2(74),S(216)
6.4733749816644685e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999967,0.11866996602996215,0.02282156769305424,5.1140162414049924e-98,1.6871289653243623e-45,2.0880546622609943e-30,2.095310698951926e-71,1.1132138988548341e-45,1.903264934072039e-109,5.713266769797908e-17,1.700426954353665e-89,5.713266769797161e-17,8.805538166588163e-61,5.772977084732892e-60,2.4342938677058108e-92,2.822558185851901e-93,7.52117842014804e-32,2.336278877673846e-71,3.120171827185736e-15,9.238274222635199e-17,3.6983909700356713e-19,6.333594710674987e-32,2.3452218234734777e-31,3.6983909364747666e-19,1.6762324275457662e-27,1.421170306827858e-32,1.0376090671509789e-36,7.131256080759569e-62,8.855795289666108e-44,1.3159748749510325e-62,2.1099074339992425e-31,1.3692170150680261e-45,4.2870206021027234e-86,6.94569730049329e-25,1.306809571295312e-88,4.060940195007069e-88,1.3309257959014871e-101,1.1410510567851861e-59,1.3301457231762649e-76,2.3603004485811704e-85,3.4518996259743065e-120,5.337306255695337e-122,2.024778242297208e-173
1.2952374094503277e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999935,0.11866996602995897,0.022821567693054195,1.3164937131546787e-95,1.350729021272461e-44,8.357664413991812e-30,1.3478859825262845e-69,8.914739752721162e-45,4.8973442176472704e-107,1.1431497281359382e-16,1.0899552690823122e-87,1.1431497281356397e-16,1.4104164227638634e-59,9.247512633537378e-59,3.1318827289373424e-90,3.631410878176302e-91,3.0104314437236124e-31,7.946240818540687e-70,6.243054490014653e-15,1.8484574747809399e-16,7.399995171768278e-19,2.535088327784409e-31,9.386999112534267e-31,7.399995037436627e-19,6.709241172449374e-27,1.1377910372408888e-31,8.340160175079722e-36,2.293746336640954e-60,7.0900242102958905e-43,4.216284535905675e-61,8.445128305010549e-31,1.0962060961824408e-44,5.51554023490136e-84,1.3897430595928532e-24,1.682051936456812e-86,5.227014401677125e-86,3.4261532836488326e-99,1.8276647256413756e-58,8.52354369430924e-75,1.604927978131225e-83,1.777324854609011e-117,2.747966844324307e-119,3.339374228559996e-169
2.5910372320180892e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998706,0.11866996602995261,0.0228215676930541,3.399170683512483e-93,1.0809937349432254e-43,3.3441577127608847e-29,8.698540964294604e-68,7.135404991766393e-44,1.2641474309609338e-104,2.2867958304482504e-16,6.981101034615253e-86,2.286795830447056e-16,2.2578912273028525e-58,1.4804625203966845e-57,4.0422014279522057e-88,4.686923330671122e-89,1.2045647043439571e-30,2.839906702039247e-68,1.2488819815667576e-14,3.697717579815716e-16,1.480320367618377e-18,1.0143654305013609e-30,3.756022353613215e-30,1.480320313867765e-18,2.6845248339533314e-26,9.10563677407674e-31,6.727447322436007e-35,7.401683981025252e-59,5.674179414650752e-42,1.3500216759381368e-59,3.3791513441454665e-30,8.77297942826711e-44,7.118697124105866e-82,2.78009017053835e-24,2.1715439541271736e-84,6.748122165591661e-84,8.846047966029279e-97,2.925850893430365e-57,5.4584004075763837e-73,1.1463485443182349e-81,9.178171152108214e-115,1.4190539876277604e-116,5.509409804067739e-165
5.182636877153612e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999742,0.11866996602993989,0.022821567693053917,8.839239842628566e-91,8.649592347809794e-43,1.3378834926511525e-28,5.654161507735734e-66,5.709769622051165e-43,3.2865726200791616e-102,4.574088035072943e-16,4.469629378675462e-84,4.57408803506817e-16,3.613606203257953e-57,2.369428630174017e-56,5.254670731301498e-86,6.092778715795216e-87,4.8190431828067184e-30,1.0983062575711718e-66,2.4980350466953782e-14,7.396237789885012e-16,2.9609621088839785e-18,4.0581213476921686e-30,1.5026535152064633e-29,2.9609618938428893e-18,1.0739482918112158e-25,7.285653644489196e-30,5.467447105699561e-34,2.4058658157965486e-57,4.5402140284758933e-41,4.321262042352405e-58,1.351880569369348e-29,7.019714968150022e-43,9.253969640680592e-80,5.560786199863132e-24,2.8235306321811106e-82,8.774186249121275e-82,2.300203659665871e-94,4.682631657079093e-56,3.4943589719475894e-71,8.8572782714906e-80,4.773306652787928e-112,7.380341073579205e-114,9.123348863293831e-161
1.0365836167424658e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999485,0.11866996602991445,0.022821567693053546,2.331780589110815e-88,6.920331008746571e-42,5.35199071173217e-28,3.7284859412841166e-64,4.56839401937012e-42,8.667540213644707e-100,9.148672444322609e-16,2.861114835364836e-82,9.148672444303508e-16,5.782554227315263e-56,3.791636689360916e-55,6.929341097222054e-84,8.034555168294353e-85,1.9277741573812375e-29,4.726526294556131e-65,4.9963411769447607e-14,1.4793278210022582e-15,5.922245752964308e-18,1.6233799398871747e-29,6.011103220822541e-29,5.922244892700833e-18,4.295851215524548e-25,5.828693558279659e-29,4.509520327070416e-33,7.934188874465023e-56,3.6325295276171616e-40,1.3829276504578963e-56,5.407962339775101e-29,5.61630280522841e-42,1.2203221664365967e-77,1.1122185488247847e-23,3.724423747814155e-80,1.157373405606337e-79,6.067228314930747e-92,7.493226977474481e-55,2.2365966567146025e-69,7.613308652784565e-78,2.5182348541676566e-109,3.8939498867856565e-111,1.523775291022176e-156
2.073223474796675e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799897,0.11866996602986356,0.022821567693052807,6.320462973868598e-86,5.536527790044503e-41,2.140900349215104e-27,2.5262497191933404e-62,3.6549465577819453e-41,2.3483732975136244e-97,1.829784126282306e-15,1.8312901642992563e-80,1.8297841262746647e-15,9.252714246021456e-55,6.06705916493774e-54,9.388089419688182e-82,1.0885468193820354e-82,7.711410409215909e-29,2.2878298716058946e-63,9.992953437412099e-14,2.9587359050293637e-15,1.184481368747433e-17,6.493778300702491e-29,2.4045391059222355e-28,1.184481024604756e-17,1.718177182658378e-24,4.662563843715625e-28,3.8239922951000793e-32,2.689027330628478e-54,2.9061830588094122e-39,4.425137425022641e-55,2.1632729255311003e-28,4.493251713514851e-41,1.6533308582594073e-75,2.22450129839579e-23,5.04817519980275e-78,1.5687327514652234e-77,1.6442268802945534e-89,1.1989976280601627e-53,1.4313503599918863e-67,7.360681962741718e-76,1.365009842358522e-106,2.1110846004239214e-108,2.587096432034951e-152
4.1465031909050934e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997941,0.11866996602976178,0.02282156769305133,1.797508888397728e-83,4.429327614958168e-40,8.56391118948522e-27,1.7957874208131195e-60,2.9240497851215054e-40,6.673903917183153e-95,3.65961788998284e-15,1.1720822416096234e-78,3.659617889952277e-15,1.4804844784403716e-53,9.707646155095667e-53,1.3342433983402483e-79,1.5470521562007554e-80,3.0846269207431306e-28,1.228108394293499e-61,1.9986177958221048e-13,5.917552073081938e-15,2.3689952143114832e-17,2.5975596135624174e-28,9.618351919240834e-28,2.3689938375264913e-17,6.870983420417622e-24,3.729160156764417e-27,3.40507041893718e-31,9.564196719132e-53,2.3250359840129276e-38,1.4157324622541225e-53,8.653267476719879e-28,3.5946805618864753e-40,2.3497280695329786e-73,4.449078365114048e-23,7.179624413116893e-76,2.2310871609700777e-75,4.674455223828148e-87,1.918461255846389e-52,9.15865140524033e-66,7.894298182089392e-74,7.762444257897942e-104,1.2009154959508756e-105,4.5176650563584e-148
8.293062623121931e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679958826,0.11866996602955823,0.02282156769304837,5.519527276828932e-81,3.543504544729223e-39,3.42570769094848e-26,1.3781815358373357e-58,2.3392768428723357e-39,2.0471625011896823e-92,7.319285417385693e-15,7.501507255021999e-77,7.319285417263437e-15,2.3688153213345043e-52,1.5532512189899294e-51,2.0468694845715982e-77,2.3733404351549106e-78,1.2338633198214149e-27,7.101883846837012e-60,3.997262699933606e-13,1.1835184409180543e-14,4.738023941064745e-17,1.0390307714788742e-27,3.847379752660529e-27,4.738018432379979e-17,2.7469303329402623e-23,2.9817975361783897e-26,3.27695995266522e-30,3.673895382196664e-51,1.8601057842360085e-37,4.528089853073601e-52,3.4613419796958735e-27,2.875768768136885e-39,3.6047294120312393e-71,8.898278768855553e-23,1.1025928155230081e-73,3.4263403776257e-73,1.4346052112494836e-84,3.0695900488090347e-51,5.858646220574329e-64,9.12399441456227e-72,4.7656858885519554e-101,7.377366257927307e-103,8.220966480749052e-144
1.6586181487555605e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767991766,0.11866996602915114,0.02282156769304245,1.8822209006425546e-78,2.834821095446552e-38,1.370376609404386e-25,1.1745413774799226e-56,1.8714362781639585e-38,6.971883303236464e-90,1.4638620472198526e-14,4.801022518128892e-75,1.4638620471709508e-14,3.790136625816004e-51,2.485223303729352e-50,3.486574812982357e-75,4.042675327742404e-76,4.935478382454406e-27,4.299516343808499e-58,7.994552507955449e-13,2.3670449081351583e-14,9.476085544876771e-17,4.1561150767962586e-27,1.5389596064962584e-26,9.476063498130585e-17,1.0975867301795578e-22,2.382950259262893e-25,3.5048358880563316e-29,1.5675764638803722e-49,1.488181204471266e-36,1.4475064326404348e-50,1.3845436567316345e-26,2.3006129689700012e-38,6.140185049587179e-69,1.7796864657558514e-22,1.880589579267116e-71,5.844003176411617e-71,4.8889363359542046e-82,4.911385702887276e-50,3.745728852629783e-62,1.1043030791936119e-69,3.249074154480515e-98,5.034987116115056e-100,1.5666395974929792e-139
3.317241921642295e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679835325,0.11866996602833695,0.022821567693030616,7.213629256527e-76,2.267864625740089e-37,5.482210788689022e-25,1.124982882844057e-54,1.4971549406491178e-37,2.668481532900979e-87,2.927729058185271e-14,3.072672910341444e-73,2.927729057989664e-14,6.064244248303517e-50,3.976371443280871e-49,6.674581189763286e-73,7.739160842313433e-74,1.974196373633642e-26,2.6690890151350696e-56,1.5989132123194514e-12,4.734097842558897e-14,1.895222541592183e-16,1.6624269402480168e-26,6.155853104119128e-26,1.8952137133835168e-16,4.380858978510557e-22,1.9023745176105717e-24,4.212789311020315e-28,7.516995389087365e-48,1.1906884795935632e-35,4.622494524317811e-49,5.538187292827773e-26,1.840470720466205e-37,1.175456053883641e-66,3.55947767598442e-22,3.6048388846107456e-69,1.1202228504787616e-68,1.872454883567561e-79,7.858250401749009e-49,2.3923753911557714e-60,1.3707794259707447e-67,2.4895271098223788e-95,3.8652538753407866e-97,3.0749704808585846e-135
