Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),COX(50)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.005623792273728e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,7.7505406254863913e-74,7.6174078036292523e-42,3.8399807085645779e-93,3.6166880408180652e-57,1.746664815996811e-142,7.1237143035495988e-25,-7.1281820653069193e-118,7.1237143035489762e-25,1.1403508667420862e-79,2.1450531545678637e-75,8.0601119768291341e-121,4.8702925260621966e-122,9.0876011581522807e-59,7.1578130352100223e-95,2.8251634421299508e-18,1.3583636890012977e-19,5.2358675890944879e-23,6.0742363111390422e-38,5.235867589095684e-23,5.9823619913469849e-36,9.8718211566139661e-45,8.8876168628582254e-52,2.6883586853410458e-82,5.115794675003461e-58,7.1346312338637541e-111
1.9615746618366438e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,2.4193695511022909e-72,4.6009143139067885e-41,4.2687854194013699e-91,5.4655389672927271e-56,6.3400540665087852e-140,1.9946400049940897e-24,1.3758710333733996e-116,1.9946400049937132e-24,3.215971900356163e-78,6.7443890588312467e-74,1.6208911122900854e-118,9.794173942546444e-120,1.0788798101063043e-57,3.7050901720455461e-93,7.9104576379638617e-18,3.8034183292036332e-19,1.4660429249462627e-22,3.6688379915179742e-37,1.4660429249469854e-22,3.6133466370159329e-35,1.1719826053524644e-43,1.0616435208063712e-50,1.6453777543791124e-80,6.0734714387863131e-57,1.4347766370567356e-108
4.483599227055186e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,5.3864546102118592e-71,2.2151421900674662e-40,3.912044529433347e-89,5.8795774142038984e-55,2.3251446212467572e-137,4.5591771542731556e-24,1.4527866212966032e-114,4.5591771542713431e-24,6.9954413394062909e-77,1.5046354757261221e-72,2.9723034775070668e-116,1.7960032631438785e-117,1.059250172886913e-56,1.6177873715184587e-91,1.8081046029631668e-17,8.6935276096083047e-19,3.3509552570191153e-22,1.766386808664667e-36,3.3509552570225947e-22,1.7396708584472349e-34,1.1506594666966127e-42,1.0561081266777022e-49,7.5247908590915146e-79,5.9629702751128702e-56,2.6310167015025819e-106
9.52764835749227e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,1.0080247181947433e-69,9.6741079185873081e-40,3.0366122106150468e-87,5.4043446056343805e-54,7.2299875157997377e-135,9.6882514528345118e-24,1.1483068364477759e-112,9.6882514528265978e-24,1.2968369284660923e-75,2.818013381780669e-71,4.6188900488405769e-114,2.7909470424526209e-115,9.3689403097650954e-56,6.0226167565044833e-90,3.8422222812967213e-17,1.8473746170417649e-18,7.1207799211617167e-22,7.7142686388052727e-36,7.1207799211769145e-22,7.5975996397671677e-34,1.01774525859382e-41,9.586295085348926e-49,2.9146316208355576e-77,5.2741796821921206e-55,4.0885383853863087e-104
1.9615746618366439e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,1.7404922455109211e-68,4.0387496246645727e-39,2.2151395794186407e-85,4.6235305911165107e-53,2.1109713936267579e-132,1.994640004997013e-23,8.1387921991535631e-111,1.9946400049937095e-23,2.2289313367616494e-74,4.8674092268512936e-70,6.7415749322538183e-112,4.0735714467520937e-113,7.8751462122023217e-55,2.0748827884974334e-88,7.9104576379638032e-17,3.8034183292036333e-18,1.4660429249434506e-21,3.2205497634753177e-35,1.4660429249497951e-21,3.1718482474930181e-33,8.5547619863555007e-41,8.4702484979152185e-48,1.06218970752767e-75,4.4332658199920587e-54,5.9674916693348459e-102
3.9791943140114775e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,2.8913571217875725e-67,1.6499610059766662e-38,1.6170624771529273e-83,3.822824503034539e-52,6.164062041399987e-130,4.0462697244292982e-23,5.4770340427465926e-109,4.0462697244158011e-23,3.6942902285780248e-73,8.0872463095310858e-69,9.8427433382645107e-110,5.9474408611297613e-111,6.4564999340403376e-54,6.8857794813628434e-87,1.6046928351297846e-16,7.7155057535273671e-18,2.9739727905930435e-21,1.3156951370079896e-34,2.9739727906189623e-21,1.2958034687701743e-32,7.0137104879560767e-40,7.6207047731827609e-47,3.8770567478538722e-74,3.6346591723365927e-53,8.7125767291514374e-100
8.014433618361144e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,4.7132229085294125e-66,6.6694062176595836e-38,1.2397463926150388e-81,3.10865739797954e-51,1.8893834596099892e-127,8.1495291633145149e-23,3.5936823680361732e-107,8.1495291632599555e-23,6.0151939549518593e-72,1.3184164828498422e-67,1.5087244855408031e-107,9.1164112942015997e-109,5.2286074716055247e-53,2.2436309926534394e-85,3.2319869777965478e-16,1.5539680602174825e-17,5.9898325218723688e-21,5.318213520105645e-34,5.9898325219771394e-21,5.2378445174158745e-32,5.6798841983871989e-39,7.2668140428534131e-46,1.4871903338920842e-72,2.9434412431370661e-52,1.3354892422590799e-97
1.6084912227060478e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,0.0,7.6114570432600299e-65,2.6817389274606074e-37,1.0390237708643085e-79,2.5072448102775673e-50,6.3286292990999727e-125,1.635604804116753e-22,2.3286526928419474e-105,1.6356048040948157e-22,9.7085472945744297e-71,2.1292177915530495e-66,2.5274942486448858e-105,1.5272289496975508e-106,4.2083841306345908e-52,7.2445485178316695e-84,6.4865752631298909e-16,3.1188030299469699e-17,1.2021551984351581e-20,2.1384008448566965e-33,1.2021551984772858e-20,2.1061140147791428e-31,4.5716643017569685e-38,7.6122711141984325e-45,6.2390444479325477e-71,2.3691376029418565e-51,2.2372814989401062e-95
3.2225869444459145e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996403,0.022821567693054254,0.0,1.2234622272366452e-63,1.0754972700226654e-36,9.739392846126152e-78,2.0139553813708895e-49,2.3706234280280925e-122,3.2769085797203901e-22,1.4995871470847311e-103,3.2769085796324109e-22,1.5601374868903754e-69,3.4225642737147676e-65,4.7353344205203103e-103,2.8613081186562335e-104,3.3768765040483683e-51,2.3286953862417327e-82,1.299575183379584e-15,6.248472969405931e-17,2.4084990908992238e-20,8.5757078350592345e-33,2.4084990910681751e-20,8.446457346623045e-31,3.668471661899168e-37,8.9382562830152793e-44,2.9278547075840514e-69,1.9010837503514428e-50,4.1916123422446556e-93
