Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),H2OX(23),COX(50),O(29),CHOX(53),CO2X(24),acetyl(44),C2H6X(52),C2H4X(215),HOCO(73),C2H4X(70),CHO2(74),S(216)
6.4733749816644685e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999967,0.11866996602996215,0.02282156769305424,1.5160898804596384e-97,1.6871289653254233e-45,2.0880566962478197e-30,3.0076444757076037e-71,1.1124011761488876e-45,2.731997635489613e-109,5.713266769797886e-17,1.6991855257321695e-89,5.713266769797161e-17,8.799109518136531e-61,5.654503522587934e-60,3.4942428098082785e-92,4.051566565984311e-93,7.52117842014804e-32,2.2603488535759585e-71,3.120171827185736e-15,9.238274222635199e-17,3.6983909773630254e-19,6.333594710675035e-32,2.3452218234734703e-31,3.698390929149701e-19,2.4089375136187265e-27,2.9351509165472556e-32,3.075992396356363e-36,2.1141015864928753e-61,8.855803341928734e-44,6.371773111922924e-63,2.1099074339992355e-31,1.3692170150680359e-45,6.153690445153024e-86,6.94569730049329e-25,2.69754709905723e-88,1.203894512531039e-87,1.9104378384421704e-101,1.1402180110393547e-59,6.4403866229380925e-77,9.749475800557126e-120,2.2841428780667686e-85,1.5822876942777706e-121,2.9065666177963366e-173
1.2952374094503277e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999935,0.11866996602995897,0.022821567693054195,3.8982449064368884e-95,1.3507290212741593e-44,8.357680698039956e-30,1.9325010215340275e-69,8.90823137963483e-45,7.021553095060414e-107,1.1431497281359296e-16,1.0891595267793138e-87,1.1431497281356397e-16,1.409386721780548e-59,9.057734345368183e-59,4.490307271258883e-90,5.206501035475586e-91,3.0104314437236124e-31,7.464809858075892e-70,6.243054490014653e-15,1.8484574747809399e-16,7.399995201097394e-19,2.5350883277844473e-31,9.386999112534205e-31,7.399995008117274e-19,9.641910355318905e-27,2.3498780045202486e-31,2.46946086447319e-35,6.791875185435093e-60,7.090037104243463e-43,2.041461230246927e-61,8.445128305010493e-31,1.0962060961824561e-44,7.90785369862706e-84,1.3897430595928532e-24,3.468028244951831e-86,1.5477543291688178e-85,4.912192259319483e-99,1.826330404702687e-58,4.126971218582962e-75,5.0138045137185026e-117,1.5083602446943012e-83,8.13697152461948e-119,4.788294507245888e-169
2.5910372320180892e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998706,0.11866996602995261,0.0228215676930541,1.004172437176002e-92,1.0809937349459442e-43,3.3441707446059834e-29,1.2442280496176811e-67,7.13019565547221e-44,1.8082693098454213e-104,2.286795830448216e-16,6.97600435081605e-86,2.286795830447056e-16,2.2562428114470164e-58,1.4500803380400841e-57,5.782017671534172e-88,6.704236294524412e-89,1.2045647043439571e-30,2.533242500847191e-68,1.2488819815667576e-14,3.697717579815716e-16,1.4803203793543287e-18,1.0143654305013915e-30,3.756022353613166e-30,1.4803203021362048e-18,3.85792597449286e-26,1.8805726824833455e-30,1.98719755369379e-34,2.1865225721528384e-58,5.674200052839144e-42,6.536556300977858e-60,3.379151344145423e-30,8.772979428267355e-44,1.0182677262254719e-81,2.78009017053835e-24,4.466783488675297e-84,1.9934911379693072e-83,1.2653387272864331e-96,2.9237148210871884e-57,2.6428572252589135e-73,2.58309103461406e-114,1.0233287441779218e-81,4.1921440014476307e-116,7.882350782275929e-165
5.182636877153612e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999742,0.11866996602993989,0.022821567693053917,2.59931798214477e-90,8.649592347853303e-43,1.3378939195592083e-28,8.050721646427222e-66,5.705601097690362e-43,4.679860002454977e-102,4.574088035072807e-16,4.46636624194454e-84,4.57408803506817e-16,3.610968022297067e-57,2.320803016512192e-56,7.482168589576245e-86,8.675557396768847e-87,4.8190431828067184e-30,9.025089427696245e-67,2.4980350466953782e-14,7.396237789885012e-16,2.960962155839305e-18,4.0581213476924124e-30,1.502653515206425e-29,2.9609618469090135e-18,1.5433463280395548e-25,1.5046736267832476e-29,1.6074674417012246e-33,7.074450292390228e-57,4.540247054616751e-41,2.092246967270433e-58,1.3518805693693135e-29,7.019714968150414e-43,1.3176802984415494e-79,5.560786199863132e-24,5.781282883268203e-82,2.5801421817717967e-81,3.275220666075883e-94,4.679213014042282e-56,1.691881551980881e-71,1.3372629928179877e-111,7.286407271228646e-80,2.1703248662096852e-113,1.2996012200802846e-160
1.0365836167424658e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999485,0.11866996602991445,0.022821567693053546,6.7967340249272e-88,6.920331008816185e-42,5.352074126149172e-28,5.2622848166741283e-64,4.565058777799431e-42,1.2234366805431102e-99,9.148672444322062e-16,2.859026024914654e-82,9.148672444303508e-16,5.778332565345786e-56,3.713824432896569e-55,9.7805444042704e-84,1.1340518887641341e-84,1.9277741573812375e-29,3.4749573677925327e-65,4.9963411769447607e-14,1.4793278210022582e-15,5.922245940831934e-18,1.6233799398873698e-29,6.011103220822233e-29,5.922244704950063e-18,6.17328558424154e-25,1.2037408120693132e-28,1.3139468862780447e-32,2.3124429694196155e-55,3.6325823694431852e-40,6.695607152574568e-57,5.407962339774824e-29,5.61630280522904e-42,1.7224458962069375e-77,1.1122185488247847e-23,7.558785197196286e-80,3.373428000171719e-79,8.563410676031302e-92,7.487756406838062e-55,1.0828750872003505e-69,6.993184297526428e-109,5.6050741362187e-78,1.1350375584198875e-110,2.1523967731214386e-156
2.073223474796675e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799897,0.11866996602986356,0.022821567693052807,1.8123667483382835e-85,5.536527790155868e-41,2.1409670698915317e-27,3.507639742197013e-62,3.652278195841751e-41,3.2612591420488234e-97,1.8297841262820863e-15,1.829953196732112e-80,1.8297841262746647e-15,9.245959129284762e-55,5.942550613399901e-54,1.3036739778738498e-81,1.5116069933744165e-82,7.711410409215909e-29,1.4873632266006734e-63,9.992953437412099e-14,2.9587359050293637e-15,1.1844814439223612e-17,6.493778300704057e-29,2.404539105921988e-28,1.1844809495014035e-17,2.4689330945901416e-24,9.628585877220994e-28,1.0957587740526434e-31,7.709255531840896e-54,2.906267592835122e-39,2.1423656330099698e-55,2.1632729255308784e-28,4.493251713515862e-41,2.295892508438265e-75,2.22450129839579e-23,1.0078597576784071e-77,4.4980014609169626e-77,2.28311048163318e-89,1.198122277462575e-53,6.929679596684665e-68,3.7292762492733716e-106,4.7918793266770614e-76,6.053632570752634e-108,3.5975157430725395e-152
4.1465031909050934e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997941,0.11866996602976178,0.02282156769305133,5.009487796284499e-83,4.429327615136284e-40,8.56444474328814e-27,2.4234661866665603e-60,2.9219150283490206e-40,9.009374237845195e-95,3.659617889981963e-15,1.171226541221686e-78,3.659617889952277e-15,1.4794036232800358e-53,9.50842557291911e-53,1.8009666507451802e-79,2.0882166954981478e-80,3.0846269207431306e-28,7.160412889828287e-62,1.9986177958221048e-13,5.917552073081938e-15,2.3689955152156417e-17,2.597559613563676e-28,9.61835191923886e-28,2.368993537107059e-17,9.872082366442301e-24,7.700176530694082e-27,9.478730738738202e-31,2.664633453282332e-52,2.3251711868953663e-38,6.853314988378833e-54,8.653267476718103e-28,3.594680561888101e-40,3.171671598137221e-73,4.449078365114048e-23,1.3930764050643224e-75,6.217195391299801e-75,6.308952035611248e-87,1.917060647614096e-52,4.4335517034879604e-66,2.0613622055066469e-103,4.6077263284649345e-74,3.3470083399285343e-105,6.111929599829125e-148
8.293062623121931e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679958826,0.11866996602955823,0.02282156769304837,1.4714920688567195e-80,3.543504545013983e-39,3.4261341806201005e-26,1.779274389140069e-58,2.3375690109741054e-39,2.6441241089376755e-92,7.319285417382185e-15,7.496030642134276e-77,7.319285417263437e-15,2.3670859242936555e-52,1.5213754549836828e-51,2.6433550993660273e-77,3.0649641264704504e-78,1.2338633198214149e-27,3.8261574460433776e-60,3.997262699933606e-13,1.1835184409180543e-14,4.7380251462788305e-17,1.039030771479888e-27,3.847379752658948e-27,4.73801723069076e-17,3.9457956940869036e-23,6.155619122041253e-26,8.721777552004622e-30,9.790147299694535e-51,1.8603219358005908e-37,2.1914923812043224e-52,3.4613419796944515e-27,2.8757687681395033e-39,4.655196603791502e-71,8.898278768855553e-23,2.046455985576821e-73,9.133183343388466e-73,1.8523931623280112e-84,3.067349038334636e-51,2.8354610951226092e-64,1.210800854607778e-100,4.919121025235911e-72,1.966932561430253e-102,1.0651592484499097e-143
1.6586181487555605e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767991766,0.11866996602915114,0.02282156769304245,4.732841304941619e-78,2.8348210959014304e-38,1.3707172309881328e-25,1.4302539925986395e-56,1.8700700027064658e-38,8.494271480499129e-90,1.4638620472184503e-14,4.797517445766798e-75,1.4638620471709508e-14,3.7873695688099566e-51,2.434221964244938e-50,4.2471551103566404e-75,4.924566400744783e-76,4.935478382454406e-27,2.2045078467267226e-58,7.994552507955449e-13,2.3670449081351583e-14,9.476090378401622e-17,4.156115076804482e-27,1.5389596064949946e-26,9.476058691355083e-17,1.5758697173881646e-22,4.917187645831533e-25,8.795458089861564e-29,3.939569989561135e-49,1.4885264878937498e-36,7.002556321144179e-51,1.3845436567304974e-26,2.3006129689742463e-38,7.479638243805385e-69,1.7796864657558514e-22,3.292036880942487e-71,1.4692132678965646e-70,5.954374594713466e-82,4.9078000579461385e-50,1.8120718829998632e-62,7.786886224877068e-98,5.664545784466438e-70,1.2661584942594313e-99,1.915609263436957e-139
3.317241921642295e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679835325,0.11866996602833695,0.022821567693030616,1.703983076461674e-75,2.2678646264655423e-37,5.4849266566194215e-25,1.286907155718032e-54,1.4960619173527857e-37,3.0541197211859318e-87,2.927729058179663e-14,3.070429653261911e-73,2.927729057989664e-14,6.059816943819517e-50,3.89477003719936e-49,7.637873618361515e-73,8.85609609723675e-74,1.974196373633642e-26,1.3299979570009892e-56,1.5989132123194514e-12,4.734097842558897e-14,1.8952244850653563e-16,1.6624269402547817e-26,6.155853104109022e-26,1.8952117906730947e-16,6.28392752579112e-22,3.922072142199093e-24,9.93263737004713e-28,1.774744247904504e-47,1.191239146844968e-35,2.2342726685440467e-49,5.538187292818682e-26,1.840470720473183e-37,1.3451008426878643e-66,3.55947767598442e-22,5.92818413610175e-69,2.6457122887819013e-68,2.1423281959164495e-79,7.85251335261056e-49,1.1563652588040357e-60,5.6056889301552906e-95,6.83216553138978e-68,9.131160761748318e-97,3.529807092478653e-135
