Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.895292112840976e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,7.385646755107623e-66,7.3793638097523716e-42,3.4907318924553528e-93,3.4484872400450476e-57,1.5381855916290525e-142,7.0115228147950036e-25,-6.4805976689533755e-118,7.0115228147944003e-25,1.0701925614675384e-79,1.3198038653238782e-70,7.2116457378662351e-121,4.3576099734976114e-122,3.6518557187452943e-53,6.6116467075596628e-95,2.780669898587693e-18,1.3369707978709934e-19,5.1534078279766619e-23,5.8844176563041594e-38,5.1534078279778221e-23,2.0530302630553358e-54,5.7954131792680119e-36,9.412713762284792e-45,8.4733511004997055e-52,2.4829547567615313e-82
1.9306817915954733e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.6522085770795698e-64,4.4571357415812157e-41,3.8801739601379976e-91,5.2113539171481308e-56,5.5827973321269354e-140,1.9632263881427966e-24,1.25087183929914e-116,1.9632263881424319e-24,3.0181142541438531e-78,4.149674521590043e-69,1.4501294508010772e-118,8.7623529876035651e-120,4.3354831092925627e-52,3.4223787512531232e-93,7.785875716045541e-18,3.7435182340387818e-19,1.4429541918332778e-22,3.5541882644060539e-37,1.442954191833978e-22,2.4373575282905019e-53,3.5004295547880052e-35,1.1174773756429468e-43,1.0120616397425409e-50,1.5195194640434049e-80
4.412986952218225e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.2645466823948824e-63,2.1459189966121636e-40,3.5552029667177371e-89,5.6061367363846091e-55,2.047024321199671e-137,4.4873746014701703e-24,1.3207997491393538e-114,4.4873746014684151e-24,6.5650577413767378e-77,9.2576955844075268e-68,2.6586433943164813e-116,1.6064753306190521e-117,4.2566030257637718e-51,1.4943445010062507e-91,1.7796287350961222e-17,8.5566131063743596e-19,3.2981810099037499e-22,1.7111886544507615e-36,3.2981810099071207e-22,2.3930120745900408e-52,1.6853061442963255e-34,1.0971459092638524e-42,1.0065805351781637e-49,6.9478148156499022e-79
9.377597273463728e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,5.8091362065241555e-62,9.3717920459926361e-40,2.7585649205543774e-87,5.1530055130384145e-54,6.3627483844312256e-135,9.5356710281280423e-24,1.0439822071552765e-112,9.5356710281203766e-24,1.2170510627499587e-75,1.7338639260536442e-66,4.1298895138385503e-114,2.4954702975008295e-115,3.7649171717855798e-50,5.5630699004054437e-90,3.7817110620792512e-17,1.8182802851045512e-18,7.008634646041688e-22,7.4732104234805588e-36,7.0086346460564099e-22,2.1165920799422812e-51,7.3601746525773096e-34,9.7041312361357991e-42,9.1331473962417309e-49,2.6901067433118799e-77
1.9306817915954735e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,9.797997830848743e-61,3.912538698777119e-39,2.0108747476481475e-85,4.4085047058040441e-53,1.8564411173904186e-132,1.9632263881456288e-23,7.3993761720257434e-111,1.9632263881424282e-23,2.0917998189727346e-74,2.99481875073686e-65,6.0235605296778558e-112,3.6397139285783287e-113,3.164639736151273e-49,1.9165619288481947e-88,7.7858757160454815e-17,3.7435182340387825e-18,1.4429541918305539e-21,3.1199182413493123e-35,1.4429541918367002e-21,1.7791231773756801e-50,3.0727279910641402e-33,8.1569068813025888e-41,8.063978919489486e-48,9.7966105770418939e-76
3.9165259200936747e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,1.6093273641563457e-59,1.5983997244442305e-38,1.4661255125141016e-83,3.6450369428662354e-52,5.4141293570454953e-130,3.9825449588162784e-23,4.9794409535973369e-109,3.9825449588032028e-23,3.4670047945936751e-73,4.975936145604991e-64,8.7835500884017967e-110,5.3074273001161207e-111,2.5945628551570278e-48,6.3603702713162764e-87,1.5794205023977832e-16,7.5939941319072389e-18,2.9271356462785139e-21,1.2745884020065004e-34,2.9271356463036232e-21,1.4586326708160337e-49,1.2553096114412527e-32,6.6875248505390115e-40,7.2460131544594727e-47,3.571356073623235e-74
7.888214177090077e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,2.6087916461437204e-58,6.4609872725830011e-38,1.1218547360015107e-81,2.9640835066733223e-51,1.6563185109496216e-127,8.0211821001775769e-23,3.2671933418635407e-107,8.0211821001247243e-23,5.645118545615413e-72,8.1120317786195964e-63,1.3437704366783378e-107,8.1196826214148997e-109,2.1011442686595857e-47,2.0724340510907739e-85,3.1810863639842088e-16,1.5294945927644146e-17,5.8954985551551949e-21,5.1520901099805154e-34,5.8954985552566914e-21,1.1812385542845581e-48,5.0741618849129493e-32,5.4157306367276855e-39,6.8959881471821938e-46,1.3672670532630436e-72
1.5831590691082882e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,0.0,4.2013806380400704e-57,2.5979345853539016e-37,9.3782584991208717e-80,2.3906407293927378e-50,5.5338585320664117e-125,1.609845638298018e-22,2.1170926627343411e-105,1.6098456382767663e-22,9.111244091885443e-71,1.3100952990308848e-61,2.245429372024454e-105,1.3567923026118239e-106,1.6911837027870691e-46,6.6917639675591453e-84,6.3844180871568824e-16,3.0696849519117916e-17,1.1832224372831598e-20,2.0716327734416877e-33,1.1832224373239711e-20,9.5076355368152262e-48,2.0402979587927021e-31,4.3590505738594457e-38,7.2053134764171716e-45,5.721310945082529e-71
3.171834371906849e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996405,0.022821567693054257,0.0,6.7441480829876142e-56,1.0418879798340881e-36,8.7670517609720061e-78,1.9202926424063105e-49,2.067309217722335e-122,3.2253004948905397e-22,1.3633484099985553e-103,3.2253004948053112e-22,1.4641524657257338e-69,2.105939930228502e-60,4.1955076345474053e-103,2.5351198015907715e-104,1.3570684143765856e-45,2.1510077320519388e-82,1.2791081533501516e-15,6.1500656702065314e-17,2.3705676007876571e-20,8.3081739813761515e-33,2.3705676009513286e-20,7.629278744497451e-47,8.1825056105142991e-31,3.4978625983846762e-37,8.4375939972194062e-44,2.6776429308033714e-69
6.349184977503971e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999731,0.11866996602996277,0.022821567693054226,0.0,1.0808223315025359e-54,4.1729865034892422e-36,9.1342847678701657e-76,1.5393522373397695e-48,8.6084762142498796e-120,6.4562102082035882e-22,8.7524363236180764e-102,6.4562102078622275e-22,2.3477383027237208e-68,3.3773544182266909e-59,8.7376622778139574e-101,5.2796997621023222e-102,1.0873061395004215e-44,6.89869179358942e-81,2.5604408426187943e-15,1.2310827106795958e-16,4.7452579276735186e-20,3.3276031126648724e-32,4.7452579283290582e-20,6.1127070114076802e-46,3.2772688147963638e-30,2.8025450616889339e-36,1.1016058342007242e-42,1.3964516841007932e-67
1.2703886188698215e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999465,0.1186699660299602,0.022821567693054164,0.0,1.7307240440067414e-53,1.6702822133745188e-35,1.035078239027736e-73,1.2327302593116796e-47,3.8997014745378466e-117,1.2918029635341707e-21,5.6102169301167724e-100,1.2918029633975375e-21,3.7604614227713507e-67,5.4100557307365186e-58,1.9794967366877177e-98,1.1961035019896937e-99,8.7050604007460362e-44,2.2100591293129009e-79,5.1231062211549425e-15,2.4632349979974568e-16,9.4946385809527091e-20,1.3319084431252752e-31,9.494638583576578e-20,4.8938823868635897e-45,1.3117604847524516e-29,2.2437376439741716e-35,1.5633854636230109e-41,7.9183279129983335e-66
2.5413288611086704e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998926,0.11866996602995508,0.022821567693054039,0.0,2.770285675429772e-52,6.6833052995740673e-35,1.2389052995518397e-71,9.8668383909356191e-47,1.8663887516212483e-114,2.5841668491666028e-21,3.5933117919766225e-98,2.5841668486198915e-21,6.0200042473565139e-66,8.6611233923367299e-57,4.7374747898219891e-96,2.8626014287315034e-97,6.9666939628504975e-43,7.0761560433573441e-78,1.0248436978222694e-14,4.9275395726330854e-16,1.8993399885540961e-19,5.3293686608737179e-31,1.899339989603986e-19,3.9165932445447519e-44,5.2487416067197086e-29,1.7956680749556725e-34,2.3418838050696069e-40,4.7410472499445433e-64
5.083209345586368e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997849,0.11866996602994483,0.022821567693053792,0.0,4.4333590437672899e-51,2.6737579528302185e-34,1.5307053482842028e-69,7.8954697244071876e-46,9.2221016493538544e-112,5.1688946212507017e-21,2.3006072923458394e-96,5.168894619063499e-21,9.6346203134655264e-65,1.3861826113216399e-55,1.1705049855989968e-93,7.0727326110827424e-95,5.5744136493713084e-42,2.2650048195628664e-76,2.0499098492339999e-14,9.8561487219039652e-16,3.7990922486836928e-19,2.1320944898234243e-30,3.7990922528839453e-19,3.1338696379458223e-43,2.0998312355233539e-28,1.4368009509195116e-33,3.6193035913341747e-39,2.9296255053286181e-62
1.0166970314541763e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995701,0.11866996602992433,0.0228215676930533,0.0,7.0940960478363395e-50,1.0695907393655528e-33,1.9240143697968387e-67,6.3171754769270078e-45,4.6361912748548642e-109,1.0338350168695837e-20,1.4726728088823963e-94,1.033835015994631e-20,1.5417483601959896e-63,2.2182145216989373e-54,2.942319286336688e-91,1.7778854275303953e-92,4.459954350002929e-41,7.2490313893872466e-75,4.1000421520501837e-14,1.971336702044423e-15,7.5985967657906811e-19,8.5290720466331315e-30,7.5985967825931103e-19,2.5073337225345427e-42,8.3999510618238611e-28,1.1495397668667552e-32,5.6886524029428748e-38,1.841446888713239e-60
2.0334492252452552e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991404,0.11866996602988332,0.022821567693052314,0.0,1.1351130710425974e-48,4.2785411635363377e-33,2.4401176719194873e-65,5.0540602722008164e-44,2.3518007985951455e-106,2.0677261276693849e-20,9.4260153230198422e-93,2.0677261241694322e-20,2.4669646725546486e-62,3.5494011177545385e-53,7.4628849186208008e-89,4.509420308062113e-90,3.5681328510694665e-40,2.3198526082637554e-73,8.2003067576534412e-14,3.9427803617518759e-15,1.5197605787395824e-18,3.41176763063401e-29,1.5197605854608735e-18,2.0059621397036043e-41,3.3600711626171686e-27,9.1965925551270951e-32,9.0199310984618917e-37,1.1677844356234669e-58
4.066953612827413e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319982811,0.11866996602980132,0.022821567693050344,0.0,1.8162269932297896e-47,1.7114545738657733e-32,3.1087928985540733e-63,4.0433761654056104e-43,1.1984772106505836e-103,4.1355083545120858e-20,6.0329408011672354e-91,4.1355083405119889e-20,3.9472773059868742e-61,5.6792480618433917e-52,1.9015594931283777e-86,1.1490102134513374e-87,2.8545740148007936e-39,7.4237884362732021e-72,1.6400835968743523e-13,7.885667681164383e-15,3.0395623780170756e-18,1.3647348068000145e-28,3.0395624049031559e-18,1.6048077002007218e-40,1.3440190216034008e-26,7.3571892219051331e-31,1.4365988853552046e-35,7.4392541633007061e-57
8.133962387991729e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631996562,0.11866996602963731,0.022821567693046402,0.0,2.9059997827091704e-46,6.8459142441535505e-32,3.9697358328200348e-61,3.2347520921251463e-42,6.1214418394341336e-101,8.2710728291698825e-20,3.8611752172960131e-89,8.2710727731689254e-20,6.3157507174560723e-60,9.0869617884668741e-51,4.8563035232612868e-84,2.9344032439772448e-85,2.2836862797150623e-38,2.3756539007261995e-70,3.2801894390457937e-13,1.5771442319979797e-14,6.0791659563979264e-18,5.4589946700349117e-28,6.0791660639462849e-18,1.2838612321396057e-39,5.3758364876849639e-26,5.88540612744079e-30,2.2931688373275587e-34,4.7498186772261567e-55
