Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49)
5.083209345586368e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997849,0.11866996602994483,0.022821567693053792,0.0,1.0076878936573214e-57,2.6737575648021423e-34,1.4884947298134177e-69,7.8954700797217201e-46,8.9663499707090597e-112,5.1688963266951041e-21,2.3006075972169927e-96,5.1688963176103978e-21,9.6346184154219949e-65,1.1717028290120371e-58,1.1381051937230452e-93,6.8769556346402606e-95,1.7635029071496875e-46,2.265003731212257e-76,2.0499098492339999e-14,9.8561487219039652e-16,3.7990922502093621e-19,2.1319559197654107e-30,3.7990922512892892e-19,5.0520145104023346e-29,8.316767944548213e-35,2.0385294663052095e-40,1.6493646721112548e-63,7.445886412515994e-47
1.0166970314541763e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995701,0.11866996602992433,0.0228215676930533,0.0,1.6124326252139367e-56,1.0695900774334877e-33,1.8970072746504987e-67,6.317175765950422e-45,4.5707379498835133e-109,1.0338353593566216e-20,1.4726730064475923e-94,1.0338353557224433e-20,1.5417480575863488e-63,1.8748790690754998e-57,2.9008597325466246e-91,1.7528330238630189e-92,1.4108506962831595e-45,7.2490279113527198e-75,4.1000421520501837e-14,1.971336702044423e-15,7.598596771893851e-19,8.527963448163212e-30,7.5985967762139199e-19,2.0209669454870114e-28,6.6540197154091054e-34,3.2476538935113623e-39,1.051049382826975e-61,5.9572747654103046e-46
2.0334492252452552e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991404,0.11866996602988332,0.022821567693052314,0.0,2.5797546556793598e-55,4.278534461948265e-33,2.4228608012083805e-65,5.0540605110119481e-44,2.3350717278341778e-106,2.0677268181807937e-20,9.4260166184101179e-93,2.0677268036434893e-20,2.4669641919258927e-62,2.9996471563344392e-56,7.4099024141705732e-89,4.4774042356911777e-90,1.1285972178574548e-44,2.3198514985273291e-73,8.2003067576534412e-14,3.9427803617518759e-15,1.5197605811809495e-18,3.4108808173465654e-29,1.5197605829090551e-18,8.0841701108386715e-28,5.3234262571000286e-33,5.1850202251544573e-38,6.7121244719794316e-60,4.7660461231483785e-45
4.066953612827413e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319982811,0.11866996602980132,0.022821567693050344,0.0,4.1267196445077834e-54,1.711448650233974e-32,3.0978204156108728e-63,4.0433763685853714e-43,1.1942224211324213e-103,4.1355097576289377e-20,6.0329416697482228e-91,4.1355096994785368e-20,3.9472765484095991e-61,4.7984027325137988e-55,1.8948219687769762e-86,1.1449386824157519e-87,9.0268020227353714e-44,7.4237849061937297e-72,1.6400835968743523e-13,7.885667681164383e-15,3.039562387782743e-18,1.3640255114208747e-28,3.0395623946953636e-18,3.2337125390775633e-27,4.2587745271147116e-32,8.2869555906505963e-37,4.2910292353232872e-58,3.8129274965865051e-44
8.133962387991729e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631996562,0.11866996602963731,0.022821567693046402,0.0,6.5995543876979109e-53,6.8458646075946876e-32,3.9628959978927351e-61,3.2347522740715292e-42,6.1108313450918225e-101,8.2710757237244211e-20,3.8611758237512353e-89,8.2710754911204499e-20,6.3157495419679049e-60,7.6737238473338156e-54,4.8479032423526467e-84,2.92932636398516e-85,7.2180256985228993e-43,2.3756527846501935e-70,3.2801894390457937e-13,1.5771442319979797e-14,6.0791659954609941e-18,5.4533229912024019e-28,6.079166023112209e-18,1.2934811372056208e-26,3.4069519538501585e-31,1.3251562258401429e-35,2.7446673566369656e-56,3.0503783510940822e-43
1.6267979938320361e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319931241,0.11866996602930928,0.022821567693038516,0.0,1.054878489225586e-51,2.7383600645258366e-31,5.0707403709365151e-59,2.5878222823136945e-41,3.1276517063556378e-98,1.6542208004712181e-19,2.4711823649314996e-87,1.6542207074291561e-19,1.010528488606129e-58,1.226573526117152e-52,1.2406298777700123e-81,7.4964569708596465e-83,5.7688600721448407e-42,7.6021554702126524e-69,6.5604011232023782e-13,3.1542991597572235e-14,1.2158373188716148e-17,2.1790759295430492e-27,1.2158373299325199e-17,5.1738145765587971e-26,2.7254047835549172e-30,2.1195470199008846e-34,1.7559786320276099e-54,2.4403174050773237e-42
3.2536015038977627e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631986248,0.11866996602865322,0.022821567693022744,0.0,1.684431639617366e-50,1.0953470461743661e-30,6.4886865562685498e-57,2.0702659970551307e-40,1.6008979119216348e-95,3.3084473961874838e-19,1.5815662971213776e-85,3.3084470240182921e-19,1.6168524206061501e-57,1.958590794769735e-51,3.1751010190434785e-79,1.9185422300076262e-80,4.606175255258661e-41,2.4327003841577911e-67,1.3120824490770351e-12,6.3086090152603561e-14,2.4316787486821061e-17,8.6982635026854634e-27,2.4316787929287359e-17,2.0694220707939843e-25,2.180053609078244e-29,3.3904006171544114e-33,1.12350461976568e-52,1.9522601058583533e-41
6.5072085240292155e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319724956,0.11866996602734112,0.0228215676929912,0.0,2.6843371969909559e-49,4.3813956336715579e-30,8.3024581592309068e-55,1.6562160436525756e-39,8.1935807539057237e-93,6.6169011456948661e-19,1.0122055422523498e-83,6.6168996570162186e-19,2.5869693097881828e-56,3.1212295902583377e-50,8.1252659165823222e-77,4.9096597681472454e-78,3.6707431709011475e-40,7.7846581417823628e-66,2.6241671222925507e-12,1.261722872620521e-13,4.8633615729409318e-17,3.4649434455557318e-26,4.8633617499507587e-17,8.2768267529682779e-25,1.7436028994183853e-28,5.4229423926783237e-32,7.1877752203766021e-51,1.5618110246853416e-40
1.301442256429212e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631944991,0.1186699660247169,0.022821567692928115,0.0,4.2609026901812009e-48,1.7525608694687346e-29,1.0620405126827458e-52,1.3249740973595818e-38,4.1924587497323124e-90,1.3233810877008963e-18,6.4781260095262451e-82,1.3233804922290685e-18,4.1391551354792631e-55,4.9543527561206714e-49,2.0787507649286408e-74,1.2560769121163596e-75,2.9141251608783119e-39,2.4910932464312446e-64,5.2483364675312681e-12,2.5234468147849344e-13,9.7267270800099559e-17,1.3746170869658961e-25,9.726727788233142e-17,3.3100353667108799e-24,1.3941756312210195e-27,8.6721545289597037e-31,4.5972483925148405e-49,1.2494507431410876e-39
2.602885064481793e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318899822,0.11866996601946846,0.022821567692801942,0.0,6.7109400952806588e-47,7.010257713322308e-29,1.3577578490633846e-50,1.0599797253155476e-37,2.1439345355872082e-87,2.6467639268833988e-18,4.1460047615156001e-80,2.6467615449954077e-18,6.6226512577709299e-54,7.803008067534869e-48,5.3151393369484729e-72,3.211651833925336e-73,2.2961340548597417e-38,7.9715021986720455e-63,1.0496675153239447e-11,5.0468946990155804e-13,1.9453457528353536e-16,5.4096377554651488e-25,1.9453460362694087e-16,1.3234569448544144e-23,1.1142098328137007e-26,1.3861595630902775e-29,2.9386456258865012e-47,9.9956255890094578e-39
