Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3X(55),C2H4(47),COX(50),O(29),H2OX(23),CHOX(53),acetyl(44),CO2X(24),C2H4X(215),C2H4X(70)
6.185523972455958e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999968,0.1186699660299623,0.022821567693054243,1.5720656147594364e-100,1.4719242815238706e-45,1.906483751929806e-30,2.650808969005127e-72,9.946049041842462e-46,2.1982332534352143e-110,5.459215427149007e-17,1.3254615837284978e-89,5.4592154271479975e-17,7.517502989514656e-61,4.95457053461154e-60,2.942506198519898e-93,3.411829223994754e-94,6.867162905351925e-32,5.9099847215345056e-71,2.9814274145875e-15,8.827476676399627e-17,3.533934922962514e-19,5.782846370006228e-32,2.1412894910566515e-31,3.533934917903512e-19,2.4966879782422937e-28,3.299568497549923e-34,4.0058144918155187e-39,2.5129547286276264e-64,7.726175289939444e-44,1.9264372224329178e-31,3.939201358155718e-61,5.182030346745978e-87,6.636843543351531e-25,1.1945639580022989e-45,2.5739722229381422e-90,1.5373036993098459e-102,1.3064870846593024e-90,3.804569417735385e-75,5.67673586123512e-85
1.237642198832847e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999938,0.11866996602995926,0.0228215676930542,4.121480101250895e-98,1.1784344201756755e-44,7.630903463435796e-30,1.7365754582938673e-70,7.964905833925033e-45,5.759715177049284e-108,1.092317387378365e-16,8.496065258342829e-88,1.092317387377961e-16,1.2041069465366873e-59,7.936538146671556e-59,3.855054757748266e-91,4.469927195602127e-92,2.7486547964427913e-31,3.2140835078986543e-69,5.9654451223225824e-15,1.7662622750432773e-16,7.070940168043923e-19,2.3146450842879737e-31,8.570738320613376e-31,7.070940147794719e-19,9.99324525362948e-28,2.6416570831880672e-33,3.280392145460815e-38,8.23255899258498e-63,6.185638089134823e-43,7.710769322652946e-31,1.2620988140776324e-59,6.789114237664765e-85,1.3279454615578851e-24,9.563773110813621e-45,3.3742070956781134e-88,4.030029624215622e-100,1.712667326077891e-88,2.4379754231157e-73,6.16847110338789e-83
2.4758218020073495e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999876,0.11866996602995318,0.02282156769305411,1.1022072696323431e-95,9.431056895860525e-44,3.0533553691194316e-29,1.1606849957112842e-68,6.375152883917609e-44,1.5395111953323567e-105,2.1851090767055075e-16,5.441681107963369e-86,2.185109076703891e-16,1.9276168848677468e-58,1.2705845716364449e-57,5.152467098189057e-89,5.974273841704662e-90,1.099819947444077e-30,1.874844116087562e-67,1.1933480537788265e-14,3.5332914898498477e-16,1.4144950673424252e-18,9.261591164870817e-31,3.429411714547448e-30,1.4144950592400948e-18,3.998589205728317e-27,2.1141221276539062e-32,2.74264249195767e-37,2.7520679222225452e-61,4.950390431957318e-42,3.0853120973781133e-30,4.041196015890064e-58,9.073979457299856e-83,2.6564680885697574e-24,7.653921891763814e-44,4.512159916706521e-86,1.0775827558984672e-97,2.290265270172239e-86,1.5612778720044506e-71,7.1918610210024485e-81
4.952181008356355e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997534,0.11866996602994102,0.022821567693053935,3.0595735583033535e-93,7.546278474668937e-43,1.221540980242224e-28,8.052724370971429e-67,5.101413908733976e-43,4.2706338154689835e-103,4.3706924553606467e-16,3.484020303827783e-84,4.3706924553541785e-16,3.08502387001364e-57,2.0335261581673586e-56,7.14749999986106e-87,8.287509931708908e-88,4.3999959495159326e-30,1.1415520256686198e-65,2.386955136870169e-14,7.067349919462756e-16,2.8292971745055494e-18,3.7052362343143224e-30,1.3719879924481783e-29,2.8292971420908673e-18,1.5996875925113745e-26,1.6916086814648832e-31,2.3822955789888516e-36,9.552107253898345e-60,3.961064513291135e-41,1.2343257376900733e-29,1.2935738633242437e-56,1.2587420108285242e-80,5.313514992859135e-24,6.124295254338281e-43,6.263422352340921e-84,2.9903826412439252e-95,3.1791648969427265e-84,9.995250798929896e-70,8.754737685873076e-79
9.904899421054365e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995075,0.11866996602991671,0.02282156769305358,9.046464673076319e-91,6.037596085006786e-42,4.8865616746842505e-28,5.950837776360649e-65,4.0816478298959304e-42,1.2615357932821234e-100,8.741859212674342e-16,2.2302032969499515e-82,8.741859212648471e-16,4.93670776911735e-56,3.2541142067288313e-55,1.055910531461713e-84,1.224325848594342e-85,1.760141621954186e-29,7.119078480397241e-64,4.77416930304568e-14,1.413546677868764e-15,5.658901413180479e-18,1.4822124695325155e-29,5.488398595350335e-29,5.6589012835105206e-18,6.399203446675005e-26,1.3533990728763032e-30,2.2064644876604633e-35,3.532585810080908e-58,3.169152546273842e-40,4.937704748530776e-29,4.1400253218569525e-55,1.8595577992510373e-78,1.0627615402500424e-23,4.8998931594821624e-42,9.261805430081281e-82,8.837913363620333e-93,4.7010742932897645e-82,6.397887178484458e-68,1.0917304164069508e-76
1.9810336246450387e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990157,0.11866996602986808,0.022821567693052873,2.936882671062074e-88,4.83030629971338e-41,1.9547042716126723e-27,4.828125716177199e-63,3.265524956397633e-41,4.090396505984743e-98,1.74841927273154e-15,1.4274678214094321e-80,1.7484192727211905e-15,7.899268125120832e-55,5.206959369082411e-54,1.7123563878920975e-82,1.985473312940576e-83,7.0408529823068e-29,4.496325557262757e-62,9.548597635368007e-14,2.8271700497133667e-15,1.131810998792861e-17,5.929069946775111e-29,2.195448750825935e-28,1.1318109469222257e-17,2.5597313743902007e-25,1.0827444683977381e-29,2.245976630902834e-34,1.434809099937068e-56,2.5354424759563262e-39,1.9751622391695972e-28,1.3248786799351517e-53,3.015620679912981e-76,2.125584262603313e-23,3.9200874158979904e-41,1.50385039886381e-79,2.867415460034858e-90,7.633194104885287e-80,4.094871788547259e-66,1.3789057721239574e-74
3.962120989724243e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998032,0.11866996602977084,0.02282156769305146,1.0696967810181132e-85,3.864336970665574e-40,7.818976678045611e-27,4.394774121223047e-61,2.612502642555549e-40,1.487801512713305e-95,3.4968859756652186e-15,9.136234746052897e-79,3.4968859756238196e-15,1.2639257554146301e-53,8.331432231723612e-53,3.1152262828881202e-80,3.6120977227705574e-81,2.816398492835809e-28,2.8583826087663206e-60,1.9097454299897864e-13,5.65441679340108e-15,2.2636527527046336e-17,2.371659280199653e-28,8.781973507004458e-28,2.2636525452135464e-17,1.0238700528646823e-24,8.661742315255738e-29,2.5659421832925804e-33,6.538989262092737e-55,2.0284022508234486e-38,7.900809457787428e-28,4.239573254981255e-52,5.486206389925789e-74,4.251240269009906e-23,3.1361232437599326e-40,2.7396439527668594e-77,1.0436830079725856e-87,1.39058075544356e-77,2.620696744981908e-64,1.7530893979307846e-72
7.924295719882651e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679960653,0.11866996602957634,0.022821567693048633,4.3655247771870746e-83,3.0915065985943384e-39,3.127622898005859e-26,4.482465158226446e-59,2.0900351821989885e-39,6.064544430137836e-93,6.9938193815544455e-15,5.847331246394187e-77,6.993819381388847e-15,2.0223154881715022e-52,1.333051630703441e-51,6.350993641632922e-78,7.363962452917994e-79,1.1265708572149559e-27,1.8230707111957673e-58,3.819516762849842e-13,1.1308910280770528e-14,4.527336416399545e-17,9.486598022224182e-28,3.512825003978715e-27,4.527335586392095e-17,4.095175282714021e-24,6.928805706060331e-28,3.2832090581432503e-32,3.338716827260822e-53,1.6227412580357963e-37,3.1603557386092584e-27,1.3565603633428734e-50,1.1184696366714558e-71,8.502594528623302e-23,2.5088945663611688e-39,5.592005607149419e-75,4.2567984180298315e-85,2.8383799177178884e-75,1.6771202601159707e-62,2.2361707300467675e-70
1.5848645180199469e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767992132,0.11866996602918735,0.022821567693042978,1.950405640446251e-80,2.4732204865225014e-38,1.251055851068373e-25,5.0055152062377983e-57,1.672041367801812e-38,2.70714527011804e-90,1.3987686193420374e-14,3.742337101289745e-75,1.3987686192757972e-14,3.2357321875857645e-51,2.1328964086950456e-50,1.4178092787366233e-75,1.6439465410324414e-76,4.50630634909116e-27,1.1645862589463946e-56,7.639059428386287e-13,2.2617897255485528e-14,9.05470436745642e-17,3.7945500311296794e-27,1.405137041953663e-26,9.0547010471329e-17,1.6378012365592437e-23,5.54200509143545e-27,4.5947311495341415e-31,1.865751496924246e-51,1.2982010279214737e-36,1.2641485705602566e-26,4.3402081499835115e-49,2.4968950584118347e-69,1.7005472035050917e-22,2.007073478005456e-38,1.249443806754793e-72,1.9010066710488183e-82,6.341928343866111e-73,1.0731646401866129e-60,2.8569050469985926e-68
3.16973441008331e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679842647,0.11866996602840936,0.022821567693031668,9.254733872326194e-78,1.978583110197063e-37,5.004238758785544e-25,5.937018207122781e-55,1.3376383745664796e-37,1.2838647039166535e-87,2.797541981750212e-14,2.39511015261603e-73,2.797541981485252e-14,5.1771933699583315e-50,3.4126319203771112e-49,3.3624264219498076e-73,3.898725370463417e-74,1.802527123667382e-26,7.444270729806718e-55,1.5278144758724519e-12,4.523587120481996e-14,1.8109442765692291e-16,1.5177370964816456e-26,5.620561609330832e-26,1.8109429482150044e-16,6.549004985407114e-23,4.4319022558776814e-26,6.823074210851349e-30,1.1070646325883755e-49,1.038564412325255e-35,5.056605904415759e-26,1.388344368886178e-47,5.921546922655981e-67,3.401190299670941e-22,1.6055770163258468e-37,2.964690093148798e-70,9.017920222053504e-80,1.5048293521837444e-70,6.865692236176341e-59,3.652332985637537e-66
