Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),H2OX(23),CHOX(53),CO2X(24)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033530381265e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,-1.0765781601882777e-122,1.311113071327803e-65,2.9700080994140865e-36,2.9029814929220948e-89,1.842341365828314e-54,9.8725863471782328e-133,5.5646936881172813e-20,-6.7087155532674925e-106,5.5646936881172801e-20,2.659444047964124e-72,1.4152341246779287e-72,6.5130950820227603e-113,7.5519166302892076e-114,5.3346431429516602e-54,1.2484268015440165e-85,3.0390311154049371e-18,8.9980309964363556e-20,3.6022135338473666e-22,9.0087835619510109e-38,3.3357997036290021e-37,3.6022135338394861e-22,3.8894601295438414e-34,9.1632254313551837e-43,1.0870758969293367e-47,1.3722454655596694e-78,2.1456313277517035e-52,2.0725063727165684e-98,1.1470169990649582e-106,3.3174158779948432e-54,-8.6874160022068313e-110,-4.409522881913088e-110
1.7654093885067544e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,1.950456285977793e-120,2.9329137118695437e-64,1.7938848920524479e-35,3.2079988604451352e-87,2.7841462910578074e-53,3.5624517303837742e-130,1.5581142326728394e-19,1.2951267329099956e-104,1.558114232672838e-19,7.5000577757212883e-71,4.4497225492538883e-71,1.3020502169590136e-110,1.5097238045938298e-111,6.3332883370830299e-53,6.4622167134641384e-84,8.5092871231338226e-18,2.5194486790021794e-19,1.0086197894785415e-21,5.4413052693270043e-37,2.0148230209898641e-36,1.0086197894737814e-21,2.3492339128979468e-33,1.0878581204334692e-41,1.2906274766681762e-46,8.348363127318447e-77,2.5472935123150585e-51,1.9517452522665826e-96,2.2930322890681695e-104,3.9384361289554346e-53,8.7922356387588261e-108,4.4627268049152744e-108
4.03522145944401e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,8.2343888413674514e-118,5.7949487488401372e-63,8.6367835531912498e-35,2.9025981280046006e-85,2.9950575333731581e-52,1.2899858327793685e-127,3.5614039603950622e-19,1.3675170977389073e-102,3.5614039603950569e-19,1.6314263890338257e-69,9.9270862224244493e-70,2.357425091017595e-108,2.7334281973899178e-109,6.2180600405139864e-52,2.8216567245442359e-82,1.9449799138591578e-17,5.7587398377192674e-19,2.3054166616712646e-21,2.6197542566782416e-36,9.7005055381223344e-36,2.3054166616483464e-21,1.131054997651548e-32,1.0680655476700031e-40,1.2672536781443561e-45,3.7691665832779186e-75,2.5009478756529152e-50,1.7058354272416106e-94,4.1516462132864317e-102,3.8667799430506503e-52,1.8413824601543283e-105,9.3464133600678812e-106
8.57484560131852e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,2.6490342837518924e-115,1.0311806151879961e-61,3.7719102863541465e-34,2.1970976655874189e-83,2.7529738762531529e-51,3.9121057510986436e-125,7.5679834158395106e-19,1.0809082946169979e-100,7.5679834158394914e-19,3.024389577251272e-68,1.8592333813308938e-68,3.5727296091125526e-106,4.1425705921236857e-107,5.499803680145454e-51,1.0504320512654356e-80,4.1330823169507025e-17,1.2237322155153443e-18,4.8990104060771673e-21,1.1441155091260943e-35,4.2364656235769991e-35,4.8990104059770769e-21,4.9396142816493981e-32,9.4469187099260258e-40,1.1210635933301022e-44,1.4234056267538673e-73,2.2120600737125081e-49,1.2726061562859541e-92,6.2919112082061775e-100,3.4201230644632694e-51,2.9597024384824874e-103,1.5022735915849904e-103
1.7654093885067543e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,7.5802030596301225e-113,1.7392371884003882e-60,1.5746982943977778e-33,1.5268882221271702e-81,2.3552271112034025e-50,1.088470490804201e-122,1.5581142326728418e-18,7.6610951954342694e-99,1.5581142326728331e-18,5.1981529484543096e-67,3.2113632973563457e-67,4.9687474342792892e-104,5.7612495914541629e-105,4.6229163670627215e-50,3.6188976848374114e-79,8.5092871231337665e-17,2.5194486790021791e-18,1.0086197894970794e-20,4.7764570153712627e-35,1.7686410028354464e-34,1.0086197894552936e-20,2.0621916860999922e-31,7.9407042192118241e-39,9.4264460736944866e-44,4.940121884593286e-72,1.8593697786256481e-48,8.7783657079233282e-91,8.7504292494949214e-98,2.8748195046803441e-50,4.2329488842912004e-101,2.1485427871167272e-101
3.5812590452565587e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,2.0510946409028177e-110,2.8567025831123785e-59,6.4331563444035881e-33,1.0183457995628623e-79,1.9473473211687026e-49,2.905121433005295e-120,3.1607460148506289e-18,5.1555658582837007e-97,3.1607460148505942e-18,8.6155572975574607e-66,5.3357281146394908e-66,6.629763558646605e-102,7.6871934222210784e-103,3.790146119387424e-49,1.2009801980899605e-77,1.7261696735499801e-16,5.1108816059758468e-18,2.046057287308534e-20,1.9513385299511968e-34,7.225475589805986e-34,2.0460572871378253e-20,8.4247255875179981e-31,6.5102687873710982e-38,7.7336687020679105e-43,1.6463769839177147e-70,1.5244236829932196e-47,5.829756385933569e-89,1.1675634096271793e-95,2.3569507046616512e-49,5.7257222218795457e-99,2.9062385415030488e-99
7.212958358756168e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,5.4027232868658006e-108,4.6308381734842109e-58,2.6003846520416685e-32,6.6590860534242667e-78,1.5835505008455376e-48,7.6005047533493633e-118,6.3660095792062215e-18,3.3827553339277961e-95,6.3660095792060813e-18,1.4028201621561518e-64,8.6985833845087511e-65,8.6718799245841265e-100,1.0055021981416122e-100,3.0693585561206972e-48,3.9132191225271272e-76,3.4766515960231483e-16,1.0293747459923178e-17,4.1209322830623588e-20,7.8876222269081713e-34,2.9206527587134249e-33,4.1209322823723264e-20,3.4054085180593658e-30,5.2721839865571652e-37,6.2715076605345108e-42,5.3812961483998824e-69,1.2345178219795489e-46,3.8001739943364993e-87,1.5271992134526829e-93,1.9087197651357581e-48,7.5402092041522972e-97,3.8272283896604196e-97
1.4476356985755386e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996462,0.022821567693054278,1.4057121263240738e-105,7.4578221302905547e-57,1.0456032319306606e-31,4.3163880316551578e-76,1.2771908469835226e-47,1.9708472929597512e-115,1.2776536707917485e-17,2.191975113793364e-93,1.2776536707916922e-17,2.2641573974503838e-63,1.4048235043850403e-63,1.1242914139119683e-97,1.3036129395764127e-98,2.4704867337049281e-47,1.2635547417052187e-74,6.9776154409693308e-16,2.0659479167817825e-17,8.2706822750936724e-20,3.1715781233086943e-33,1.1743816286995545e-32,8.270682272319085e-20,1.3692995751209167e-29,4.2435115893316851e-36,5.0616705072585743e-41,1.7438264523610538e-67,9.9364734397554969e-46,2.4544601893859033e-85,1.9799824003405283e-91,1.5363036839006867e-47,9.8088157287122589e-95,4.978718380662784e-95
2.9003154239753823e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996391,0.022821567693054268,3.6423860786910094e-103,1.1971455758258745e-55,4.1933366195379544e-31,2.7911914628399747e-74,1.0259091449070225e-46,5.0979373592927351e-113,2.5597590965340321e-17,1.4115706122724592e-91,2.5597590965338071e-17,3.638440154710493e-62,2.2582126390055435e-62,1.4540732140802543e-95,1.6859940700634195e-96,1.9824099210109731e-46,4.0615838102641075e-73,1.3979543130861079e-15,4.1390942583607037e-17,1.6570182261250955e-19,1.2719446130850018e-32,4.7097955854518426e-32,1.6570182250123616e-19,5.491502026316398e-29,3.4051495954396104e-35,4.083844017243657e-40,5.6380140007461705e-66,7.9733941617468125e-45,1.5780425537223596e-83,2.5607590136430916e-89,1.2327868924032524e-46,1.2707766518392466e-92,6.4501559556251414e-93
