Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C4H6(54),H2(190),C4H7X(141),C2H6(343),C4H5X(365),C4H5X(364),C4H7X(140),C4H7X(143),C4H7X(142),C6H8(474),C6H7X(565),C6H7X(563),C6H7X(564),C6H9X(460),SX(757),C6H9X(665),C6H9(569),C6H9X(954),C8H10(479),SX(1410),SX(1409),SX(1408)
3.4724371781083003e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771017,0.66999999999999804,1.5375182071956292e-55,0.0,2.1951489916166321e-36,7.3367900840740448e-54,9.4799677893207838e-88,0.0,9.9391954562212264e-121,6.5632110734125791e-103,0.0,2.0589713936530537e-15,2.0589713936530537e-15,1.0024327085120158e-42,9.3254662281806671e-45,2.1951489916160882e-36,1.387952429598037e-56,1.1840619884059444e-57,5.9203099420297221e-58,4.1123637444913998e-52,8.628843318557863e-71,4.3485956015160949e-71,7.5638637388273253e-88,6.9368368812373603e-103,3.4684184406186802e-103,3.4684184406186802e-103,4.8883777455592762e-79,2.7854116825204887e-124,8.141759524291415e-95,1.9849037829811039e-113,2.8761304926202954e-127,2.1857282961197158e-106,1.7552780044221993e-121,1.7552780044221993e-121,8.7763900221109967e-122
6.947891243426078e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583770606,0.66999999999999593,2.4628920037490437e-54,0.0,8.7863166898393471e-36,2.9366280563062724e-53,3.038346266774191e-86,0.0,2.5501885072079951e-118,4.2078476803746666e-101,0.0,4.1197316416879912e-15,4.1197316416879912e-15,8.0275917539940456e-42,7.467936268450581e-44,8.7863166898349919e-36,2.2233082668184254e-55,1.8965569647631239e-56,9.4827848238156197e-57,3.2923914888025144e-51,2.7645503179295984e-69,1.3877474422609175e-69,4.8483547622964259e-86,8.8929835238784424e-101,4.4464917619392212e-101,4.4464917619392212e-101,1.5660366033207227e-77,7.1418060488250236e-122,5.2166688366898252e-93,2.5435974294409776e-111,7.3713912499773764e-125,7.000611282462446e-105,1.1244029644961088e-119,1.1244029644961088e-119,5.6220148224805441e-120
1.3898799374061635e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583769785,0.66999999999999182,3.9429190051106042e-53,0.0,3.5156711466835012e-35,1.1750337360401911e-52,9.7303248807055131e-85,0.0,6.5358582960683578e-116,2.6953904943523952e-99,0.0,8.2412521377575918e-15,8.2412521377575918e-15,6.4253270268786861e-41,5.9773758076450746e-43,3.5156711466800159e-35,3.5593620857584958e-54,3.0361383090137255e-55,1.5180691545068628e-55,2.634913816027253e-50,8.8518774782056257e-68,4.4346979561844599e-68,3.1053434373937009e-84,1.1391879705554038e-98,5.6959398527770192e-99,5.6959398527770192e-99,5.0141280066284941e-76,1.8297311411764977e-119,3.3405709333524002e-91,3.2576750847456993e-109,1.8881645035277485e-122,2.2412008787005234e-103,7.1994602891114133e-118,7.1994602891114133e-118,3.5997301445557066e-118
2.7800615635332745e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583768136,0.66999999999998361,6.3105044481994897e-52,0.0,1.406497385430194e-34,4.7009000801764211e-52,3.1149231590611855e-83,0.0,1.6741244558938933e-113,1.7258080456784202e-97,0.0,1.6484293129895701e-14,1.6484293129895701e-14,5.1415633888540803e-40,4.7831116589859678e-42,1.4064973854274051e-34,5.696634966592019e-53,4.859139402255807e-54,2.4295697011279035e-54,2.1083313883541413e-49,2.8334517253767313e-66,1.4181276225971488e-66,1.9881869902096078e-82,1.4587279529104174e-96,7.2936397645520868e-97,7.2936397645520868e-97,1.6049708396045233e-74,4.6859414202779763e-117,2.1385745103918176e-89,4.1710215322998208e-107,4.8350946589391427e-120,7.1734515217256921e-102,4.6087047955384449e-116,4.6087047955384449e-116,2.3043523977692224e-116
5.5604248157874965e-21,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583764839,0.66999999999996718,1.0098274589457101e-50,0.0,5.6264474278409615e-34,1.8805130701700796e-51,9.9697052285869752e-82,0.0,4.2869682740986503e-111,1.104759810788834e-95,0.0,3.2970375114167534e-14,3.2970375114167534e-14,4.1137714815996822e-39,3.8269737914797417e-41,5.6264474278186497e-34,9.1159406670053668e-52,7.7756776800861094e-53,3.8878388400430552e-53,1.6868252620016029e-48,9.0684072518951519e-65,4.5364466699706364e-65,1.2726852299345866e-80,1.8675349672359957e-94,9.3376748361799783e-95,9.3376748361799783e-95,5.1366266005682927e-73,1.1998352590882439e-114,1.3688826335666406e-87,5.3396740354055598e-105,1.2379626333289133e-117,2.2957619029794254e-100,2.9499071667899301e-114,2.9499071667899301e-114,1.474953583394965e-114
1.112115132029594e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583758244,0.6699999999999342,1.6158413417090366e-49,0.0,2.2506705516205714e-33,7.5223583677625328e-51,3.1906178845991191e-80,0.0,1.0976187417834778e-108,7.0712394023073019e-94,0.0,6.5942539082693674e-14,6.5942539082693674e-14,3.2912255062001512e-38,3.0617728307265743e-40,2.2506705516027209e-33,1.4586564930358755e-50,1.2441928057394823e-51,6.2209640286974124e-52,1.3495242735460991e-47,2.9021082166236479e-63,1.4514130136101712e-63,8.1459713399229343e-79,2.3906772246694214e-92,1.195338612334711e-92,1.195338612334711e-92,1.6438357071828876e-71,3.0718781448889843e-112,8.7614727341367484e-86,6.8352733480121052e-103,3.1694127125780098e-115,7.3468499731281846e-99,1.8880481428351949e-112,1.8880481428351949e-112,9.4402407141759755e-113
2.224260432931283e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583745054,0.66999999999986826,2.5854400764796557e-48,0.0,9.0028653707067148e-33,3.0090045655992212e-50,1.0210476794840279e-78,0.0,2.8101022211669572e-106,4.5258417491025908e-92,0.0,1.3188686701967578e-13,1.3188686701967578e-13,2.6330637358686767e-37,2.4494957859599248e-39,9.0028653705639042e-33,2.3339351813789794e-49,1.9907759931238083e-50,9.9538799656190536e-51,1.0796450450926026e-46,9.2870949420498024e-62,4.6441217341064371e-62,5.2136731495711622e-77,3.0602156347106491e-90,1.5301078173553252e-90,1.530107817355325e-90,5.2604585820082801e-70,7.8643919215098935e-110,5.6075421990863036e-84,8.7494638709332845e-101,8.1139888711857934e-113,2.3510578942081836e-97,1.2083852301353532e-110,1.2083852301353532e-110,6.0419261506767668e-111
4.448551034734661e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583718676,0.66999999999973636,4.1367792676462627e-47,0.0,3.6011827814499028e-32,1.2036140700378641e-49,3.2674325066382341e-77,0.0,7.1941154468477186e-104,2.8966182519774771e-90,0.0,2.637755228933591e-13,2.637755228933591e-13,2.1064843215626235e-36,1.9596276377857378e-38,3.6011827813356509e-32,3.7343641256053068e-48,3.1852955931011268e-49,1.5926477965505727e-49,8.6372628670280694e-46,2.9719261664525642e-60,1.4860549664876827e-60,3.336831295424084e-75,3.9171712388976709e-88,1.9585856194488385e-88,1.9585856194488371e-88,1.6833762378424297e-68,2.0133334687477292e-107,3.588890896417287e-82,1.1199514709467201e-98,2.0772185696209286e-110,7.5234907070782759e-96,7.7337756139730417e-109,7.7337756139730417e-109,3.8668878069865256e-109
8.897132238341416e-20,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583665918,0.66999999999947257,6.6189069448940676e-46,0.0,1.4404804392430166e-31,4.8144807677795949e-49,1.0455911914308226e-75,0.0,1.8417260363906104e-101,1.8538611320330075e-88,0.0,5.275528346396015e-13,5.275528346396015e-13,1.6852007904919075e-35,1.5677145139194034e-37,1.4404804391516104e-31,5.9750368698205345e-47,5.0965161525939744e-48,2.5482580762970477e-48,6.9098512962442575e-45,9.5102529893423401e-59,4.7552735088241402e-59,2.1355977829195699e-73,5.0140401315439626e-86,2.5070200657719981e-86,2.5070200657719902e-86,5.3868511480643384e-67,5.1541965759972622e-105,2.2969106183718104e-80,1.4335507440248389e-96,5.3177274344551668e-108,2.4075338976365834e-94,4.9496516382437457e-107,4.9496516382437457e-107,2.4748258191218874e-107
1.7794294645554927e-19,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583560408,0.669999999998945,1.0590299204833741e-44,0.0,5.7619364103067781e-31,1.925797204586595e-48,3.3459122754400373e-74,0.0,4.7148602302757583e-99,1.1864792687539281e-86,0.0,1.0551074581275815e-12,1.0551074581275815e-12,1.3481659656993925e-34,1.2541765726132534e-36,5.761936409575479e-31,9.5601024069442182e-46,8.1544604070981458e-47,4.0772302035494604e-47,5.5278974378319977e-44,3.0432952375600273e-57,1.5216711411193185e-57,1.3667908223349582e-71,6.4180103737937797e-84,3.2090051868969767e-84,3.2090051868969328e-84,1.7237999173052309e-65,1.319482374170717e-102,1.4700293380606377e-78,1.8349531835314429e-94,1.3613443539363352e-105,7.7041354665875605e-93,3.1677883269378851e-105,3.1677883269378851e-105,1.5838941634689797e-105
