Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(77),CH2X(27),CHX(28),CX(26),OCX(25),C2H6X(52)
6.5507964204129525e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999726,0.11866996602996269,0.022821567693054223,0.0,1.2246649459099122e-54,4.4422126322845905e-36,8.882688770731877e-76,1.690699388468065e-48,8.9001818826243948e-120,6.6612223154234121e-22,1.0558099612315493e-101,6.6612223091509733e-22,2.6604438151737712e-68,3.8272057936724112e-59,8.7594103550844902e-101,5.292839074349549e-102,8.9563602606337446e-46,8.0657944274695921e-81,2.6417448485018057e-15,1.2701743992222695e-16,4.8959384170287177e-20,3.5422871728374109e-32,4.8959384171282864e-20,6.713700259640895e-46,2.1755055256494466e-36,2.019391229146799e-31,1.0313187042361346e-38,3.2846327150840658e-45,4.4173829035176569e-70,1.4672536924536424e-62
1.310728423649959e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999448,0.11866996602996004,0.02282156769305416,0.0,1.9610596483623892e-53,1.778042726959634e-35,1.1289673902716519e-73,1.3539307282729902e-47,4.5245775064033004e-117,1.3328231978167417e-21,6.7676275549501391e-100,1.3328231953061308e-21,4.2613336945436519e-67,6.1306555392095371e-58,2.226537210168167e-98,1.3453763060138394e-99,7.1705340353252881e-45,2.5839511525693569e-79,5.2857848706323213e-15,2.5414523383221969e-16,9.7961304728357733e-20,1.4178380108042037e-31,9.7961304732343096e-20,5.3750423973580205e-45,8.7076916405138684e-36,8.0828271890136788e-31,8.2568175121099381e-38,5.2169569502857421e-44,2.8073446479477998e-68,2.3501558508463872e-61
2.6220259868672867e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998893,0.11866996602995475,0.022821567693054032,0.0,3.1389726389828457e-52,7.1144869159275584e-35,1.4399318075767571e-71,1.0836933376234578e-46,2.308285408414605e-114,2.6662251341336183e-21,4.3346266702592396e-98,2.6662251240879053e-21,6.8218348924190766e-66,9.8147535647424669e-57,5.6795568468676443e-96,3.4318497689704859e-97,5.738606462084801e-44,8.2732816171829516e-78,1.0573864914888509e-14,5.084008216521951e-16,1.9596514583972274e-19,5.6731988226556976e-31,1.9596514585566937e-19,4.3016674589337412e-44,3.4842108910825585e-35,3.2341833820961073e-30,6.6079586536558782e-37,8.3163252075832075e-43,1.7903515878882944e-66,3.7622904787684169e-60
5.2446211133019425e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997783,0.11866996602994417,0.022821567693053778,0.0,5.0233781637496127e-51,2.8462580340860494e-34,1.8398026323548411e-69,8.6717422563513255e-46,1.1797072709090263e-111,5.3330290218396761e-21,2.7752319677924974e-96,5.3330289816502818e-21,1.0917897455568253e-64,1.5708170798723634e-55,1.451345204736245e-93,8.7696960162800362e-95,4.5917570040550053e-43,2.6481924124833481e-76,2.115002500338152e-14,1.0169119972921062e-15,3.9197282804334829e-19,2.2696489135037991e-30,3.9197282810714529e-19,3.4419874703147522e-43,1.3939112390346668e-34,1.2938836857648473e-29,5.2873632671509126e-36,1.328144679649187e-41,1.1437831928743468e-64,6.0212981247082939e-59
1.0489811366171253e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995568,0.11866996602992302,0.022821567693053268,0.0,8.0382224779432488e-50,1.1385958738651317e-33,2.3527947077008563e-67,6.9382721331924786e-45,6.0345484473826716e-109,1.0666636857541004e-20,1.7764912308048965e-94,1.066663669677035e-20,1.7471005565469729e-63,2.5136725434448303e-54,3.7120345076720557e-91,2.2429821744709531e-92,3.673754301553123e-42,8.4754035717115157e-75,4.2302345180290071e-14,2.0339343485717692e-15,7.8398819237418175e-19,9.0793342830016055e-30,7.8398819262939048e-19,2.753851320807879e-42,5.5760987801430924e-34,5.1759538519634179e-29,4.2302800297437203e-35,2.123052561533491e-40,7.3135719344222055e-63,9.6353838707391107e-58
2.0980191871909876e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991132,0.11866996602988072,0.022821567693052252,0.0,1.2861809173176993e-48,4.5545688232335287e-33,3.0101143999406615e-65,5.5509690572239641e-44,3.0881802125758042e-106,2.1333852770100522e-20,1.1370640953519766e-92,2.1333852126991735e-20,2.7955504739059958e-62,4.0221681002455431e-53,9.4981764572181505e-89,5.7392355693171414e-90,2.9391428116896796e-41,2.7123192127824538e-73,8.4606985533797296e-14,4.0679790511304547e-15,1.5680189207301776e-18,3.6318812902479746e-29,1.5680189217510547e-18,2.2031854646294364e-41,2.2305303012781528e-33,2.0704640960112361e-28,3.3843651355975042e-34,3.3952864903995755e-39,4.6784282713525032e-61,1.5417659758598732e-56
4.196095288338712e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319982262,0.11866996602979611,0.022821567693050219,0.0,2.0579414811985977e-47,1.8218645960782653e-32,3.8517931187873669e-63,4.4409157871034678e-43,1.580673235967209e-103,4.2668285559846995e-20,7.2775614023446298e-91,4.2668282987359522e-20,4.4730324272117222e-61,6.4357020642573872e-52,2.430803548682339e-86,1.468803432754776e-87,2.3513698128956692e-40,8.6797255981631389e-72,1.6921626623957225e-13,8.1360684562452729e-15,3.1360803762194857e-18,1.4527819088254553e-28,3.1360803803030773e-18,1.7625899193336557e-40,8.9223029562938067e-33,8.2820113410866986e-28,2.7075250942216386e-33,5.4311346717387078e-38,2.9933022300670818e-59,2.4669092076656393e-55
8.39224749063416e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319964526,0.11866996602962689,0.022821567693046149,0.0,3.2927471979453501e-46,7.2875325231057683e-32,4.929001662003603e-61,3.5527888418976763e-42,8.0909218590257147e-101,8.5337154997849681e-20,4.6577518202267021e-89,8.533714470779509e-20,7.1569732106834949e-60,1.0297308092786985e-50,6.2212235195637936e-84,3.7591497108181782e-85,1.8811177782317736e-39,2.7775608472118312e-70,3.3843482764616422e-13,1.6272247266464689e-14,6.2722032823073685e-18,5.8111854356058407e-28,6.272203298641913e-18,1.4100882080540207e-39,3.5689576686831657e-32,3.312827403058673e-27,2.165995734208786e-32,8.6886107720726962e-37,1.9152113715858247e-57,3.9471216443386082e-54
1.6784551895225059e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319929054,0.11866996602928845,0.022821567693038013,0.0,5.2684256724634892e-45,2.915027840717313e-31,6.3068731501816877e-59,2.8422535502994072e-41,4.1410776011602654e-98,1.70674909307894e-19,2.9809973494834503e-87,1.7067486814746638e-19,1.145125416708113e-58,1.6475835351748372e-49,1.5920660902082782e-81,9.6199963850286439e-83,1.5049025173308185e-38,8.8882725362037189e-69,6.7687195043951648e-13,3.2544604886862652e-14,1.2544449074920202e-17,2.324484945816587e-27,1.2544449140258805e-17,1.1280765208218019e-38,1.4275904732237086e-31,1.3251290345802219e-26,1.7327267978346385e-31,1.3900347268221354e-35,1.2252974384347257e-55,6.3154481413984085e-53
3.3569160704406852e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319858111,0.11866996602861156,0.022821567693021742,0.0,8.4294971784776114e-44,1.1660141055088492e-30,8.0677235775060916e-57,2.2738118177443235e-40,2.1189024731652177e-95,3.4135047966413809e-19,1.9078501090553354e-85,3.4135031502200936e-19,1.8322084187370089e-57,2.6361433109354108e-48,4.073131814868869e-79,2.4611737854704289e-80,1.2039245694073321e-37,2.8442596477312509e-67,1.3537461959468931e-12,6.5089320127495081e-14,2.508894058189413e-17,9.2979550181634214e-27,2.5088940843249901e-17,9.0246271089782831e-38,5.7103775723080115e-31,5.3004602861906942e-26,1.3860574507683243e-30,2.2237920045906717e-34,7.8369578711133075e-54,1.0104759771821328e-51
