Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CO2X(24),COX(50),CHOX(53),H2OX(23)
5.8056748758918786e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996248,0.022821567693054247,1.8816327166248475e-97,1.9185292450180609e-54,1.6795279649124836e-30,2.2470238769413284e-71,8.021833056275246e-46,1.6417536533347543e-109,5.1239684768199352e-17,8.8393192316618643e-90,5.123968476819354e-17,5.6907937984248266e-61,1.3850276873192716e-62,2.3413047486509847e-92,2.714737514516292e-93,7.690631001516723e-46,1.2706166693043803e-71,2.7983398516025134e-15,8.2853869431123323e-17,3.3169182504797505e-19,5.0944112106996251e-32,1.8863740755231796e-31,3.3169181947607907e-19,2.7845870857486979e-27,4.3730120537646297e-32,6.5792402561756981e-36,3.637201880462384e-61,6.388439584986939e-44,9.8737769016349984e-82,1.6660020402885883e-87,4.1232580122322251e-86,2.6000193716665345e-88,9.8772938175370045e-46
1.1616393778609032e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999416,0.11866996602995962,0.022821567693054205,4.8332200361912026e-95,3.0721452498841895e-53,6.7225151292977533e-30,1.4423127504491806e-69,6.423972437868361e-45,4.2152365679871166e-107,1.0252388707312194e-16,5.6659079339281267e-88,1.0252388707309867e-16,9.1151601186509685e-60,2.2186222881921669e-61,3.0056691118227968e-90,3.485066477260849e-91,6.1571785465540541e-45,4.0705369277619899e-70,5.5991109280965017e-15,1.6577972311023021e-16,6.6367183276188683e-19,2.0390912433032093e-31,7.5504123306126543e-31,6.6367181045960758e-19,1.1145430012532783e-26,3.5010163522291278e-31,5.2764344684156839e-35,1.1673102315011825e-59,5.1146547838361499e-43,6.326424172762897e-80,2.1396650850321343e-85,5.2932661778126518e-84,3.3392347977328661e-86,7.9078376605586973e-45
2.323783158404334e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998839,0.11866996602995392,0.022821567693054122,1.2425006183200979e-92,4.9174292642570063e-52,2.6899027405503116e-29,9.2674981496054842e-68,5.1417816192295925e-44,1.083377403343103e-104,2.0509229168296779e-16,3.6289815611973968e-86,2.050922916828747e-16,1.4592172733927468e-58,3.5518571334782726e-60,3.8625198735405398e-88,4.4785829787744304e-89,4.9276101479124297e-44,1.3033024365785559e-68,1.1200653081080526e-14,3.3163143046843888e-16,1.3276318649402867e-18,8.1590139474310206e-31,3.0211484156355185e-30,1.3276317757007201e-18,4.4594835859552975e-26,2.8017934529967842e-30,4.2372229457547851e-34,3.7503042343734133e-58,4.0933081588842728e-42,4.0512191516050463e-78,2.7502821523114108e-83,6.802260999429514e-82,4.2921867893571631e-84,6.3286683422552894e-44
4.6480707194911954e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997684,0.11866996602994251,0.022821567693053955,3.203408084010376e-90,7.8694754346657839e-51,1.0761530859746424e-28,5.9726306614820191e-66,4.1144670172710686e-43,2.7927223160374735e-102,4.102291009026622e-16,2.323444757604873e-84,4.1022910090228976e-16,2.3353811412449968e-57,5.6846138659549211e-59,4.9784453659186162e-86,5.7724960362689178e-87,3.9428304228621226e-43,4.1717371441926254e-67,2.2403737387032777e-14,6.6333484518483572e-16,2.6555519963067461e-18,3.2641312090487404e-30,1.208656088936532e-29,2.6555516392791704e-18,1.7839716672870868e-25,2.2417265841570752e-29,3.4135793365937562e-33,1.2085376317377756e-56,3.2753162628411331e-41,2.5935189467720302e-76,3.5454209343497177e-81,8.7675107846069639e-80,5.5331134963116946e-82,5.0638879950670231e-43
9.296645841664919e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995375,0.11866996602991969,0.022821567693053622,8.3113321657907581e-88,1.2592402052553574e-49,4.3050973439359583e-28,3.8737352896123069e-64,3.291990353345218e-42,7.2446922582970115e-100,8.2050271934206163e-16,1.4872916079644513e-82,8.2050271934057177e-16,3.7371167006268752e-56,9.096673110743657e-58,6.457532335294016e-84,7.4874939894773115e-85,3.1545536446089668e-42,1.3351430094022173e-65,4.4809905998874073e-14,1.3267416746175471e-15,5.3113925271371155e-18,1.3057542248684629e-29,4.8350178129997019e-29,5.3113910988210022e-18,7.1355703172665343e-25,1.793337377841253e-28,2.768171378997084e-32,3.9195647336514146e-55,2.6205783119378579e-40,1.6600885424145467e-74,4.5994597959593857e-79,1.1372322057331974e-77,7.178098650805741e-80,4.0514818941598744e-42
1.8593796086012365e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990762,0.11866996602987405,0.02282156769305296,2.1836572263707637e-85,2.0148741420110973e-48,1.7222167033687531e-27,2.5442032043223512e-62,2.6337589884977315e-41,1.9030006818797703e-97,1.6410499562209032e-15,9.5195846732146492e-81,1.6410499562149443e-15,5.9797922476269186e-55,1.4555635394569531e-56,8.4815741746771185e-82,9.8343658487973039e-83,2.5237464087666435e-41,4.2727570447847026e-64,8.962224322230385e-14,2.6535553334826408e-15,1.0623074661657861e-17,5.2231932511768122e-29,1.9340858065472404e-28,1.0623068947444601e-17,2.8536267943226937e-24,1.434395434012813e-27,2.2739022758064083e-31,1.2874033118968254e-53,2.0966845483257261e-39,1.0625323244394081e-72,6.0424300949425144e-77,1.4936850004281921e-75,9.4300907774727092e-78,3.2413183285782095e-41
3.7188096574707257e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981531,0.11866996602978278,0.022821567693051634,5.8756204341434565e-83,3.2238400769884224e-47,6.8898679235921916e-27,1.7112678203521717e-60,2.1070738748975381e-40,5.1185637985132497e-95,3.2821444299787581e-15,6.0928280857532523e-79,3.2821444299549218e-15,9.567992022774043e-54,2.328954529507645e-55,1.1407605792132044e-79,1.3227092735624535e-80,2.0190189485952776e-40,1.3673301590769561e-62,1.7924691766815217e-13,5.3071826512115136e-15,2.1246443225898807e-17,2.0892908613694755e-28,7.7365004884423555e-28,2.1246420362853245e-17,1.1409003516907473e-23,1.1469958213262853e-26,1.9139176037295221e-30,4.3312059150995296e-52,1.6775831190734456e-38,6.8004489644042187e-71,8.1299897801398887e-75,2.0089866451164508e-73,1.2688127171962373e-75,2.5930825196232414e-40
7.437669755209705e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679963073,0.11866996602960023,0.02282156769304898,1.6500027219700312e-80,5.1580799964833102e-46,2.7566630054935443e-26,1.2012195976784745e-58,1.6856857735418104e-39,1.4365132085334493e-92,6.5643333774951529e-15,3.899504018812909e-77,6.5643333773998065e-15,1.5309046762221169e-52,3.7262933515598209e-54,1.6010077033679041e-77,1.8563647356982743e-78,1.6151925660396198e-39,4.3755331361279163e-61,3.5849626655580382e-13,1.0614437286663997e-14,4.2493197565198453e-17,8.3570168943039844e-28,3.0946315655131146e-27,4.2493106066330196e-17,4.5590655162554442e-23,9.1673230688620738e-26,1.6825482697721699e-29,1.5210975325363477e-50,1.3423950667847281e-37,4.3523647750396488e-69,1.1417176349628504e-72,2.8195249698766806e-71,1.7818567894992455e-73,2.0744367282095675e-39
1.4875389950687662e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679926153,0.11866996602923512,0.022821567693043672,4.9685162570495513e-78,8.2525654001436983e-45,1.1032195097922902e-25,9.0408174533338418e-57,1.3485592876875781e-38,4.3215679744814141e-90,1.312871127253068e-14,2.4957126600143305e-75,1.3128711272149297e-14,2.449468237772503e-51,5.9617984597831453e-53,2.4087923254343749e-75,2.7929890735638407e-76,1.2920949053457436e-38,1.4001828499477039e-59,7.1699496431492726e-13,2.122894655754791e-14,8.4986775326380171e-17,3.3426385211554812e-27,1.2378588341847381e-26,8.4986408964033489e-17,1.8199798957570174e-22,7.3199360773727563e-25,1.5876119158077753e-28,5.729739300030118e-49,1.0744213003963677e-36,2.7855381955869864e-67,1.7193939121062033e-70,4.2421091611845199e-69,2.6835060746535053e-71,1.6594729844688759e-38
2.9750830341643574e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679852312,0.11866996602850491,0.022821567693033059,1.651000734449937e-75,1.3202818598239194e-43,4.4172543126974896e-25,7.5084880065898239e-55,1.0788516966251733e-37,1.4342955337744522e-87,2.6257467062612684e-14,1.5972657222991182e-73,2.6257467061087156e-14,3.9191657645867154e-50,9.5378808349837933e-52,3.9985465968977612e-73,4.6363052163321477e-74,1.033572102592306e-37,4.4806046241403078e-58,1.4339923597684539e-12,4.2457965099231542e-14,1.6997420908074829e-16,1.336910640148047e-26,4.9514472241199765e-26,1.6997274072332047e-16,7.2508568370249106e-22,5.8337416776037673e-24,1.6544690629921371e-27,2.3823066024389916e-47,8.6033347109621808e-36,1.7827523096691879e-65,2.8576014735608235e-68,7.0418141316448528e-67,4.4602072275408874e-69,1.3274443534073876e-37
