Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),H2OX(23),COX(50),CHOX(53),CO2X(24)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531594134e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-9.484036065663426e-122,1.3111419593738106e-65,2.9700072473191348e-36,5.99542054005773e-89,1.8189017431915876e-54,2.03894821331323e-132,5.564692090377849e-20,-6.623360050894024e-106,5.564692090377849e-20,2.625609261725581e-72,1.4152317504662256e-72,1.3451250879026798e-112,1.5596694708919468e-113,1.1017625339663156e-53,1.2336263706017961e-85,3.0390311159895404e-18,8.998030998167262e-20,3.6022135345444512e-22,9.008783567266774e-38,3.335798334090026e-37,3.602213534528314e-22,8.032949901117903e-34,3.908587624826445e-42,9.576509052906232e-47,1.20886877920494e-77,2.1456307125830893e-52,5.1587980210973414e-76,3.317415880590497e-54,2.3688918768786657e-106,-3.706521096746333e-109,-3.8845342758383116e-109
1.7654093888463576e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,1.7182051455791072e-119,2.9329849566278992e-64,1.7938843774366062e-35,6.625230088189322e-87,2.748724337228074e-53,7.35725291776595e-130,1.558113785305798e-19,1.2786491330237028e-104,1.558113785305797e-19,7.404638275093393e-71,4.449715065476064e-71,2.689022324066288e-110,3.1179152504897397e-111,1.3080124801019003e-52,6.3919629891854395e-84,8.50928712477071e-18,2.5194486794868334e-19,1.0086197896750674e-21,5.441305273616536e-37,2.0148221937883227e-36,1.008619789665321e-21,4.851901717469307e-33,4.640275206045648e-41,1.1369448931269596e-45,7.354277030224105e-76,2.5472927820512598e-51,3.1383485707062213e-74,3.9384361327520807e-53,4.735621391274593e-104,3.7511669029402927e-107,3.931324290411213e-107
4.035221460220246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,7.253566974211379e-117,5.795095374388757e-63,8.636781076041773e-35,5.994251949052828e-85,2.9569522121089126e-52,2.6639928086830003e-127,3.5614029378418242e-19,1.3501184716224392e-102,3.561402937841821e-19,1.6106705636420292e-69,9.927069529160797e-70,4.8683966786570806e-108,5.644894842990223e-109,1.2842144089001178e-51,2.7965794949229265e-82,1.944979914233304e-17,5.758739838827048e-19,2.3054166621267963e-21,2.6197542598422818e-36,9.70050155550299e-36,2.3054166620798706e-21,2.3359817970362268e-32,4.555849666837952e-40,1.1163052841404631e-44,3.3202071341746636e-74,2.50094715881196e-50,1.4168005466293027e-72,3.866779948292911e-52,8.573704742520187e-102,7.85583654307671e-105,8.233129003710984e-105
8.574845602968022e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,2.333298329788232e-114,1.0312071857061015e-61,3.771909204960953e-34,4.536907824686512e-83,2.7179485210652037e-51,8.07832685142535e-125,7.567981242913878e-19,1.0671561305669237e-100,7.567981242913862e-19,2.9859117750460484e-68,1.859230256366063e-68,7.377527901800585e-106,8.554226772317581e-107,1.1358731005667707e-50,1.0452573405090997e-80,4.1330823177457633e-17,1.2237322157507477e-18,4.899010407072188e-21,1.1441155114733531e-35,4.2364638842624983e-35,4.8990104068672545e-21,1.0201846020928193e-31,4.029597353505594e-39,9.87441294076378e-44,1.2537494119412218e-72,2.212059439917394e-49,5.349569176162463e-71,3.420123071794491e-51,1.2992520974444037e-99,1.2625798406066016e-102,1.3232177948710931e-102
1.7654093888463574e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,6.675570628792963e-112,1.7392823955459127e-60,1.5746978433076913e-33,3.152411147749274e-81,2.325262182431756e-50,2.247258072440954e-122,1.558113785305799e-18,7.56362472688943e-99,1.5581137853057924e-18,5.1320194375927035e-67,3.2113579049764217e-67,1.025847825896725e-103,1.1894682139314492e-104,9.547697811018784e-50,3.6297490341902595e-79,8.509287124770657e-17,2.519448679486833e-18,1.0086197897130714e-20,4.776457033239094e-35,1.7686402767058797e-34,1.0086197896275156e-20,4.259069719430333e-31,3.3871192366789557e-38,8.301417039323616e-43,4.350549872470767e-71,1.8593692462907736e-48,1.8560139839770614e-69,2.8748195153755714e-50,1.806614569514436e-97,1.8054212190678528e-100,1.8921302308863325e-100
3.581259045945468e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996516,0.022821567693054285,1.805689561016948e-109,2.856777159644869e-59,6.433154504579397e-33,2.101749827217477e-79,1.922571738595595e-49,5.995861501848007e-120,3.1607451073346242e-18,5.089972701301009e-97,3.1607451073345965e-18,8.505945853308229e-66,5.335719172470615e-66,1.3683108848288983e-101,1.5865533495168017e-102,7.827779489905784e-49,1.2236191717350958e-77,1.7261696738820348e-16,5.1108816069590024e-18,2.0460572877918735e-20,1.951338543844449e-34,7.2254726233297695e-34,2.04605728744235e-20,1.7399688110212136e-30,2.776964761115269e-37,6.80826301339362e-42,1.4493881997936254e-69,1.524423247222189e-47,6.181300979158534e-68,2.356950720863793e-49,2.4097242472949667e-95,2.4412672862770975e-98,2.5585140958592044e-98
7.21295836014369e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.02282156769305428,4.753026340806819e-107,4.630959346999142e-58,2.600383910801726e-32,1.3734127754800173e-77,1.5634034085595622e-48,1.5675889750752153e-117,6.366007751392283e-18,3.339717264441035e-95,6.36600775139217e-18,1.3849727799514618e-64,8.698568863091625e-65,1.7885532678200513e-99,2.0738234338983108e-100,6.339138742282251e-48,4.111053991554862e-76,3.4766515966919347e-16,1.0293747461903335e-17,4.120932284217864e-20,7.887622336374253e-34,2.920651559616303e-33,4.120932282805034e-20,7.033231004316729e-30,2.24885768830883e-36,5.517168038776881e-41,4.734135368280479e-68,1.2345174701648676e-46,2.0176792617724989e-66,1.9087197902967224e-48,3.1498106348676257e-93,3.212683739612931e-96,3.366979393635634e-96
1.4476356988540132e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999992,0.11866996602996462,0.022821567693054278,1.2349685262010396e-104,7.458017570971591e-57,1.0456029358487402e-31,8.890171419970606e-76,1.2609414871763346e-47,4.0592838741541105e-115,1.2776533039507637e-17,2.164087085263805e-93,1.2776533039507187e-17,2.235351650616855e-63,1.4048211774461816e-63,2.3156506683346603e-97,2.684991667291385e-98,5.102290291977246e-47,1.4075575817954133e-74,6.977615442311581e-16,2.065947917179199e-17,8.270682278143397e-20,3.1715782101942056e-33,1.1743811465478715e-32,8.270682272462466e-20,2.828030347303931e-29,1.810075713435068e-35,4.446588838829864e-40,1.531988592689623e-66,9.936470625494869e-46,6.5207885949476245e-65,1.5363037235342844e-47,4.078078764717773e-91,4.1735151250543976e-94,4.3739566703672134e-94
2.9003154245333017e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999985,0.11866996602996391,0.022821567693054268,3.1912186931024377e-102,1.197176993914636e-55,4.193335447897353e-31,5.733142578808356e-74,1.0128567754317785e-46,1.0471557613191855e-112,2.5597583615738484e-17,1.393611502582215e-91,2.5597583615736684e-17,3.592150092860345e-62,2.258208957268854e-62,2.9867473113224493e-95,3.4631266937175718e-96,4.094266531329569e-46,5.0395665223147116e-73,1.3979543133550254e-15,4.1390942591569213e-17,1.657018227028866e-19,1.2719446823153686e-32,4.709793651807908e-32,1.6570182247505577e-19,1.134165929116636e-28,1.452470802017736e-34,3.577563457426422e-39,4.9394952708290246e-65,7.973391931484947e-45,2.0969865195597528e-63,1.2327869553122062e-46,5.259943112369082e-89,5.3921681999865625e-92,5.651138074039438e-92
