Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),CO2X(24),COX(50),O(29),H2OX(23),CHOX(53),acetyl(44),C2H4X(215),C2H4X(70)
4.952181008356355e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997534,0.11866996602994102,0.022821567693053935,1.5730709288140402e-89,7.546278475150715e-43,1.2216618108441361e-28,1.251039426445715e-65,4.9751996772524065e-43,6.640328086711506e-102,4.370692455358266e-16,3.397822055038532e-84,4.3706924553541785e-16,3.008697203732894e-57,1.852524478223329e-56,1.1110377017581744e-85,1.2882456786242728e-86,4.3999959495159326e-30,6.053176094330133e-67,2.386955136870169e-14,7.067349919462756e-16,2.8292974496246392e-18,3.705236234314643e-30,1.3719879924475376e-29,2.8292968672656628e-18,2.9100430986097284e-25,5.599028459659537e-29,1.2209369216127514e-32,4.906994216397051e-56,3.961430214164932e-41,3.9068983087663045e-59,1.234325737689497e-29,1.6340942040104322e-80,1.9566419459072062e-79,5.313514992859135e-24,6.124295254338775e-43,1.7769653151102899e-81,4.6470557885952667e-94,3.018805569637093e-72,4.675209522440225e-80
9.904899421054365e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995075,0.11866996602991671,0.02282156769305358,4.067321667711647e-87,6.037596085777574e-42,4.887528237592696e-28,8.086110328814983e-64,3.980663661880319e-42,1.7167007308804825e-99,8.741859212664819e-16,2.1750257720858787e-82,8.741859212648471e-16,4.814568538131843e-56,2.9644699287478585e-55,1.4361893154716422e-83,1.665258229749844e-84,1.760141621954186e-29,2.04192258407042e-65,4.77416930304568e-14,1.413546677868764e-15,5.658902513969533e-18,1.4822124695327722e-29,5.48839859534521e-29,5.658900184120336e-18,1.1638879196316614e-24,4.478833411924725e-28,9.86610348931705e-32,1.5859377385037377e-54,3.169737625451505e-40,1.2501763437845209e-57,4.9377047485261647e-29,2.112589505639558e-78,2.529264519277126e-77,1.0627615402500424e-23,4.8998931594829545e-42,2.2972993314329142e-79,1.201495962940571e-91,1.931995007983765e-70,3.152986271932937e-78
1.9810336246450387e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990157,0.11866996602986808,0.022821567693052873,1.061513930262849e-84,4.830306300946276e-41,1.9554772808742673e-27,5.2755721478258665e-62,3.184732509690935e-41,4.4795819872582135e-97,1.7484192727277306e-15,1.3921507990001304e-80,1.7484192727211905e-15,7.703832105399117e-55,4.7434964517137106e-54,1.8738731969395658e-81,2.172751683373951e-82,7.0408529823068e-29,7.203962529785806e-64,9.548597635368007e-14,2.8271700497133667e-15,1.1318114393048072e-17,5.929069946777172e-29,2.195448750821835e-28,1.131810507148338e-17,4.653949562791494e-24,3.581933985409386e-27,8.049471488968518e-31,5.174275642133079e-53,2.536378324817222e-39,3.999440477152431e-56,1.9751622391659084e-28,2.7568807303310342e-76,3.3000669744068774e-75,2.125584262603313e-23,3.9200874158992613e-41,2.9979311801251445e-77,3.1355111096036636e-89,1.2361344806869504e-68,2.2233056743739176e-76
3.962120989724243e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998032,0.11866996602977084,0.02282156769305146,2.820785263552021e-82,3.864336972636884e-40,7.825156459061891e-27,3.504441754705274e-60,2.547866642050206e-40,1.190028819029779e-94,3.496885975649981e-15,8.910194907527585e-79,3.4968859756238196e-15,1.232654933089166e-53,7.58986975179481e-53,2.4892002914496306e-79,2.8862220229682888e-80,2.816398492835809e-28,2.7332931375297346e-62,1.9097454299897864e-13,5.65441679340108e-15,2.2636545162141983e-17,2.371659280201308e-28,8.781973506971657e-28,2.2636507860828614e-17,1.8601859658962792e-23,2.8635327748686106e-26,6.689414634152811e-30,1.7190537464874884e-51,2.02989860671739e-38,1.2789545690507216e-54,7.900809457757919e-28,3.663212781394152e-74,4.383715757383549e-73,4.251240269009906e-23,3.1361232437619734e-40,3.9835314556141654e-75,8.330934383485863e-87,7.905954565486558e-67,1.6854175495477596e-74
7.924295719882651e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679960653,0.11866996602957634,0.022821567693048633,7.74851897300929e-80,3.091506601744098e-39,3.132559692403108e-26,2.4063162472790252e-58,2.0383255674704193e-39,3.267316263597066e-92,6.993819381493493e-15,5.702662271265206e-77,6.993819381388847e-15,1.972281327913591e-52,1.2144011199252392e-51,3.4175646626539407e-77,3.9626583297381608e-78,1.1265708572149559e-27,1.1479758253512006e-60,3.819516762849842e-13,1.1308910280770528e-14,4.5273434818923775e-17,9.486598022237536e-28,3.512825003952474e-27,4.527328549803006e-17,7.429390188300252e-23,2.287528410513535e-25,5.750253374868459e-29,5.904858790200622e-50,1.6251321355181058e-37,4.086884915772257e-53,3.1603557385856495e-27,5.0319270937462e-72,6.018652390253736e-71,8.502594528623302e-23,2.5088945663644634e-39,5.471989861291712e-73,2.2878999914885524e-84,5.0527362174535544e-65,1.4139172935430549e-72
1.5848645180199469e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767992132,0.11866996602918735,0.022821567693042978,2.2524067972556517e-77,2.4732204915482e-38,1.2549940144768882e-25,1.7483803751967545e-56,1.6306733549974524e-38,9.490145910585489e-90,1.3987686193176559e-14,3.649747854396129e-75,1.3987686192757972e-14,3.155676864541912e-51,1.9430591193417035e-50,4.964269482236155e-75,5.75605884827481e-76,4.50630634909116e-27,5.41531279850899e-59,7.639059428386287e-13,2.2617897255485528e-14,9.054732720239044e-17,3.794550031140576e-27,1.4051370419326693e-26,9.054672900675356e-17,2.962666853936699e-22,1.824735638991658e-24,5.235405472770237e-28,2.1469174312053237e-48,1.3020158679089029e-36,1.3040880607035587e-51,1.2641485705413694e-26,7.315091730490936e-70,8.742543953060064e-69,1.7005472035050917e-22,2.0070734780108284e-38,7.955003376272501e-71,6.648051660382172e-82,3.2246379618378517e-63,1.3321985557907685e-70
3.16973441008331e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679842647,0.11866996602840936,0.022821567693031668,7.130813232365619e-75,1.9785831181939326e-37,5.035564922086499e-25,1.3834197364772047e-54,1.3045438434510263e-37,3.001118218063045e-87,2.7975419816526862e-14,2.335852694906466e-73,2.797541981485252e-14,5.049104348595455e-50,3.108907683683237e-49,7.851594213798578e-73,9.103904656038476e-74,1.802527123667382e-26,2.8382301683001875e-57,1.5278144758724519e-12,4.523587120481996e-14,1.8109556896377066e-16,1.5177370964906598e-26,5.620561609162882e-26,1.8109316896368758e-16,1.1778483896485415e-21,1.451386079691229e-23,5.1961215421641205e-27,8.503515601131868e-47,1.044634568270594e-35,4.1494398206052253e-50,5.0566059042646607e-26,1.158256198448565e-67,1.3827390610944565e-66,3.401190299670941e-22,1.6055770163347277e-37,1.2596341543696563e-68,2.1035373406261645e-79,2.0521683946514958e-61,1.3949315738467338e-68
6.339474194210037e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679685306,0.11866996602685338,0.02282156769300905,2.512677371871683e-72,1.58287020966355e-36,2.026479020995267e-24,1.2183521470738857e-52,1.0436371369858892e-36,1.0561898842816018e-84,5.5950887063164177e-14,1.4949502108557224e-71,5.595088705646678e-14,8.078583964706509e-49,4.9742603067883437e-48,1.3820585831814083e-70,1.6024934489802e-71,7.210117662537159e-26,1.6038287597048736e-55,3.055631541646235e-12,9.04718191031065e-14,3.6219391739386193e-16,6.070262007885932e-26,2.2482268205126607e-25,3.621842606531796e-16,4.654603563389592e-21,1.1478794841140448e-22,5.742674562337513e-26,3.7493109787341875e-45,8.404600251814665e-35,1.3129256213372762e-48,2.022643943614237e-25,2.041324406569648e-65,2.4339332117560438e-64,6.802746871523908e-22,1.2843250917169498e-36,2.220189067016001e-66,7.407791888064582e-77,1.2987700649854748e-59,1.5753642326683028e-66
1.2678953762463491e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679370625,0.11866996602374144,0.022821567692963816,9.837378059076714e-70,1.266299293095802e-35,8.20068442937772e-24,1.192281529344134e-50,8.349105319834182e-36,4.130815350717819e-82,1.1190182155618561e-13,9.567695504240098e-70,1.1190182152939599e-13,1.2925747675998833e-47,7.958815027847799e-47,2.703423831170228e-68,3.1346124909789536e-69,2.8840488984258536e-25,9.438407801782682e-54,6.111265672018345e-12,1.8094371489815039e-13,7.243983572399427e-16,2.427551246127605e-25,8.992907544215965e-25,7.2435929127589715e-16,1.8179075852918487e-20,8.978118219904543e-22,7.049118435731901e-25,1.836649432391144e-43,6.797270358165294e-34,4.1090444588992125e-47,8.090572998171419e-25,3.997129481218088e-63,4.760975873581645e-62,1.3606941533314646e-21,1.0272394209882969e-35,4.3481209797526734e-64,2.8988735752567087e-74,8.130908201420248e-58,1.8534521851626432e-64
2.5357912898970397e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678741256,0.11866996601751754,0.022821567692873343,4.153650444448633e-67,1.0130433048054897e-34,3.351271808651358e-23,1.258599365824646e-48,6.679287505513449e-35,1.7432512485952943e-79,2.238036905412156e-13,6.123329395157933e-68,2.2380369043405714e-13,2.0681206073637565e-46,1.2734077196374368e-45,5.705448666681491e-66,6.615449331797712e-67,1.1536199259217674e-24,5.602941127161409e-52,1.2222533928060747e-11,3.618875064821216e-13,1.4488402982139974e-15,9.705770105519406e-25,3.597159796899968e-24,1.4486807426267342e-15,6.942458618727635e-20,6.874763502127152e-21,9.322599656851357e-24,9.701345837461186e-42,5.5483183416714745e-33,1.2593951035708384e-45,3.236223891942859e-24,8.440141253338787e-61,1.0047798612474576e-59,2.721965692923311e-21,8.214377976528215e-35,9.18601969568567e-62,1.2238072234926869e-71,4.985835965747874e-56,2.2002193130208897e-62
