Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),H2OX(23),CHOX(53),CO2X(24)
5.8056748758918786e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996248,0.022821567693054247,2.7885288208184282e-100,1.9185292450180012e-54,1.6795214066676468e-30,2.5843500907888026e-72,8.2239270033447291e-46,1.8880719267447451e-110,5.1239684768201484e-17,9.0620080984729018e-90,5.123968476819354e-17,5.834161900537304e-61,1.2201575222339878e-61,2.6926473881270095e-93,3.1221185034230299e-94,7.6906310008802252e-46,1.302627300307304e-71,2.7983398516025134e-15,8.2853869431123323e-17,3.3169182257939061e-19,5.0944112106996076e-32,1.8863740755232464e-31,3.3169182194248384e-19,3.1608902054380954e-28,5.6347082458343988e-34,9.7530611911042266e-39,5.3906475569433143e-64,6.388416299818206e-44,1.0122526848525151e-81,4.7420054666579516e-87,9.877293817536975e-46,3.3851641476986226e-90,2.4690329324299552e-90
1.1616393778609032e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999416,0.11866996602995962,0.022821567693054205,7.255991839904533e-98,3.0721452498839994e-53,6.7224626242333353e-30,1.6803969862995292e-70,6.585811500667816e-45,4.9103127867838706e-108,1.0252388707313049e-16,5.8086490865284004e-88,1.0252388707309867e-16,9.3447982413684992e-60,1.9545231589656106e-60,3.5014670000741835e-91,4.0599429974519261e-92,6.1571785455348399e-45,4.1730859171842185e-70,5.5991109280965017e-15,1.6577972311023021e-16,6.6367182288094312e-19,2.0390912433031957e-31,7.5504123306131956e-31,6.6367182033165408e-19,1.2651775770249263e-27,4.5111840546106012e-33,7.9258685618323882e-38,1.7527179730864884e-62,5.1146174977578304e-43,6.485805703283839e-80,6.1664129199485375e-85,7.9078376605586475e-45,4.4043384002305323e-88,3.2123868612358061e-88
2.323783158404334e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998839,0.11866996602995392,0.022821567693054122,1.9130598058765182e-95,4.9174292642563987e-52,2.6898607217757719e-29,1.1073003326216551e-68,5.2713184632565902e-44,1.2940653436704595e-105,2.0509229168300201e-16,3.72040645112922e-86,2.050922916828747e-16,1.4959793170542251e-58,3.1290531730112151e-59,4.6141229559096123e-89,5.350065037567094e-90,4.9276101462810747e-44,1.3361365195872584e-68,1.1200653081080526e-14,3.3163143046843888e-16,1.3276318254022595e-18,8.1590139474309173e-31,3.0211484156359501e-30,1.3276318152017648e-18,5.0623402171278433e-27,3.6103043819709636e-32,6.5311569783082668e-37,5.7759769976261055e-61,4.093248478573147e-42,4.1532814682119372e-78,8.125904760934235e-83,6.3286683422552137e-44,5.8063646656337008e-86,4.2349812419875776e-86
4.6480707194911954e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997684,0.11866996602994251,0.022821567693053955,5.1758772046239595e-93,7.8694754346638373e-51,1.0761194665460652e-28,7.4880655170380101e-67,4.2181227359178492e-43,3.4994009823777103e-103,4.1022910090279902e-16,2.381979273788762e-84,4.1022910090228976e-16,2.3942163705938954e-57,5.0079321397647792e-58,6.2393413704457599e-87,7.2345020749800772e-88,3.9428304202515691e-43,4.2768356685299397e-67,2.2403737387032777e-14,6.6333484518483572e-16,2.6555518381178316e-18,3.2641312090486564e-30,1.2086560889368773e-29,2.6555517973090655e-18,2.0252512755764933e-26,2.8887697888023538e-31,5.5268569473765381e-36,1.9537580093471542e-59,3.2752207603429516e-41,2.6588574388081732e-76,1.0988067304884632e-80,5.0638879950669012e-43,7.8554644586154832e-84,5.7295312842907253e-84
9.296645841664919e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995375,0.11866996602991969,0.022821567693053622,1.4668361290496081e-90,1.2592402052547343e-49,4.3048283945700548e-28,5.3040582678490018e-65,3.3749254261171227e-42,9.9099973080300389e-101,8.205027193426092e-16,1.5247609273208073e-82,8.2050271934057177e-16,3.8312658361078022e-56,8.0138290769006417e-57,8.8361132444984691e-85,1.024545311947792e-85,3.1545536404321315e-42,1.3687792509749959e-65,4.4809905998874073e-14,1.3267416746175471e-15,5.3113918942414908e-18,1.3057542248683957e-29,4.835017813002467e-29,5.3113917309919889e-18,8.1015488084653627e-26,2.311199665518876e-30,4.9034428230177948e-35,6.924280226610388e-58,2.620425509769947e-40,1.7019111328504246e-74,1.5561226848675282e-78,4.05148189415968e-42,1.113300566104698e-81,8.1200694729581592e-82
1.8593796086012365e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990762,0.11866996602987405,0.02282156769305296,4.4801849126883369e-88,2.0148741420091025e-48,1.7220015842074539e-27,4.0488956779167005e-63,2.7001112448376699e-41,3.0236340552803516e-98,1.6410499562230937e-15,9.7594114480091756e-81,1.6410499562149443e-15,6.1304410770987555e-55,1.2822972121690369e-55,1.3483340830609884e-82,1.5633902841844829e-83,2.5237464020848862e-41,4.3804005583490791e-64,8.962224322230385e-14,2.6535553334826408e-15,1.062307212926494e-17,5.2231932511762752e-29,1.9340858065494529e-28,1.0623071476231121e-17,3.2406588979505013e-25,1.8489905492545938e-29,4.6934025098905735e-34,2.6455804787839023e-56,2.0964401080038712e-39,1.0893006877054199e-72,2.374543161428189e-76,3.241318328577898e-41,1.7006209494547355e-79,1.2403807445754084e-79
3.7188096574707257e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981531,0.11866996602978278,0.022821567693051634,1.518014877284394e-85,3.2238400769820341e-47,6.8881477376550393e-27,3.4285148993504104e-61,2.1601573572285625e-40,1.0231433723926131e-95,3.2821444299875199e-15,6.246324618186899e-79,3.2821444299549218e-15,9.8090383112832251e-54,2.0517225187882584e-54,2.2819975925372703e-80,2.6459709713862925e-81,2.0190189379090511e-40,1.4017772886047683e-62,1.7924691766815217e-13,5.3071826512115136e-15,2.1246433090464888e-17,2.0892908613690441e-28,7.736500488460058e-28,2.1246430478202555e-17,1.2962159426438485e-24,1.4791364187489514e-28,4.9874693813507298e-33,1.1215741163867011e-54,1.6771921823609371e-38,6.9717725799542307e-71,4.018812335619528e-74,2.5930825196227418e-40,2.8820257307400801e-77,2.1020628487840662e-77
7.437669755209705e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679963073,0.11866996602960023,0.02282156769304898,5.7855916864506095e-83,5.1580799964628194e-46,2.7552881317927535e-26,3.2656374389100113e-59,1.7281532270546454e-39,3.8942983022181757e-93,6.5643333775302012e-15,3.9977441591853562e-77,6.5643333773998065e-15,1.5694727323919863e-52,3.2827274684783704e-53,4.3443092369203247e-78,5.0372165301618643e-79,1.6151925489569593e-39,4.4857658703524956e-61,3.5849626655580382e-13,1.0614437286663997e-14,4.2493156977864454e-17,8.3570168943004903e-28,3.0946315655272774e-27,4.2493146528118276e-17,5.1843246853499352e-24,1.183177389740033e-27,5.9619467290413727e-32,5.348543887719992e-53,1.3417701281338513e-37,4.462013829293031e-69,7.6507366862415741e-72,2.074436728208759e-39,5.4939102725850913e-75,4.0070993339902668e-75
1.4875389950687662e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679926153,0.11866996602923512,0.022821567693043672,2.4532763606730178e-80,8.2525654000779932e-45,1.1021216649156475e-25,3.4608774606638078e-57,1.3825335123337288e-38,1.6495257870465843e-90,1.3128711272670876e-14,2.5585870955287867e-75,1.3128711272149297e-14,2.5111776383386468e-51,5.2521294516141923e-52,9.2031525924102069e-76,1.067103392892484e-76,1.2920948780628583e-38,1.4354576265557175e-59,7.1699496431492726e-13,2.122894655754791e-14,8.4986612615764926e-17,3.3426385211526644e-27,1.2378588341960683e-26,8.4986570811842522e-17,2.0732671073575584e-23,9.463143386547663e-27,7.9235542480751029e-31,2.8372008515052707e-51,1.0734232050882149e-36,2.8557142000190611e-67,1.620761471075153e-69,1.6594729844675717e-38,1.165103305987241e-72,8.4979542328281603e-73
2.9750830341643574e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679852312,0.11866996602850491,0.022821567693033059,1.1254310749383988e-77,1.3202818598027824e-43,4.4085043190984634e-25,3.9684247433976766e-55,1.1060311727162304e-37,7.5616506217305015e-88,2.6257467063173482e-14,1.6375055875998533e-73,2.6257467061087156e-14,4.0179011842353163e-50,8.4025423676938482e-51,2.1098045156198545e-73,2.4463132901209135e-74,1.0335720590972411e-37,4.5934843567092941e-58,1.4339923597684539e-12,4.2457965099231542e-14,1.6997355536881521e-16,1.3369106401457414e-26,4.951447224210621e-26,1.6997338811487385e-16,8.289305413015542e-23,7.5668084756344282e-26,1.1381618753660404e-29,1.62781596280718e-49,8.587422839020221e-36,1.8276651332871934e-65,3.7155628668196522e-67,1.327444353405254e-37,2.6728939814179449e-70,1.949550547385309e-70
