Time (s),Volume (m^3),Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),C2H4X(64),C2H4(48),HeX(49),C4H8a(86),HX(12),C2H3X(58),C4H6(99),C2H2X(98)
0.0,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.458656502896803e-25,0.004023131612903226,0.0,0.0,0.010942917987096772,0.5,1.8769632695579747e-181,6.9129187156046941e-63,-1.1396683337943614e-111,-3.4027466674562109e-132,3.4719473016877462e-197,8.5911159293147254e-46,1.3977550192353575e-60,0.0,0.5,3.2700170048958826e-19,2.2656734970649937e-18,9.8751070392763202e-20,3.355936958291099e-35,4.5671141789939292e-21,4.5671141789935335e-21,3.9455906505313357e-49,1.981739750098765e-34
6.884238208111048e-25,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,2.7993430210310973e-179,1.0446802758302869e-61,1.109117320732997e-100,5.9607575699043515e-121,5.1781361978035965e-195,5.1890340213063047e-45,1.659414758836278e-59,0.0,0.5,9.1560476136838675e-19,6.3438857917819695e-18,2.7650299709960002e-19,2.0269859228078203e-34,1.2787919701183647e-20,1.2787919701181255e-20,5.9625765937322131e-48,1.1969708090596043e-33
1.5735401618539538e-24,0.004023131612903226,0.0,0.0,0.010942917987096772,0.5,1.3469512175451201e-176,1.1238193692183645e-60,2.1390119757203927e-99,2.3587569241264639e-119,5.8064567546469276e-192,2.4982965122450368e-44,1.6292232504209229e-58,0.0,0.5,2.0928108831161411e-18,1.4500310381215869e-17,6.3200685051272569e-19,9.7590646747104547e-34,2.9229530745565651e-20,2.9229530745554119e-20,6.4142678117877052e-47,5.7628991932864574e-33
3.343772843939652e-24,0.004023131612903226,0.0,0.0,0.010942917987096769,0.5,4.314571879323718e-174,1.0329836173366317e-59,3.6616716117727877e-98,8.1074818319970345e-118,3.8678209573812638e-189,1.0910717230232945e-43,1.4410295146312829e-57,0.0,0.5,4.4472231265722809e-18,3.0813159560083451e-17,1.343014557336785e-18,4.2620399370296351e-33,6.211275283433992e-20,6.2112752834289569e-20,5.8958172000759108e-46,2.5168094826246529e-32
6.884238208111048e-24,0.004023131612903226,0.0,0.0,0.010942917987096762,0.5,1.2233980326920283e-171,8.8373923267418955e-59,6.0448478433925423e-97,2.6800332417852117e-116,2.2347920750643633e-186,4.5550096657255819e-43,1.2112721355897746e-56,0.0,0.49999999999999994,9.1560476133270801e-18,6.3438857917817772e-17,2.7650299709761359e-18,1.7793177752858857e-32,1.2787919701192941e-19,1.2787919701171926e-19,5.043995742944356e-45,1.0507184155016635e-31
1.396516893645384e-23,0.004023131612903226,0.0,0.0,0.01094291798709675,0.5,3.2904619947394395e-169,7.3069268741725331e-58,9.8201722914845479e-96,8.7122918019212247e-115,1.213464857019467e-183,1.8608700747557537e-42,9.9307407873712306e-56,0.0,0.49999999999999989,1.857369658620677e-17,1.28690254633283e-16,5.6090607982197684e-18,7.2690936891363871e-32,2.5941208536727249e-19,2.5941208536641396e-19,4.1704732215739026e-44,4.2925275682979868e-31
2.8127030393139425e-23,0.004023131612903226,0.0,0.0,0.010942917987096725,0.5,8.6309379021604048e-167,5.9418715837249875e-57,1.5830955973079648e-94,2.8097056822961405e-113,6.3958841591287322e-181,7.5219343696999393e-42,8.0421713614654262e-55,0.0,0.49999999999999972,3.7408994529446488e-17,2.5919304806419995e-16,1.1297122452566756e-17,2.9382838919574739e-31,5.2247786207861488e-19,5.2247786207514465e-19,3.3913595623068664e-43,1.7351082747145855e-30
5.645075330651059e-23,0.004023131612903226,0.0,0.0,0.010942917987096675,0.5,2.2363489902996354e-164,4.7923346913846493e-56,2.5424468573654872e-93,9.025890337729488e-112,3.3222695066423107e-178,3.0245367273954227e-41,6.4730391648198463e-54,0.0,0.49999999999999944,7.507959040584732e-17,5.2019863492597951e-16,2.2673245760699611e-17,1.181471029913905e-30,1.0486094155039245e-18,1.0486094154899706e-18,2.7352543474208282e-42,6.9767940597730582e-30
1.1309819913325292e-22,0.004023131612903226,0.0,0.0,0.010942917987096575,0.5,5.7595797230539183e-162,3.8494638425085621e-55,4.0755100408554029e-92,2.8938579814718703e-110,1.7132776833212299e-175,1.2129745034036438e-40,5.1942062720271635e-53,0.0,0.49999999999999883,1.5042078211833457e-16,1.0422098086493217e-15,4.542549237472088e-17,4.7382272557869581e-30,2.100872522365043e-18,2.1008725223090831e-18,2.1971050413335438e-41,2.7980064626940079e-29
